market_level,market_name,peer_INN_count,INN,sales_2022,sales_2023,market_sales_2022,market_sales_2023,market_growth_2023,share_2022,share_2023,share_change_pp,product_growth_2023,relative_growth_2023,market_expansion_effect,share_effect,total_growth,HHI_2023
ATC3,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",3,DICLOFENACUM,9618700.15,9169582.2,24674751.17,25562600.540000003,0.03598210024016235,0.3898195399714744,0.3587108512551986,-0.031108688716275812,-0.046692166612554264,-0.08267426685271662,346101.0329773631,-795218.9829773642,-449117.9500000011,0.40229239762651364
ATC3,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",3,IBUPROFENUM,11960102.15,12909778.47,24674751.17,25562600.540000003,0.03598210024016235,0.48471014226645187,0.5050260222859156,0.020315880019463772,0.079403696397359,0.04342159615719665,430349.59444388,519326.7255561203,949676.3200000003,0.40229239762651364
ATC3,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",3,MELOXICAMUM,3095948.87,3483239.87,24674751.17,25562600.540000003,0.03598210024016235,0.1254703177620737,0.1362631264588857,0.010792808696811984,0.12509605819168446,0.0891139579515221,111398.742578757,275892.257421243,387291.0,0.40229239762651364
ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,3,ACIDUM ACETYLSALICYLICUM*,12643015.860000001,12164053.36,28112803.490000002,26826626.63,-0.04575057270462224,0.44972447747864225,0.45343208923618583,0.003707611757543583,-0.0378835639616133,0.00786700874300894,-578425.2163086217,99462.71630861983,-478962.50000000186,0.415944645279527
ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,3,PARACETAMOLUM,13740368.97,12015424.03,28112803.490000002,26826626.63,-0.04575057270462224,0.48875840415160243,0.44789172323900195,-0.040866680912600484,-0.12553847307638943,-0.0797879003717672,-628629.7495503202,-1096315.1904496811,-1724944.9400000013,0.415944645279527
ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,3,PREGABALINUM,1729418.66,2647149.2399999998,28112803.490000002,26826626.63,-0.04575057270462224,0.0615171183697553,0.09867618752481216,0.037159069155056866,0.530658423680938,0.5764089963855602,-79121.8941410603,996852.4741410601,917730.5799999998,0.415944645279527
ATC3,S01A ANTIINFECTIVES,2,AZITHROMYCINUM,23869.93,50187.78,171240.31,242632.46,0.4169120576808112,0.1393943400359413,0.20684693218706188,0.06745259215112057,1.1025524582602464,0.6856404005794352,9951.661632996926,16366.188367003073,26317.85,0.6718774423362743
ATC3,S01A ANTIINFECTIVES,2,LEVOFLOXACINUM,147370.38,192444.68,171240.31,242632.46,0.4169120576808112,0.8606056599640587,0.7931530678129382,-0.06745259215112054,0.30585725571176514,-0.11105480196904605,61440.48836700307,-16366.18836700308,45074.29999999999,0.6718774423362743
ATC4,C10A A HMG CoA reductase inhibitors,2,ATORVASTATINUM,1524871.39,1658471.52,4330009.12,5153010.220000001,0.19006913777585766,0.3521635515631431,0.32184518353235475,-0.030318368030788356,0.08761403150202729,-0.10245510627383037,289830.99031637376,-156230.86031637364,133600.13000000012,0.5634782772612407
ATC4,C10A A HMG CoA reductase inhibitors,2,ROSUVASTATINUM,2805137.73,3494538.7,4330009.12,5153010.220000001,0.19006913777585766,0.6478364484368568,0.6781548164676452,0.030318368030788356,0.2457636794896343,0.055694541713776635,533170.1096836268,156230.8603163734,689400.9700000002,0.5634782772612407
ATC4,"M02A A Antiinflammatory preparations, non-steroids for topical use",2,DICLOFENACUM,2497901.24,2510041.61,2916509.7700000005,3015355.28,0.033891712284577435,0.8564693544640517,0.8324198566744015,-0.024049497789650154,0.004860228180998627,-0.02903148410357881,84658.15014136955,-72517.7801413699,12140.369999999646,0.7210059222228593
ATC4,"M02A A Antiinflammatory preparations, non-steroids for topical use",2,IBUPROFENUM,418608.53,505313.67,2916509.7700000005,3015355.28,0.033891712284577435,0.14353064553594824,0.16758014332559845,0.02404949778965021,0.20712702629351565,0.1732353140089382,14187.359858629934,72517.78014137002,86705.13999999996,0.7210059222228593
ATC4,R05C B Mucolytics,2,ACETYLCYSTEINUM,1999562.08,1974150.9,5674043.050000001,5655540.359999999,-0.0032609357801755,0.35240516548424844,0.349064947703777,-0.003340217780471444,-0.012708372625270137,-0.009447436845094637,-6520.443531354191,-18890.736468645977,-25411.180000000168,0.5455627800233271
ATC4,R05C B Mucolytics,2,AMBROXOLUM,3674480.97,3681389.46,5674043.050000001,5655540.359999999,-0.0032609357801755,0.6475948345157515,0.6509350522962231,0.003340217780471555,0.0018801267597801097,0.00514106253995561,-11982.246468646917,18890.736468646675,6908.489999999758,0.5455627800233271
