month,INN,forecast,lower80,upper80,selected_model
2024-01,ACETYLCYSTEINUM,350355.9007541593,293620.44928874954,489744.1165037885,Damped ETS
2024-01,ACIDUM ACETYLSALICYLICUM*,1605604.3472499275,1345598.781338666,2244388.5814679083,Damped ETS
2024-01,AMBROXOLUM,688822.2326376783,577276.8427811094,962868.0446584579,Damped ETS
2024-01,AMLODIPINUM,292771.7117165485,245361.22275447688,409250.2677789709,Damped ETS
2024-01,ATORVASTATINUM,111710.80793745881,93620.62662889602,156154.9434833826,Damped ETS
2024-01,AZITHROMYCINUM,615137.8508988884,515524.62694200955,859868.6002590604,Damped ETS
2024-01,BISOPROLOLUM,629099.3999190748,527225.2963131533,879384.7006605247,Damped ETS
2024-01,CEFTRIAXONUM,883176.628921176,740158.2342695092,1234545.628990312,Damped ETS
2024-01,CITICOLINUM,68058.6260217468,57037.311469075146,95135.9001252044,Damped ETS
2024-01,DICLOFENACUM,750384.4959388555,628869.9495047902,1048922.629990651,Damped ETS
2024-01,FLUCONAZOLUM,360063.4376978395,301755.9849676299,503313.7616319813,Damped ETS
2024-01,IBUPROFENUM,1347791.466264947,1129535.1285401306,1884005.7856320585,Damped ETS
2024-01,LEVOFLOXACINUM,163503.87015754904,137026.51918996824,228553.68669770457,Damped ETS
2024-01,MELOXICAMUM,204213.8909192006,171144.115477871,285460.0408122377,Damped ETS
2024-01,METFORMINUM,334103.0041110511,279999.48433210835,467025.06418065884,Damped ETS
2024-01,PANTOPRAZOLUM,304102.2301083721,254856.92049651878,425088.5916079224,Damped ETS
2024-01,PARACETAMOLUM,1503631.501048103,1260139.0263704376,2101846.210143594,Damped ETS
2024-01,PREGABALINUM,265605.9715302162,222594.5982428923,371276.736891386,Damped ETS
2024-01,ROSUVASTATINUM,253368.67987936927,212338.96662223223,354170.88336792355,Damped ETS
2024-01,SILDENAFILUM,162682.0891607488,136337.81425291958,227404.9631271049,Damped ETS
2024-02,ACETYLCYSTEINUM,218646.65571357758,246845.33656675206,440056.28416839964,Damped ETS
2024-02,ACIDUM ACETYLSALICYLICUM*,1471978.3498586742,1661817.4577771297,2962551.8475791938,Damped ETS
2024-02,AMBROXOLUM,399129.4315292877,450604.72231506056,803301.7070632009,Damped ETS
2024-02,AMLODIPINUM,360749.4575364416,407274.9370185203,726056.9405157373,Damped ETS
2024-02,ATORVASTATINUM,108456.68704367462,122444.32250693506,218284.41930560413,Damped ETS
2024-02,AZITHROMYCINUM,397168.25241059106,448390.612681818,799354.5750716646,Damped ETS
2024-02,BISOPROLOLUM,661051.3709787969,746306.3661701664,1330454.2025340842,Damped ETS
2024-02,CEFTRIAXONUM,440505.2340357324,497316.7039180317,886575.9741567661,Damped ETS
2024-02,CITICOLINUM,70519.94647578466,79614.93382721308,141931.7185642073,Damped ETS
2024-02,DICLOFENACUM,684233.8369885606,772478.6422387912,1377111.9771134153,Damped ETS
2024-02,FLUCONAZOLUM,306807.77411350637,346376.4704983131,617492.1784875364,Damped ETS
2024-02,IBUPROFENUM,1159017.8592890685,1308494.8925974728,2332677.5272595636,Damped ETS
2024-02,LEVOFLOXACINUM,100702.04844374453,113689.57906573679,202677.18495929614,Damped ETS
2024-02,MELOXICAMUM,202877.4048047771,229042.3475315598,408318.5840515176,Damped ETS
2024-02,METFORMINUM,363244.2030361941,410091.4263390694,731077.9453178672,Damped ETS
2024-02,PANTOPRAZOLUM,291020.11622686207,328552.7005632151,585717.4318967132,Damped ETS
2024-02,PARACETAMOLUM,1135638.9896160765,1282100.8829612099,2285624.4643687294,Damped ETS
2024-02,PREGABALINUM,263373.6018591801,297340.6540940681,530075.1704251245,Damped ETS
2024-02,ROSUVASTATINUM,255133.66222879587,288038.02103059704,513491.2036607679,Damped ETS
2024-02,SILDENAFILUM,144252.91847863983,162857.14359929535,290329.0627175118,Damped ETS
2024-03,ACETYLCYSTEINUM,218326.6810121565,137810.47398400912,345007.48220369744,Damped ETS
2024-03,ACIDUM ACETYLSALICYLICUM*,1575018.7275423328,994173.3951121607,2488896.253527854,Damped ETS
2024-03,AMBROXOLUM,411102.01349817804,259492.94958442028,649637.3145684366,Damped ETS
2024-03,AMLODIPINUM,314225.31352528866,198343.02688072444,496549.6114260732,Damped ETS
2024-03,ATORVASTATINUM,119611.09044747698,75499.81791945385,189013.9045104257,Damped ETS
2024-03,AZITHROMYCINUM,402223.1300012936,253888.47462107457,635606.6149122027,Damped ETS
2024-03,BISOPROLOLUM,637201.0610348969,402209.8183889805,1006926.3621903996,Damped ETS
2024-03,CEFTRIAXONUM,404632.1192012523,255409.06216599225,639413.3777728246,Damped ETS
2024-03,CITICOLINUM,76115.55435042646,48044.82955760039,120280.84774954709,Damped ETS
2024-03,DICLOFENACUM,842507.0945891264,531801.8470806761,1331357.6147710653,Damped ETS
2024-03,FLUCONAZOLUM,316497.74250373035,199777.41571127131,500140.5773958178,Damped ETS
2024-03,IBUPROFENUM,1186953.7608476449,749221.3816348923,1875663.407673973,Damped ETS
2024-03,LEVOFLOXACINUM,96640.58084097093,61000.51223196205,152715.16026486718,Damped ETS
2024-03,MELOXICAMUM,234145.05908666266,147795.25460540288,370004.1962488841,Damped ETS
2024-03,METFORMINUM,330984.9525622351,208921.94453520616,523033.73657050164,Damped ETS
2024-03,PANTOPRAZOLUM,307033.6848314187,193803.57065578207,485185.16652956756,Damped ETS
2024-03,PARACETAMOLUM,1111476.1122479637,701578.8382883618,1756391.1795123494,Damped ETS
2024-03,PREGABALINUM,275916.2845020514,174161.83404199075,436012.4413488235,Damped ETS
2024-03,ROSUVASTATINUM,269154.95428065304,169893.98820776652,425327.9680536905,Damped ETS
2024-03,SILDENAFILUM,154224.17168566282,97348.07702452372,243710.61803304512,Damped ETS
2024-04,ACETYLCYSTEINUM,176633.31298384006,61632.32974847539,198033.55048932295,Damped ETS
2024-04,ACIDUM ACETYLSALICYLICUM*,1371548.8771361893,478576.3750072529,1537719.8357993332,Damped ETS
2024-04,AMBROXOLUM,327704.4956137737,114345.87026749509,367407.85403557925,Damped ETS
2024-04,AMLODIPINUM,265533.9442578821,92652.58753192167,297704.9917578302,Damped ETS
2024-04,ATORVASTATINUM,103827.00520519409,36227.8933211046,116406.35025756192,Damped ETS
2024-04,AZITHROMYCINUM,347566.6723467235,121276.41545673231,389676.44485807145,Damped ETS
2024-04,BISOPROLOLUM,583291.3627426481,203528.25728521368,653960.5033357838,Damped ETS
2024-04,CEFTRIAXONUM,301468.7089819658,105191.36986848821,337993.45473458257,Damped ETS
2024-04,CITICOLINUM,62227.48988373233,21712.499330702693,69766.82038313113,Damped ETS
2024-04,DICLOFENACUM,828639.2444121855,289137.936619783,929033.6566725285,Damped ETS
2024-04,FLUCONAZOLUM,279121.60994103,97393.75625171684,312938.8793321406,Damped ETS
2024-04,IBUPROFENUM,1128672.020995868,393828.91507211013,1265417.0865910922,Damped ETS
2024-04,LEVOFLOXACINUM,62340.73316956962,21752.013514894366,69893.78372806615,Damped ETS
2024-04,MELOXICAMUM,207797.7162263339,72506.58124022715,232973.69594090278,Damped ETS
2024-04,METFORMINUM,332982.86288364604,116187.6604892363,373325.7250989575,Damped ETS
2024-04,PANTOPRAZOLUM,281969.04602561804,98387.31726585115,316131.2982655453,Damped ETS
2024-04,PARACETAMOLUM,963529.8967933595,336205.5755046273,1080267.0679970968,Damped ETS
2024-04,PREGABALINUM,273001.33343099954,95258.19711871284,306077.09700310335,Damped ETS
2024-04,ROSUVASTATINUM,260798.37462389327,91000.19666930822,292395.68130769324,Damped ETS
2024-04,SILDENAFILUM,144234.99041673733,50327.52455890617,161709.98946768133,Damped ETS
2024-05,ACETYLCYSTEINUM,139998.435682424,49012.69781024203,151479.3429365429,Damped ETS
2024-05,ACIDUM ACETYLSALICYLICUM*,1451037.98868977,508006.66557267215,1570033.0687060063,Damped ETS
2024-05,AMBROXOLUM,220652.76780645782,77249.71921354037,238747.879626797,Damped ETS
2024-05,AMLODIPINUM,324366.5867435683,113559.84971764419,350966.9381056478,Damped ETS
2024-05,ATORVASTATINUM,104933.03468315882,36736.327124922864,113538.34022689471,Damped ETS
2024-05,AZITHROMYCINUM,300564.6619561732,105226.8136368569,325213.09337213595,Damped ETS
2024-05,BISOPROLOLUM,656631.3076295025,229885.48019696842,710479.6291402642,Damped ETS
2024-05,CEFTRIAXONUM,231806.59099527152,81154.66437664455,250816.3922851463,Damped ETS
2024-05,CITICOLINUM,55996.77232022298,19603.7782419363,60588.971048110165,Damped ETS
2024-05,DICLOFENACUM,850598.193512386,297793.14199228596,920353.1207629254,Damped ETS
2024-05,FLUCONAZOLUM,296389.24819447205,103765.00439918973,320695.26724347036,Damped ETS
2024-05,IBUPROFENUM,1109865.3162674191,388562.36791739834,1200881.9134374373,Damped ETS
2024-05,LEVOFLOXACINUM,51443.29348766753,18009.60870549276,55662.0759378009,Damped ETS
2024-05,MELOXICAMUM,199633.1938670445,69890.78208536885,216004.55746123407,Damped ETS
2024-05,METFORMINUM,412030.6745618887,144250.98135109182,445820.0782001652,Damped ETS
2024-05,PANTOPRAZOLUM,264143.83474364906,92475.90924719149,285805.51026801084,Damped ETS
2024-05,PARACETAMOLUM,912251.9951716352,319378.09187904047,987062.9540787544,Damped ETS
2024-05,PREGABALINUM,259213.73137585286,90749.88374241331,280471.104845403,Damped ETS
2024-05,ROSUVASTATINUM,258427.3934999698,90474.58743970032,279620.28190799523,Damped ETS
2024-05,SILDENAFILUM,138891.46589048396,48625.148513327054,150281.5940821557,Damped ETS
2024-06,ACETYLCYSTEINUM,91287.53769168556,47521.73100291541,103194.5496555553,Damped ETS
2024-06,ACIDUM ACETYLSALICYLICUM*,2010298.9847736764,1046515.3297304686,2272507.8729312452,Damped ETS
2024-06,AMBROXOLUM,66352.47011133959,34541.10343319338,75007.13347256399,Damped ETS
2024-06,AMLODIPINUM,245429.94174468037,127764.75153078555,277442.1662095695,Damped ETS
2024-06,ATORVASTATINUM,94389.95431659432,49136.778351164656,106701.6229088181,Damped ETS
2024-06,AZITHROMYCINUM,226386.78249683348,117851.31708146216,255915.15596873366,Damped ETS
2024-06,BISOPROLOLUM,587199.491577973,305682.18555267295,663789.646872419,Damped ETS
2024-06,CEFTRIAXONUM,81022.42526358171,42177.94755572045,91590.53072744042,Damped ETS
2024-06,CITICOLINUM,44341.10043677392,23082.486321996264,50124.76105566744,Damped ETS
2024-06,DICLOFENACUM,783366.033024275,407802.01370031893,885542.7232219385,Damped ETS
2024-06,FLUCONAZOLUM,297915.3268979438,155087.4461789014,336773.36272919364,Damped ETS
2024-06,IBUPROFENUM,1126602.5646191475,586483.1249746257,1273548.5280627066,Damped ETS
2024-06,LEVOFLOXACINUM,29877.45342803291,15553.041514380238,33774.58127590194,Damped ETS
2024-06,MELOXICAMUM,167748.11637459384,87325.36467866924,189628.08932746088,Damped ETS
2024-06,METFORMINUM,376363.2246879892,195925.6328635378,425453.4329380942,Damped ETS
2024-06,PANTOPRAZOLUM,230854.26274297189,120176.98542237817,260965.34179964958,Damped ETS
2024-06,PARACETAMOLUM,895028.7861490236,465931.09664953273,1011769.9525777068,Damped ETS
2024-06,PREGABALINUM,260196.74611889568,135452.0131497481,294135.04499353975,Damped ETS
2024-06,ROSUVASTATINUM,255416.23024131285,132963.38559748267,288730.99344338296,Damped ETS
2024-06,SILDENAFILUM,138879.1457788782,72296.836906817,156993.66047203742,Damped ETS
2024-07,ACETYLCYSTEINUM,81995.74649367538,54202.52683840868,109275.41236753392,Damped ETS
2024-07,ACIDUM ACETYLSALICYLICUM*,2807495.5177984084,1855880.109416491,3741527.2961625597,Damped ETS
2024-07,AMBROXOLUM,12364.686210670101,8173.273163961404,16478.651734339746,Damped ETS
2024-07,AMLODIPINUM,267902.74731262476,177095.39197318876,357032.1948280426,Damped ETS
2024-07,ATORVASTATINUM,95603.39580457553,63197.793311425725,127410.21845481475,Damped ETS
2024-07,AZITHROMYCINUM,214007.33471211317,141468.10713226793,285206.2067992837,Damped ETS
2024-07,BISOPROLOLUM,618137.0706575154,408615.98708144657,823786.693996525,Damped ETS
2024-07,CEFTRIAXONUM,65150.18029309012,43066.85208658133,86825.46017532439,Damped ETS
2024-07,CITICOLINUM,45596.63536040593,30141.081944877857,60766.60624901751,Damped ETS
2024-07,DICLOFENACUM,829935.1991003297,548624.0487459465,1106048.376466746,Damped ETS
2024-07,FLUCONAZOLUM,336321.3499921153,222323.15679517755,448213.12284926773,Damped ETS
2024-07,IBUPROFENUM,1145051.1575575578,756929.8296681768,1526000.9098592594,Damped ETS
2024-07,LEVOFLOXACINUM,44722.72971221216,29563.39111833068,59601.959137199345,Damped ETS
2024-07,MELOXICAMUM,189593.2607145618,125329.30929273115,252669.76441819847,Damped ETS
2024-07,METFORMINUM,409657.24363947357,270801.4714785519,545947.2854622742,Damped ETS
2024-07,PANTOPRAZOLUM,262173.35823224194,173308.00883829588,349396.6835360148,Damped ETS
2024-07,PARACETAMOLUM,927183.1272082742,612909.2906193564,1235649.9173599777,Damped ETS
2024-07,PREGABALINUM,267721.17233284516,176975.36276824438,356790.2112955917,Damped ETS
2024-07,ROSUVASTATINUM,263935.57683379785,174472.91436624815,351745.1782607442,Damped ETS
2024-07,SILDENAFILUM,143612.86348447268,94934.20458581382,191392.05446752653,Damped ETS
2024-08,ACETYLCYSTEINUM,90415.71552405147,58912.64549120614,118812.10469388407,Damped ETS
2024-08,ACIDUM ACETYLSALICYLICUM*,4166290.667058253,2714667.7298184847,5474761.549760755,Damped ETS
2024-08,AMBROXOLUM,23107.48288965877,15056.005343650388,30364.962543236943,Damped ETS
2024-08,AMLODIPINUM,261008.70326222826,170067.47725701143,342981.7440653437,Damped ETS
2024-08,ATORVASTATINUM,97911.77035663945,63796.918431559236,128662.38008216063,Damped ETS
2024-08,AZITHROMYCINUM,228710.05441304075,149022.35150656514,300539.3403024164,Damped ETS
2024-08,BISOPROLOLUM,626938.7088335212,408499.8345691677,823836.1946012109,Damped ETS
2024-08,CEFTRIAXONUM,48545.48582421767,31630.877348287777,63792.057172250585,Damped ETS
2024-08,CITICOLINUM,48419.84731696303,31549.013918129516,63626.96047492525,Damped ETS
2024-08,DICLOFENACUM,850318.4534202376,554049.4158188573,1117370.8671033846,Damped ETS
2024-08,FLUCONAZOLUM,346409.6958805111,225712.98234475468,455203.88151092007,Damped ETS
2024-08,IBUPROFENUM,1205747.9802404614,785639.8802460207,1584427.045119003,Damped ETS
2024-08,LEVOFLOXACINUM,48580.91697145416,31653.96354463477,63838.615870845606,Damped ETS
2024-08,MELOXICAMUM,194487.72248806895,126723.79399731953,255569.09909973855,Damped ETS
