SKU,INN,zero_rate,mean_demand,CV,ADI,CV2_positive,leading_zeros,trailing_zeros,internal_zero_months,seasonality_strength,trend_strength,lag12_autocorrelation,segment
111615,UNKNOWN_SKU_111615,0.75,0.10733333333333332,3.8378559817067006,4.0,2.9322846340804762,0,0,45,0.11544983828298927,0.16539838323786604,-0.07342099093445746,Lumpy / volatile
102118,SORAFENIBUM,0.21666666666666667,0.5750000000000001,3.3558165512879152,1.2765957446808511,8.604845368620035,0,0,13,0.1725551562967631,0.13488276837473956,-0.05926661453611974,Lumpy / volatile
419910,PEMBROLIZUMABUM,0.21666666666666667,141.038,1.346034237344851,1.2765957446808511,1.2025830650152187,0,0,13,0.10819893153470961,0.6935408976260911,0.15953346105878394,Lumpy / volatile
295288,TRASTUZUMABUM EMTANSINUM,0.08333333333333333,3.0555000000000017,1.6199357233925458,1.0909090909090908,2.322175768929719,0,5,0,0.10864235974186798,0.036239131984254436,-0.0017542954444683993,Lumpy / volatile
447002,OCRELIZUMABUM,0.03333333333333333,7.230833333333331,1.484249672876014,1.0344827586206897,2.0962305217181365,0,0,2,0.11377928059301856,0.017007087006749466,0.03785141655111002,Lumpy / volatile
426961,ATEZOLIZUMABUM,0.03333333333333333,35.105999999999995,0.7003429400740236,1.0344827586206897,0.44079755925447683,0,0,2,0.08499285060112971,0.022219458881257204,0.030850024736431197,Stable
136632,EVEROLIMUSUM,0.23333333333333334,0.7561666666666664,2.286774881660743,1.3043478260869565,3.7758268422024526,0,0,14,0.2372866678096357,0.002902505810941425,-0.12531117548392123,Lumpy / volatile
83277,PEMETREXEDUM,0.9666666666666667,0.0025,6.3087241182349985,30.0,0.36,0,21,37,0.18261865648254905,0.002323861125992921,-0.02593181016197851,Potential discontinued
156475,DEXAMETHASONUM,0.6166666666666667,0.05033333333333334,3.5523428200871794,2.608695652173913,4.220670146046225,0,2,35,0.17671594091931397,0.051586574213149494,0.04857915282471387,Lumpy / volatile
355119,ADALIMUMAB,0.4666666666666667,1.8071666666666666,6.329099689582415,1.875,20.897334869691846,0,14,14,0.15312101174891923,0.01604894143669866,-0.030602273697334502,Potential discontinued
188093,ABIRATERONE,0.8,0.006000000000000001,2.0905430802474196,5.0,0.07407407407407407,0,21,27,0.08563062943371103,0.09171560825458347,-0.018493753676503473,Potential discontinued
412521,PALBOCICLIBUM,0.05,0.5836666666666666,2.4684402555274687,1.0526315789473684,5.738537430353089,0,0,3,0.3049844133642914,0.2767253460670256,0.6894176856783478,Lumpy / volatile
183766,AMYLMETACRESOLUM+DICHLOROBENZYL ALCOHOL*,0.9833333333333333,0.0008333333333333334,7.681145747868627,60.0,0.0,0,59,0,0.1810004636546304,0.04331604222080565,,Potential discontinued
95414,CURCUMA LONGA*&+GLYCYRRHIZA GLABRA/URALENSIS*&+TERMINALIA BELERICA*+ZINGIBER OFFICINALE*,0.9333333333333333,0.017499999999999998,5.548671471806623,15.0,1.119183673469388,0,51,5,0.1759096554708336,0.09145012345370673,,Potential discontinued
189171,IMMUNOGLOBULINUM HUMANUM*,0.75,0.026333333333333337,3.9858144553273025,4.0,3.221679218074027,0,16,29,0.17752782542884793,0.008037372492626593,-0.06150133762321133,Potential discontinued
92494,LEVOSIMENDANUM,0.2833333333333333,0.8053333333333335,1.960128470815091,1.3953488372093024,2.4701742625049325,0,0,17,0.187847373297366,0.3242628263991365,0.13328879616733932,Lumpy / volatile
170781,FULVESTRANTUM,0.0,68.871,1.1371584341370882,1.0,1.2931293043291143,0,0,0,0.06744332537865505,0.20364489710544076,-0.1538815157769734,Lumpy / volatile
265228,LANREOTIDUM,0.0,7.6905,0.8829353919902617,1.0,0.7795749064289972,0,0,0,0.22959266062133132,0.47713573982265844,0.39063418664955146,Stable
316951,RITUXIMABUM,0.11666666666666667,22.727333333333323,1.022345783868639,1.1320754716981132,0.8065852965846833,0,4,3,0.10328833966080375,0.3592648368995869,0.03653736687639194,Lumpy / volatile
88289,ERLOTINIBUM,0.85,0.024000000000000007,4.37876821847322,6.666666666666667,2.026041666666666,0,21,30,0.2077708041270412,0.11361611952544792,-0.053159047351893286,Potential discontinued
295287,TRASTUZUMABUM EMTANSINUM,0.08333333333333333,8.720333333333334,1.3523852995754533,1.0909090909090908,1.5932004986321397,0,4,1,0.1518959408529038,0.1511241550305883,-0.20659666707327712,Lumpy / volatile
174362,VEMURAFENIBUM,0.05,4.989333333333332,1.7110093956642374,1.0526315789473684,2.731175494448732,0,1,2,0.12576351738260616,0.0017801052855270783,0.01095957195126415,Lumpy / volatile
412555,PALBOCICLIBUM,0.0,11.016666666666667,0.7893270602857883,1.0,0.6230372080994044,0,0,0,0.1823928395854333,0.024119472693703736,-0.1509399894912582,Stable
159567,IODIXANOLUM,0.8166666666666667,0.020999999999999998,2.229636158625175,5.454545454545454,0.09473418997228523,0,30,19,0.17452263654013256,0.2749071753085548,0.21019451210806891,Potential discontinued
75118,UROFOLLITROPINUM,0.6833333333333333,0.2138333333333333,3.408403690227093,3.1578947368421053,2.9954516432586575,0,38,3,0.1761133876468005,0.16255730323874285,-0.028266167772320307,Potential discontinued
231103,LAPATINIB,0.5166666666666667,1.6628333333333332,2.3403203612654475,2.0689655172413794,2.130598040120925,0,10,21,0.14001547770254608,0.022888412653740087,-0.05740414275276727,Potential discontinued
149425,MENOTROPINUM*,0.8166666666666667,0.0845,4.943310387711206,5.454545454545454,3.663324891363125,0,16,33,0.2022681743615914,0.05642104698757944,-0.03154806633801512,Potential discontinued
137257,IOHEXOLUM,0.95,0.021500000000000002,5.819113988823984,20.0,0.7431043807463494,0,0,57,0.16793506622724597,0.06079202988743293,-0.026620572197681096,Lumpy / volatile
384032,PACLITAXELUM,0.9333333333333333,0.004666666666666667,3.7416573867739364,15.0,0.0,0,54,2,0.13664751436422584,0.17237415585037452,,Potential discontinued
435144,SOMATROPINUM,0.8166666666666667,0.6916666666666667,3.3081739822038823,5.454545454545454,1.189736101030628,0,4,45,0.11960144398836381,0.2302655640569683,-0.04881402093935027,Lumpy / volatile
123875,CETUXIMABUM,0.6666666666666666,4.348166666666667,1.813259434459733,3.0,0.4293032588857443,0,3,37,0.1554938506987853,0.18639265445223552,0.02002189029847265,Intermittent
138747,GADODIAMIDUM,0.9833333333333333,0.0015,7.681145747868623,60.0,0.0,0,59,0,0.18100046365462996,0.04331604222080787,,Potential discontinued
140727,ARTICAINUM+EPINEPHRINUM,0.0,52.24383333333335,0.7427217638811807,1.0,0.5516356185427724,0,0,0,0.058093665725144183,0.08029156050972386,-0.3327411388597044,Stable
66678,LINEZOLIDUM,0.11666666666666667,6.4775,1.2385356104928458,1.1320754716981132,1.2383405716386835,0,0,7,0.10585561060239868,0.11025930880529033,0.3231727280969691,Lumpy / volatile
