INN,known_inn,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,share_change_12m,opportunity_probability,predicted_share_change_6m,action,supply_watch,reason
UNKNOWN_SKU_44974,False,0.0,1.0172672956625746,0.0,2.278006163894034,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_44915,False,0.0,10.223505441218329,3.958490894549079,11.484244309449783,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_44819,False,0.0,484.4449320518604,478.1799175051911,485.7056709200918,,,,,Data Review,False,补齐INN后再形成分子级商业建议
DAPOXETINE,True,0.0,0.0,0.0,1.260738868231459,,0.0,0.0114593224810483,0.0,Monitor,False,常规跟踪销量与生命周期信号
DEXPANTHENOLUM+TROXERUTINUM,True,0.0,6.796698077823011,0.5316835311537629,8.05743694605447,,0.0,0.0106817365718516,0.0,Monitor,False,常规跟踪销量与生命周期信号
DASATINIBUM,True,0.0,0.0108240582383053,0.0,1.2715629264697643,,-1.1371481947772408e-05,0.0259576279877115,0.0,Monitor,False,常规跟踪销量与生命周期信号
DARUNAVIRUM,True,0.0,0.0238855992283614,0.0,1.2846244674598206,,-1.1052296509673433e-08,0.0214489565661815,0.0,Monitor,False,常规跟踪销量与生命周期信号
UNKNOWN_SKU_48194,False,0.0,0.0600372511152733,0.0,1.3207761193467324,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_480610,False,0.0,6.980298446021905,0.7152838993526567,8.241037314253365,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_4784,False,0.0,4.8978352976975605,0.0,6.15857416592902,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_4741,False,0.0,0.0,0.0,1.260738868231459,,,,,Data Review,False,补齐INN后再形成分子级商业建议
PENTANEDIOIC ACID IMIDAZOLYL ETHANAMIDE,True,0.0,80.4744784519748,74.20946390530555,81.73521732020626,,0.0,0.0103668881926902,0.0,Monitor,False,常规跟踪销量与生命周期信号
UNKNOWN_SKU_110103,False,0.0,0.0,0.0,1.260738868231459,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_109746,False,0.0,86.01784432399211,79.75282977732286,87.27858319222356,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_105760,False,0.0,606.6421560657147,600.3771415190455,607.9028949339462,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_103260,False,0.0,226.0145189491132,219.749504402444,227.27525781734468,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_103259,False,0.0,277.8822222135195,277.4888887753422,278.1558798511577,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_452155,False,0.0,127.42235572571488,121.15734117904562,128.68309459394632,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_451350,False,0.0,18.576808078184087,12.311793531514835,19.837546946415547,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_51208,False,0.0,55.98876425405136,49.723749707382105,57.24950312228281,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_50493,False,0.0,0.6051040401548912,0.0,1.8658429083863504,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_50274,False,0.0,49.37697719182722,43.11196264515797,50.63771606005868,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_502265,False,0.0,0.0,0.0,1.260738868231459,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_502264,False,0.0,1882.0899435969875,1875.824929050318,1883.3506824652188,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_502262,False,0.0,0.0,0.0,1.260738868231459,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_502261,False,0.0,311.5020123576226,305.23699781095337,312.76275122585406,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_54966,False,0.0,1003.9933385541188,997.7283240074496,1005.2540774223504,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_54965,False,0.0,98.78212476859508,92.51711022192583,100.04286363682654,,,,,Data Review,False,补齐INN后再形成分子级商业建议
OCTOCOGUM ALFA,True,0.0,0.5982404988577501,0.0,1.8589793670892087,,0.0,,,Monitor,False,常规跟踪销量与生命周期信号
CYPROTERONUM+ESTRADIOLI VALERAS,True,0.0,0.0,0.0,1.260738868231459,,-0.0060615159432173,0.0120067753518567,0.0,Monitor,False,常规跟踪销量与生命周期信号
CYANOCOBALAMINUM+PYRIDOXINUM+RIBOFLAVINUM+THIAMINUM,True,0.0,1.1474364434703574,0.0,2.4081753117018163,,0.0,,,Monitor,False,常规跟踪销量与生命周期信号
UNKNOWN_SKU_49597,False,0.0,58.299747141190565,52.03473259452132,59.56048600942202,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_48678,False,0.0,42.97061715483865,36.7056026081694,44.231356023070106,,,,,Data Review,False,补齐INN后再形成分子级商业建议
CORTEXINUM*,True,0.0,248.95638598147863,242.6913714348094,250.21712484971013,,-3.851495712334621e-05,0.0132568198758518,0.0,Monitor,False,常规跟踪销量与生命周期信号
CURCUMA LONGA*&+GLYCYRRHIZA GLABRA/URALENSIS*&+TERMINALIA BELERICA*+ZINGIBER OFFICINALE*,True,0.0,0.7961261939054861,0.0,2.056865062136945,,0.0,0.0118537185920975,0.0,Monitor,False,常规跟踪销量与生命周期信号
CRATAEGUS+VALERIANA+QUERCUS+HYPERICUM+MATRICARIA+THYMUS+ACHILLEA*&,True,0.0,187.82936187134143,181.5643473246722,189.09010073957293,,-0.0014104275059021,0.0138503764774012,0.0,Monitor,False,常规跟踪销量与生命周期信号
CRATAEGUS L.*&+PASSIFLORA INCARNATA*&,True,0.0,0.0,0.0,1.260738868231459,,-0.0003757180052218,0.0119649577267407,0.0,Monitor,False,常规跟踪销量与生命周期信号
FONTURACETAMUM,True,0.0,0.0,0.0,1.260738868231459,,-3.078927362619697e-07,0.0119925917007574,0.0,Monitor,False,常规跟踪销量与生命周期信号
FOENICULUM VULGARE MILL.*&,True,0.0,502.4893670529157,496.2243525062465,503.7501059211472,,0.0,0.0102519456034756,0.0,Monitor,False,常规跟踪销量与生命周期信号
UNKNOWN_SKU_301732,False,0.0,16098.47261876354,16098.07928532536,16098.746276401176,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_301729,False,0.0,2.3059704709540347,0.0,3.566709339185494,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_301728,False,0.0,1575.2204358660924,1568.9554213194233,1576.481174734324,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_301727,False,0.0,3495.378089175469,3489.1130746288004,3496.638828043701,,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_295129,False,0.0,1.0479172056065944,0.0,2.308656073838053,,,,,Data Review,False,补齐INN后再形成分子级商业建议
