INN,known_inn,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,share_change_12m,opportunity_probability,predicted_share_change_6m,action,supply_watch,reason
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,True,36139314.25,33655927.21349222,23543561.516961325,39823725.95507768,-0.0687170492314412,-0.0132291523823404,0.652023549572311,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
ACIDUM ACETYLSALICYLICUM*,True,22352905.15,21244309.61988152,14989604.572270695,25059219.31355257,-0.0495951431225252,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
XYLOMETAZOLINUM,True,17561227.92,17296280.731171113,12382364.61260036,20293407.86857028,-0.0150870537092197,0.0024947818119023,0.2356961200541529,0.0,Monitor,False,常规跟踪销量与生命周期信号
NATRII CHLORIDUM*,True,15445526.819999998,12699167.31691797,8377258.647070536,15335213.486043064,-0.1778093771153108,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
ASCORBIC ACID,True,14461713.47,12031611.481124504,7984989.727445635,14499752.894223826,-0.1680369337918775,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
IBUPROFENUM,True,13415092.14,14432420.862271998,10678660.715250468,16721938.251754422,0.075834642927171,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
METAMIZOLUM NATRICUM,True,13005371.36,12577362.787137762,8938249.153112197,14796954.242392326,-0.0329101385123568,0.0014304091064556,0.548002607855392,0.0,Monitor,False,常规跟踪销量与生命周期信号
PARACETAMOLUM,True,12015424.03,12201916.286665916,8839805.955802485,14252556.116165437,0.0155210715993281,-0.0430684784247412,0.6320169605598078,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
DICLOFENACUM,True,11767579.21,11228812.423591634,7936053.089221748,13237153.249896748,-0.0457839948891548,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
PANCREATINUM*,True,11211805.08,10979450.401135052,7842205.673610017,12892938.76411154,-0.0207241097403156,0.0004328826530209,0.1785823812015836,0.0,Market-led Growth,False,销量增长且同类份额变化不超过0.2个百分点
OXYMETAZOLINUM,True,11129040.430000002,11700537.7586788,8586451.921268716,13599900.903324183,0.051351896174107,-0.0016939378361213,0.2888449517690727,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
ENALAPRILUM,True,10444347.28,9185387.026088236,6262889.42620841,10967895.447931506,-0.1205398690947936,-0.0072871658415153,0.5073553512169658,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
MENTHOL SOLITION IN ISOVALERAT,True,10196528.72,9608246.57750314,6755092.626143367,11348460.477874976,-0.0576943544858526,-0.0252792471335863,0.5022062004094698,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
BISOPROLOLUM,True,10102992.13,9836047.336455291,7009066.4385614265,11560297.600713192,-0.0264223499444324,0.0042569958758797,0.3939446155810026,0.0,Monitor,False,常规跟踪销量与生命周期信号
SPIRITUS AETHYLICUS*,True,9317096.98,9663686.271025011,7056611.570048815,11253809.941633224,0.0371992791068933,0.0136084508870594,0.2175543584757917,0.0,Monitor,False,常规跟踪销量与生命周期信号
NAPHAZOLINUM,True,8770060.66,8272895.975692173,5818890.900743106,9769658.441304706,-0.0566888535418438,-0.0057401669695467,0.6173002198474152,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
METFORMINUM,True,7740349.95,7192507.243287124,5026631.909514717,8513531.774931109,-0.0707775113853704,-0.0171534180313241,0.4042273149370164,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
METAMIZOLUM NATRICUM+PITOFENONUM+FENPIVERINII BROMIDUM,True,7522164.920000001,7322543.831524339,5217720.204422558,8606331.315886311,-0.0265377176117088,0.0024227664262462,0.4884074715209258,0.0,Monitor,False,常规跟踪销量与生命周期信号
DROTAVERINUM,True,7204326.92,6797308.491678435,4781421.086941581,8026851.42665945,-0.0564963851364985,-0.0226711099366677,0.2478750763618526,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
HYDROGENII PEROXIDUM*,True,6704943.69,6547376.300497348,4671224.415077239,7691690.854102451,-0.0235001808796178,-0.0003732248992343,0.6916537579704811,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
CRATAEGUS L.*&,True,6532733.830000001,5304118.765829279,3476153.989572936,6419042.729716799,-0.1880705836396707,-0.0980796066532248,0.4311765128675394,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
OMEPRAZOLUM,True,6412586.57,6421031.520913861,4626685.89476511,7515450.277815253,0.0013169336307081,-0.0348998151950505,0.225371570713395,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
RANITIDINUM,True,6276118.119999999,5536768.352655713,3780608.810030635,6607896.409342004,-0.1178036730998118,-0.0195048313248459,0.5433955394624584,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
NIMESULIDUM,True,6156312.829999999,6326691.359209332,4604055.277944867,7377372.572001862,0.0276754177239126,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+PHENOBARBITALUM,True,6059001.92,5654255.82288391,3958848.910977084,6688329.246605275,-0.0668007870702391,-0.0047548953317112,0.4471792454174683,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
LOPERAMIDUM,True,5891246.01,5908769.568215012,4260303.478094098,6914212.545784745,0.0029745079708547,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
CARBO ACTIVATUS MEDICINALIS*,True,5468696.71,3887245.807909129,2357015.8585421355,4820573.442537684,-0.2891824114508027,-0.1407969416040592,0.5128615163338622,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
DECAMETOXINUM*,True,5272772.44,4644999.76522756,3169592.6011895896,5544889.536104949,-0.1190593149839099,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
AMLODIPINUM+INDAPAMIDUM+PERINDOPRILUM,True,5078501.819999999,5736205.272460832,4315158.175687607,6602939.403547324,0.1295073775243489,0.0357779509150248,0.4268916045259424,0.0,Invest,False,机会概率位于前20%，份额及预测销量增长，维持或评估增加商业支持
CAPTOPRILUM+HYDROCHLOROTHIAZIDUM,True,5078151.109999999,4997165.9668690935,3576217.0044364627,5863840.243231124,-0.0159477615724015,-0.0163651359526494,0.2096556498101315,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
ARGININUM,True,4994229.96,4340513.112657892,2943046.64777911,5192864.793970616,-0.130894422679349,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
VALERIANA OFFICINALIS*&,True,4965333.12,4614617.009234335,3225236.3484063083,5462036.945241798,-0.070632946932202,-0.046588025805736,0.4958599634197617,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
CEFTRIAXONUM,True,4690157.7,2754728.3957483075,1442346.276134617,3555184.889188753,-0.4126576179414378,-0.0272674706716176,0.597308997726948,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
AMLODIPINUM,True,4670422.92,4472106.835239225,3165246.8268343983,5269195.247304152,-0.0424621256271101,-0.020511379563218,0.5288003750791757,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
FLUCONAZOLUM,True,4630222.32,4144317.5627972623,2848706.3336472875,4934545.047497166,-0.1049419927643426,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
PANTOPRAZOLUM,True,4421853.76,4297828.224556726,3060521.894714008,5052494.012284088,-0.0280483123537929,0.0146956006048656,0.4549792482469557,0.0,Monitor,False,常规跟踪销量与生命周期信号
IODUM*,True,4146088.35,4094307.902971481,2934165.203104773,4801909.556138769,-0.0124889878500825,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
DIPHENHYDRAMINUM,True,4007354.36,4171509.226144844,3050186.5446026083,4855433.525530104,0.0409634016355979,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
AZITHROMYCINUM,True,3976716.27,4234954.759939381,3122205.11241157,4913650.13960471,0.0649376199875031,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
AMBROXOLUM,True,3681389.46,3646695.2144332863,2616582.7935570544,4274987.96845736,-0.0094242258103039,0.0192789912204375,0.351805246178461,0.0,Monitor,False,常规跟踪销量与生命周期信号
CHLORHEXIDINUM,True,3677837.14,3669699.238301768,2640580.8141201767,4297385.727506477,-0.0022126868016326,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
ROSUVASTATINUM,True,3494538.7,3641277.9678613096,2663449.417196996,4237681.409475636,0.0419910267015528,0.0325592449703405,0.4059877909963861,0.0,Monitor,False,常规跟踪销量与生命周期信号
MELOXICAMUM,True,3483239.87,3165075.800128416,2190408.8451743177,3759550.901072709,-0.0913414182617242,-0.0148515756559325,0.5179257683523942,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
ASPARAGINAT K-MG*,True,3358399.59,3093345.7186786747,2153611.0968697006,3666514.667642423,-0.07892267260589,0.0120996276992072,0.511299866085026,0.0,Monitor,False,常规跟踪销量与生命周期信号
CLOPIDOGRELUM,True,3352997.39,2586527.410853581,1648304.412137062,3158774.380995836,-0.2285924771168458,-0.013077756516455,0.2430717473964397,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
DEXKETOPROFENUM,True,3191770.66,3270280.9538742728,2377171.806586627,3815011.795306256,0.0245977240339294,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
BENZOCAINUM+MENTHOLUM*+PROCAINUM,True,3141489.54,3735567.120133751,2856527.444932758,4271716.619193929,0.189106973799999,-0.0570822360157026,0.2429069505125959,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
PHENIBUTUM*,True,3061268.76,2685149.4271587087,1828556.8260280527,3207607.8632808845,-0.122863871919985,-0.0311937196034998,0.2394527277721304,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
NATRII PICOSULFAS,True,3058738.6,2931233.386253203,2075348.7648870144,3453260.006830788,-0.0416855542172833,0.011573520062418,0.3649782257214964,0.0,Monitor,False,常规跟踪销量与生命周期信号
BENZYDAMINUM,True,3011563.65,3469066.4820307544,2626382.1760555967,3983041.8818455,0.1519153785877163,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
CHLORAMPHENICOLUM,True,2995353.19,3083559.289959771,2245410.9333525235,3594768.094534307,0.0294476458583408,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
SULFANILAMIDUM,True,2990258.8,2727619.5954906857,1890896.731750413,3237958.954341548,-0.0878315965525505,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
LORATADINUM,True,2924307.62,3118484.1622780995,2300215.5073162275,3617567.8121192073,0.0664008604806425,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
BENZOCAINUM+LEVOMENTHOLUM+PROCAINUM,True,2923933.21,1995307.3093762104,1177143.420398946,2494327.0596781387,-0.3175947718121062,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
INOSINUM PRANOBEX*,True,2918083.6,2738061.7338530114,1921534.6605356368,3236083.1470822664,-0.0616918124439576,0.0234276822560208,0.353772352234605,0.0,Monitor,False,常规跟踪销量与生命周期信号
GIDAZEPAMUM*,True,2869564.85,2937477.755306723,2134527.0143941217,3427218.6050719577,0.0236666215460239,-0.0003579283495105,0.2148237489962982,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
ACICLOVIRUM,True,2839803.52,2861601.0430969456,2066978.004544528,3346262.607393394,0.007675715218828,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
AMMONIUM*,True,2831294.0700000003,2255011.2703307797,1462769.3137679384,2738220.5498760976,-0.2035404254808547,0.0027551717202327,0.7207153446342615,0.0,Monitor,False,常规跟踪销量与生命周期信号
ALBENDAZOLUM,True,2812067.34,2624269.1857777503,1837407.1798017824,3104197.091463054,-0.0667829505897428,0.0049535177200283,0.3935396943948256,0.0,Monitor,False,常规跟踪销量与生命周期信号
INDAPAMIDUM+PERINDOPRILUM,True,2759094.43,2909323.592864121,2137284.2654321827,3380210.755679321,0.0544487210117419,0.0374332604565613,0.4255160780874089,0.0,Invest,False,机会概率位于前20%，份额及预测销量增长，维持或评估增加商业支持
SPIRONOLACTONUM,True,2755548.43,2575489.336516657,1804442.237340956,3045771.3131297515,-0.0653441948336009,-0.0294103555152575,0.5238466481127049,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
VITAMIN C+PARACETAMOLUM+PHENIRAMINUM+PHENYLEPHRINUM,True,2692683.97,3466083.621811498,2712627.017143726,3925636.691545059,0.2872225855050854,0.0185337484794448,0.3527391284550132,0.0,Monitor,False,常规跟踪销量与生命周期信号
CARVEDILOLUM,True,2660725.9400000004,2551276.175319559,1806761.945265348,3005375.054753492,-0.0411353018494048,0.0028486880334042,0.3001031544746074,0.0,Monitor,False,常规跟踪销量与生命周期信号
PREGABALINUM,True,2647149.24,3396775.1525006318,2656059.90309122,3848556.933369949,0.2831823386355923,0.0101821903274752,0.4219108848100113,0.0,Invest,False,机会概率位于前20%，份额及预测销量增长，维持或评估增加商业支持
SILDENAFILUM,True,2585992.1100000003,2406585.856984769,1682983.3634852264,2847930.116354824,-0.0693761795797711,-0.0042805656890202,0.2853996669167074,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
CHLORAMPHENICOLUM+METHYLURACILUM*,True,2561005.07,2550073.6095747724,1833462.8947350543,2987153.398600929,-0.0042684259212448,0.0123438612341199,0.6081304123755016,0.0,Monitor,False,常规跟踪销量与生命周期信号
DIOSMINUM+HESPERIDINUM,True,2556145.01,2344526.7790058632,1629275.987702245,2780777.114773868,-0.0827880383023094,0.0363303133587011,0.6619592152239786,0.0,Monitor,False,常规跟踪销量与生命周期信号
AMOXICILLINUM+ACIDUM CLAVULANICUM,True,2552485.77,3002290.821161061,2288063.944500521,3437916.644363304,0.1762223540862526,0.0111993214569143,0.2430662415109148,0.0,Monitor,False,常规跟踪销量与生命周期信号
MOMETASONUM,True,2503210.96,2732207.384115509,2031768.397698268,3159423.6091442094,0.0914810728199708,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
CYANOCOBALAMINUM+PYRIDOXINUM+THIAMINUM,True,2461890.69,2186239.6718640164,1497362.7665097655,2606403.8784857,-0.1119672044155557,-0.0034531332372444,0.2227409756508492,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
ACIDUM MEFENAMICUM,True,2442727.7,2555160.794908541,1871646.004656376,2972054.506003126,0.0460276824586467,-0.0010142227687058,0.2608778779736747,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
CINCHOCAINUM+DEQUALINII CHLORIDUM,True,2405578.51,2194204.356807406,1521084.5118497529,2604757.916405262,-0.0878683245273062,0.019837002182419,0.2642984326360819,0.0,Monitor,False,常规跟踪销量与生命周期信号
NALBUPHINE HYDROCHLORIDE,True,2283487.81,2913924.126659168,2274967.237810884,3303640.797637332,0.2760848181007667,0.0628824518495712,0.4674002634546982,0.0,Invest,False,机会概率位于前20%，份额及预测销量增长，维持或评估增加商业支持
GENTIANA LUTEA&+PRIMULA&+RUMEX CONFERTUS&+SAMBUCUS NIGRA*&+VERBENA OFFICINALIS&,True,2254976.7800000003,2331514.4624227835,1700535.4217359307,2716365.233241945,0.0339416720835517,0.0899857828421326,0.3052320521034838,0.0,Monitor,False,常规跟踪销量与生命周期信号
KETOROLACUM,True,2189568.18,2038109.569484934,1425432.9149009974,2411797.2319512893,-0.0691728222480223,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
CALENDULA OFFICINALIS*&,True,2148445.76,2132043.458910232,1530873.5237535,2498712.8694924377,-0.0076344962461457,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
LEONURUS CARDIACA/QUINQUELOBATUS GILIB.*&,True,2129411.01,1772947.6877021263,1177103.9840175936,2136368.489130206,-0.1673999620664467,-0.0077503475748781,0.2909349509101868,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
GLICLAZIDUM,True,2120429.53,1973513.1137736964,1380182.5737210962,2335401.0703708427,-0.0692861583691977,0.0121812883686984,0.2526658514349772,0.0,Monitor,False,常规跟踪销量与生命周期信号
COFFEINUM*+PARACETAMOLUM,True,2108861.18,2022776.0801483104,1432682.551868989,2382689.6978280484,-0.0408206574563099,-0.0019668139010693,0.6728800158510695,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
VITAMIN C+PARACETAMOLUM+PHENIRAMINUM,True,2099521.47,2204472.8818488824,1616992.7557599344,2562792.5165552227,0.04998825367996,-0.0020607840023763,0.2591691034755722,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
CHLORPHENAMINUM+COFFEINUM*+PARACETAMOLUM+PHENYLEPHRINUM,True,2080050.87,2339811.1403944045,1757779.203669782,2694807.7806092845,0.124881691184026,0.0131227487690357,0.2673099166053327,0.0,Monitor,False,常规跟踪销量与生命周期信号
DOXYLAMINUM,True,2046541.59,1934645.010566172,1361989.513340189,2283922.712851413,-0.054675937191107,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
HYDROCHLOROTHIAZIDUM+VALSARTANUM,True,2032634.7,1978543.3672215135,1409779.2431524366,2325447.618310421,-0.0266114382375181,0.0144000060351854,0.3238317576076349,0.0,Monitor,False,常规跟踪销量与生命周期信号
ALLIUM SATIVUM+CARBO ACTIVATUS MEDICINALIS*+CHOLE MEDICATA CONSERVATA*+URTICA DIOICA,True,2028411.15,2033314.634338536,1465732.3279941152,2379498.063604572,0.0024174015896807,0.0208720632510889,0.3043744423726769,0.0,Monitor,False,常规跟踪销量与生命周期信号
SIMVASTATINUM,True,2025080.18,1951524.51781961,1384874.2708532717,2297139.459470409,-0.0363223456072687,-0.017081161346934,0.3844127854254593,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
ACIDUM SALICYLICUM*,True,2019601.16,1938846.9196161572,1373729.7912229977,2283526.771784424,-0.0399852416324827,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
LEVOCETIRIZINUM,True,2018266.67,1680631.2303369818,1115887.5138687138,2025083.328716515,-0.1672898059913055,0.0574050541790766,0.6066138479236487,0.0,Monitor,False,常规跟踪销量与生命周期信号
LEVOTHYROXINUM NATRICUM,True,1988813.54,2164277.634638954,1607775.38117707,2503703.0472077634,0.0882255129050229,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
CALCII CHLORIDUM*+KALII CHLORIDUM*+MAGNESII CHLORIDUM*+NATRII CHLORIDUM*+NATRII LACTAS*+SORBITOL*,True,1987092.69,1521176.3580823743,965155.6263336168,1860308.077849184,-0.234471363244573,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
ACETYLCYSTEINUM,True,1974150.9,1787337.7546615098,1234938.3454520337,2124260.7342313225,-0.0946296178972389,0.0074727939590412,0.2716749393036337,0.0,Monitor,False,常规跟踪销量与生命周期信号
DEXAMETHASONUM,True,1939097.49,1730822.5014057506,1188231.6042886267,2061763.0105670032,-0.1074082090603134,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHOL SOLITION IN ISOVALERAT+PHENOBARBITALUM,True,1930103.19,1747689.433670463,1207615.2874289954,2077094.9100461544,-0.094509846558793,0.0066507109523729,0.2285051230501419,0.0,Monitor,False,常规跟踪销量与生命周期信号
DESLORATADINUM,True,1924743.46,1810759.2819310892,1272184.874987931,2139250.0277249957,-0.059220452199334,0.048775412159978,0.7467218259757983,0.0,Monitor,False,常规跟踪销量与生命周期信号
CLOTRIMAZOLUM,True,1922814.35,1884791.501941929,1346756.8912343574,2212953.0117645026,-0.0197745809719335,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
SALBUTAMOLUM,True,1917613.56,1836511.669926564,1299932.3245299784,2163785.575026056,-0.0422931354706502,0.0088128439388963,0.2542432404846618,0.0,Monitor,False,常规跟踪销量与生命周期信号
MEBHYDROLINUM,True,1907965.45,1852281.7970425629,1318402.149153391,2177909.0853771367,-0.0291848329630062,-0.0350441227823517,0.2287306842633884,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
MYRAMISTINUM*,True,1877930.72,1905848.074679408,1380372.6309003506,2226349.4171087453,0.0148660194873473,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
ACIDUM BORICUM*,True,1871579.66,1900349.5583740112,1376651.2440898945,2219766.982619269,0.0153719870913811,0.0042388961731129,0.6752333904355616,0.0,Invest,False,机会概率位于前20%，份额及预测销量增长，维持或评估增加商业支持
LOSARTANUM,True,1861722.53,1717477.8995462314,1196537.7699523028,2035213.0341501008,-0.0774791238379484,-0.0055033965108775,0.2580295261014038,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
NEBIVOLOLUM,True,1840643.29,1845882.0157138635,1330840.1990212356,2160019.613600622,0.0028461384899098,-0.0009380342222358,0.2744426360255801,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
HYDROCHLOROTHIAZIDUM+LISINOPRILUM,True,1833305.68,1752044.411794182,1239055.7772716756,2064929.7196842027,-0.0443249966943964,-0.0079643787072083,0.3914657704857241,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
CIPROFLOXACINUM,True,1807918.9,1872929.7744219212,1367044.7722882722,2181482.3894264675,0.0359589550294108,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
TILORONUM,True,1770424.71,1721259.593257549,1225866.0730084851,2023413.1765511169,-0.0277702386691445,0.0281112410966508,0.2727148604959468,0.0,Monitor,False,常规跟踪销量与生命周期信号
LISINOPRILUM,True,1760793.96,1382167.3695024508,889468.6891515143,1682677.298815215,-0.2150317408503316,-0.0106456865107529,0.2576185921934902,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
METAMIZOLUM NATRICUM+TEMPIDONUM,True,1757419.59,1639649.8493488804,1147895.3723992412,1939583.884086123,-0.0670128757646997,-0.0081398973235351,0.2265688727921598,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
CENTAURIUM VULG. RAF./PULCHELLUM (SWARTZ) DRUCE*&+LEVISTICUM OFFICINALE&+ROSMARINUS OFFICINALIS*&,True,1752667.1199999996,1656373.1028681183,1165948.444029286,1955496.0464406903,-0.0549414181581048,0.0152434447414813,0.3437470809143691,0.0,Monitor,False,常规跟踪销量与生命周期信号
SILIMARINUM*,True,1731756.0100000002,1535602.9027443444,1051029.5113085837,1831157.0038908832,-0.1132683277107008,-0.0410967586107455,0.2493881079749725,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
ALTHAEA OFFICINALIS*&,True,1700523.7,1422390.5402126117,946556.455175489,1712614.3077235362,-0.1635573557648083,-0.0194927649661849,0.2798188916234657,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
EUCALYPTUS VIMINALIS*&,True,1693998.63,1341433.2275422425,867424.9628175644,1630543.3790543587,-0.2081261437960887,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
NIFUROXAZIDUM,True,1674163.5300000005,1580559.5261027704,1112101.4437484522,1866284.4748970675,-0.0559109084745322,0.0302280157007751,0.6837028032380895,0.0,Monitor,False,常规跟踪销量与生命周期信号
METRONIDAZOLUM,True,1662092.82,1467431.0402199,1002350.5381066562,1751095.913678151,-0.1171184770415529,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
TAURINUM,True,1661675.92,1657621.841987994,1192657.995249828,1941215.564254012,-0.0024397525192553,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
ATORVASTATINUM,True,1658471.5199999998,1574733.1437392312,1110665.9400423197,1857779.9797486144,-0.0504912959016435,-0.015848639338758,0.3376183972547782,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
SIMETICONUM,True,1648087.92,1508230.6132881488,1047068.9091178778,1789505.3084492,-0.0848603433194578,-0.0273764726893595,0.4733503923345583,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
LEVOFLOXACINUM,True,1622837.5300000005,724174.1577890888,270077.9218757321,1001139.437376032,-0.5537605309207456,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
HEDERA HELIX*&,True,1558248.7,1257469.073361816,821445.8386225495,1523411.1525183723,-0.193024147325253,0.0172507300069791,0.5663110619832543,0.0,Monitor,False,常规跟踪销量与生命周期信号
VITAMIN C+RUTOSIDUM,True,1554671.58,1266297.679641729,831275.381038941,1531629.2614301872,-0.1854886292822507,0.0186090849402633,0.255302734655286,0.0,Monitor,False,常规跟踪销量与生命周期信号
DICLOFENACUM+PARACETAMOLUM,True,1530389.63,1499909.6218246105,1071681.8062749945,1761097.0690670393,-0.019916502031832,0.0056083865975374,0.2755997194759167,0.0,Monitor,False,常规跟踪销量与生命周期信号
CETIRIZINUM,True,1521235.2999999998,1483987.6422951436,1058321.356608168,1743612.7448659642,-0.0244851389557264,-0.0567870721360201,0.3524997664242747,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
ENALAPRILUM+HYDROCHLOROTHIAZIDUM,True,1519117.4200000002,1357236.8529230524,932163.184376325,1616500.502658646,-0.1065622478853199,-0.0129466953861295,0.5099716185263591,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
TAMSULOSINUM,True,1509835.55,1480273.3078526857,1057796.856927144,1737952.8460108007,-0.0195797761864292,-0.0287200295971959,0.4415356418112749,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
FLURBIPROFENUM,True,1500185.7,1921619.861967899,1501843.595429964,2177652.486400016,0.2809213299179554,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
FUROSEMIDUM,True,1482534.2999999998,1363377.88113733,948540.7623270184,1616397.9890077298,-0.0803734651283749,-0.0146361055100855,0.4846115370460506,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
EMOXYPINUM*,True,1480743.13,1181899.6956442045,767563.7752224217,1434614.109388934,-0.2018199026564423,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
CINNARIZINUM,True,1455947.03,1363860.7928785018,956463.2230107216,1612343.3234912425,-0.0632483429850454,-0.0340915990148746,0.2292103357445249,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
RAMIPRILUM,True,1424697.7399999998,1477290.6685627615,1078637.1563727483,1720439.9676093431,0.0369151484459866,0.0124429022397244,0.3624073100022381,0.0,Monitor,False,常规跟踪销量与生命周期信号
VALSARTANUM,True,1414478.3000000005,1458347.0663750414,1062553.119083766,1699752.2413152363,0.0310140964163543,0.0174989939103126,0.411294337600853,0.0,Monitor,False,常规跟踪销量与生命周期信号
ACETYLCYSTEINUM+AMBROXOLUM,True,1378227.52,1223123.53241868,837473.1407468775,1458341.885060068,-0.1125387393086738,-0.0233546159921639,0.2923191730851295,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
MATRICARIA CHAMOMILLA*&,True,1373979.99,880461.6320427703,495999.76808817504,1114955.070259728,-0.3591888976179557,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
AMLODIPINUM+VALSARTANUM,True,1368899.41,1335867.2889796298,952827.0536302448,1569493.6383881571,-0.024130422424808,-0.0299895236754266,0.39628341736843,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
INSULINUM HUMANUM,True,1366306.16,879926.4927769195,497611.8907962564,1113110.2592416762,-0.3559814640834823,-0.0633965513870502,0.4691750677550214,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
