INN,market_level,market,peer_share,opportunity_probability,predicted_share_change_6m
ALUMINII HYDROXYDUM*+CALCII CARBONAS*+DIHYDROXYALUMINUM AMINOACETATE+MAGNESII TRISILICAS*,ATC4,"A02A D Combinations and complexes of aluminium, calcium and magnesium compounds",0.04389552402069811,0.38283371782291165,0
ALUMINII HYDROXYDUM*+MAGNESII HYDROXIDE*,ATC4,"A02A D Combinations and complexes of aluminium, calcium and magnesium compounds",0.31904926568999614,0.4316280574106391,0
ALUMINII HYDROXYDUM*+MAGNESII HYDROXIDE*+SIMETICONUM,ATC3,A02A ANTACIDS,0.057424771503302455,0.224322856111672,0
ALUMINII PHOSPHAS*,ATC3,A02A ANTACIDS,0.08991383269473369,0.347592860364463,0
ALVERINUM+SIMETICONUM,ATC4,A03A X Other drugs for functional gastrointestinal disorders,0.04682067984029631,0.5122192580043857,0
AMANTADINUM,ATC3,N04B DOPAMINERGIC AGENTS,0.1487146459960152,0.2598404645937063,0
AMBAZONUM,ATC4,R02A A Antiseptics,0.027885362264990023,0.22865141646101209,0
AMBROXOLUM,ATC4,R05C B Mucolytics,0.38887774771875805,0.35180524617846104,0
AMBROXOLUM+CARBOCISTEINUM,ATC3,"R05C EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPRESSANTS",0.007764831656529934,0.09297180834737453,0
AMBROXOLUM+GLYCYRRHIZA GLABRA/URALENSIS*&+KETOTIFENUM+THEOBROMINUM,ATC4,R05F B Other cough suppressants and expectorants,0.03902889544937915,0.28877436907609194,0
AMBROXOLUM+LORATADINUM,ATC4,R05C B Mucolytics,0.06799160183674077,0.3883913606998402,0
AMBROXOLUM+SALBUTAMOLUM,ATC4,R05C B Mucolytics,0.004284208699923149,0.09472061240235002,0
AMIKACINUM,ATC4,J01G B Other aminoglycosides,0.7337595627103529,0.49402470149402833,0
AMIKACINUM+BENZALKONII CHLORIDUM+LIDOCAINUM+NIMESULIDUM,ATC4,"D06C ANTIBIOTICS AND CHEMOTERAPEUTICS, COMBINATIONS",0.43726954451930816,0.26369272220320433,0
AMINOCAPRONIC ACID,ATC3,B02A ANTIFIBRINOLYTICS,0.3742011169423994,0.25559747291874957,0
AMINOPHYLLINUM,ATC4,R03D A Xanthines,0.739053056460672,0.6320368427061506,0
AMINOPHYLLINUM+ATROPA BELLADONNA*&+COFFEINUM*+CYTISINUM*+EPHEDRINUM*+PARACETAMOLUM+PHENOBARBITALUM,ATC4,R03D A Xanthines,0.03814708665139951,0.3503713410559953,0
AMINOPHYLLINUM+KALII CHLORIDUM*+MAGNESII CHLORIDUM*,ATC4,R03D A Xanthines,0.01822239047956743,0.3139954697493384,0
AMINOPHYLLINUM+SALBUTAMOLUM,ATC3,R03D OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,0.0,0.009997770792644644,0
AMIODARONUM,ATC3,"C01B ANTIARRHYTHMICS, CLASS I AND III",0.6819057637736267,0.41850014191125956,0
AMISULPRIDUM,ATC4,N05A L Benzamides,0.12570198815793654,0.5053976645124004,0
AMITRIPTYLINE,ATC4,N06A A Non-selective monoamine reuptake inhibitors,0.6887187766030178,0.47544624160911114,0
AMLODIPINUM,ATC4,C08C A Dihydropyridine derivatives,0.6346114394278307,0.5288003750791757,0
AMLODIPINUM+ATENOLOLUM,ATC4,"C07F X Beta blocking agents, other combinations",0.007451710234576424,0.04068676355857902,0
AMLODIPINUM+ATORVASTATINUM,ATC4,C10B X Lipid modifying agents in combination with other drugs,0.0032557177691137067,0.03293010367801404,0
AMLODIPINUM+BISOPROLOLUM,ATC3,"C07F BETA BLOCKING AGENTS, OTHER COMBINATIONS",0.13567425154474863,0.3356641887189174,0
AMLODIPINUM+HYDROCHLOROTHIAZIDUM+OLMESARTANUM MEDOXOMILUM,ATC4,C09D B Angiotensin II receptor blockers (ARBs) and calcium channel blockers,0.0016640671999369246,0.04195777222269045,0
AMLODIPINUM+HYDROCHLOROTHIAZIDUM+VALSARTANUM,ATC3,"C09D ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",0.2137665559615717,0.44858752357906023,0
AMLODIPINUM+INDAPAMIDUM+PERINDOPRILUM,ATC3,"C09B ACE INHIBITORS, COMBINATIONS",0.29473364129763535,0.42689160452594244,0
AMLODIPINUM+LISINOPRILUM,ATC4,C09B B ACE inhibitors and calcium channel blockers,0.27290280474542106,0.3652873090710502,0
AMLODIPINUM+OLMESARTANUM MEDOXOMILUM,ATC4,C09D B Angiotensin II receptor blockers (ARBs) and calcium channel blockers,0.038605163089437726,0.35838744602317313,0
AMLODIPINUM+PERINDOPRILUM,ATC4,C09B B ACE inhibitors and calcium channel blockers,0.5548007640639321,0.39223965959171014,0
AMLODIPINUM+RAMIPRILUM,ATC4,C09B B ACE inhibitors and calcium channel blockers,0.11602204369023218,0.35630972856251675,0
AMLODIPINUM+TELMISARTANUM,ATC4,C09D B Angiotensin II receptor blockers (ARBs) and calcium channel blockers,0.06002114172240442,0.3403450919841132,0
AMLODIPINUM+VALSARTANUM,ATC4,C09D B Angiotensin II receptor blockers (ARBs) and calcium channel blockers,0.8997096279882211,0.39628341736843004,0
AMMONIUM FERRIC CITRATE+CYANOCOBALAMINUM+FOLIC ACID,ATC4,B03A E Iron in other combinations,0.0573150142513912,0.28862930701230677,0
AMMONIUM*,ATC3,R07A OTHER RESPIRATORY SYSTEM PRODUCTS,0.7531207378049085,0.7207153446342615,0
AMMONIUM*+ANISUM VULGARE GAERTN.*&,ATC4,R05C A Expectorants,0.0029650372201098967,0.33125140422815524,0
AMMONIUM*+ANISUM VULGARE GAERTN.*&+GLYCYRRHIZA GLABRA/URALENSIS*&,ATC4,R05C A Expectorants,0.0018305743500517371,0.03843895162018053,0
