split,origin,model,WAPE,Bias,RMSE,MASE,MASE_eligible,observations
validation,2020-12-01,Seasonal Naive,0.6152980205963402,-0.41814904081638493,6703.462746873743,39.50915011063938,3238,38856
validation,2020-12-01,Croston,1.3377106241616201,-0.3846773070411524,12481.733999767543,41.23938536551027,3238,38856
validation,2020-12-01,SBA,1.3205075859216835,-0.415443441689095,12260.043515211459,41.154797304244845,3238,38856
validation,2020-12-01,TSB,0.7430597972451078,-0.5189204468401847,7140.046238766891,39.75882334649664,3238,38856
validation,2021-06-01,Seasonal Naive,0.633224438776691,-0.24031154864115972,5694.074655487909,39.78349146431697,3658,43896
validation,2021-06-01,Croston,1.3304805596643545,-0.2767027472537359,10952.279655207229,41.990849692166414,3658,43896
validation,2021-06-01,SBA,1.3128941697659198,-0.312867609891049,10731.631999155601,41.88480771101856,3658,43896
validation,2021-06-01,TSB,0.6637943689445686,-0.39069275467204634,5469.607834577125,39.929026264219445,3658,43896
validation,2021-12-01,Seasonal Naive,0.6543398693986076,-0.07098206585862239,5560.953807635689,43.59868988099922,4367,52404
validation,2021-12-01,Croston,1.2091550229697032,-0.1499320656899003,8902.045035248804,46.14527406586662,4367,52404
validation,2021-12-01,SBA,1.1958962132681088,-0.19243546240540535,8679.460275981903,46.0259517576947,4367,52404
validation,2021-12-01,TSB,0.5997416018570557,-0.21812333392657873,4155.470924841579,43.72890168359712,4367,52404
locked_holdout,2022-12-01,Seasonal Naive,0.5914445264542048,-0.32968776327036003,4541.945488604997,134.2960260166301,5214,62568
locked_holdout,2022-12-01,Croston,1.1922281281340537,-0.25917695439141714,8515.242500400316,137.61590502059013,5214,62568
locked_holdout,2022-12-01,SBA,1.1804069310255254,-0.2962181066718463,8292.894411748312,137.46822341588728,5214,62568
locked_holdout,2022-12-01,TSB,0.5966639388735708,-0.3990063127406302,4303.80468060524,134.39182621156448,5214,62568
