ATC5,sales_2019,sales_2020,sales_2021,sales_2022,sales_2023,contribution_2023,YoY
A03A A05 Trimebutine,180457.24000000002,196640.47000000003,245202.97999999998,235257.0,303707.86000000004,0.0003578184937392181,0.2909620542640603
A03A B06 Otilonium bromide,72001.71999999999,71832.68,71224.9,77448.02,89239.84,0.00010513940972857542,0.15225463478601498
A03A B18 Prifinium bromide,357943.2,124396.38,78.21,20.630000000000003,0.85,1.0014417133568271e-09,-0.9587978671837131
A03A D01 Papaverine,630637.74,600240.11,571117.45,437584.48,383104.64,0.00045136113773711816,-0.12450130772462487
A03A D02 Drotaverine,9599630.870000001,8542556.549999999,8207571.51,7214206.8,7204326.92,0.008487898228644132,-0.001369503297299457
A03A X04 Pinaverium,1.01,0.0,92.64,31.480000000000004,222.42,2.620478422174417e-07,6.06543837357052
A03A X12 Phloroglucinol,0.0,5187.45,11434.76,5150.83,8271.71,9.745453452695058e-06,0.6058984668490319
A03A X13 Silicones,1924274.6600000001,1931319.09,1998410.91,1581728.23,1670520.61,0.0019681517904426966,0.05613630604544517
A03A X18** Platyphylline,253306.78999999998,221200.38999999998,208911.32999999996,148992.57,134492.6,0.00015845470562095813,-0.09732008784062185
A03A X20** Other preparations,407373.07,423114.7,338322.53,232711.57,322660.56,0.00038014793416361566,0.38652564631831576
"A03A X58 Alverine, combinations",77523.95999999999,82267.48000000001,109141.15999999999,98178.56,126762.32999999999,0.00014934715875800412,0.291140652297202
A03B A01 Atropine,47422.950000000004,36577.19,35510.119999999995,36325.72,18241.97,2.149208199035746e-05,-0.49782220421233214
A03B B01 Butylscopolamine,67059.37,56593.780000000006,90273.99000000002,96576.09000000001,70406.96,8.295113724075953e-05,-0.2709690359176894
A03D A02 Pitofenone and analgesics,8162197.95,7963310.53,7858202.77,6559237.609999999,7586287.98,0.008937912038481767,0.15658075390258674
A03D A08** Dicycloverine and analgesics,239442.5,238734.09000000003,271036.01999999996,261599.05000000002,249619.67,0.00029409358824984206,-0.045792903299916476
A03D B02** Beladonna alcaloides with analgetics,324610.68000000005,277716.8,260718.94999999995,205088.18,208832.86,0.0002460399260277722,0.018258877717867383
A03D C Other antispasmodics in combination with analgesics,29.28,56.73,16.89,0.0,0.0,0.0,
A03E D Antispasmodics in combination with other drugs,966442.81,952188.3600000001,1017189.85,715527.63,685918.5900000001,0.0008081264564622342,-0.04138070810766581
A03F A01 Metoclopramide,641521.83,572307.92,610868.25,480194.32,500531.34,0.0005897093679039866,0.0423516463085194
A03F A03 Domperidone,1324259.02,1090398.1099999999,1198666.66,890320.22,975489.38,0.0011492891247865751,0.0956612666844745
A03F A07 Itopridum,79223.19,154043.38999999998,222419.53,173580.46,250939.75,0.00029564886257568685,0.44566819329779417
A03F A09 Mosapride,25745.22,35552.23,43775.65,32459.66,43000.340000000004,5.066156960532483e-05,0.32473168234048067
A04A A01 Ondansetron,310228.54,288651.61000000004,378987.54,315876.37,452247.17,0.0005328225656300897,0.4317220689854071
A04A A03 Tropisetron,533.27,1390.88,0.0,1259.49,2560.49,3.016684108980026e-06,1.0329577845000752
A04A A05 Palonosetron,0.0,0.0,0.0,0.0,4093.69,4.823049326531422e-06,
A04A D12 Aprepitant,366.13,401.8,974.03,644.19,954.5,1.124560135763637e-06,0.48170570794330847
A04A D20** Other preparations,1099930.19,1082078.68,971773.3400000001,774974.95,765325.8200000001,0.000901681412302375,-0.012450892767566057
A05A A02 Ursodeoxycholic acid,747351.75,772999.38,935891.5599999999,715037.0900000001,895350.16,0.0010548717626878933,0.2521730306325787
A05A X02 Hymecromone,0.0,0.0,0.0,0.0,5080.139999999999,5.98525188905006e-06,
"A05A X10** Other preparations, incl. combinations",4662559.45,3903537.1999999997,4072703.95,3207521.73,3223882.16,0.0037982706752598926,0.005100645101475232
A05B A01 Arginine glutamate,1488167.8099999998,1276662.22,1356744.4900000002,1006305.0800000001,1164963.12,0.001372520779870959,0.15766395614339945
A05B A03 Silymarin,2629559.7,2492699.54,2307776.7699999996,1839037.8399999999,1731756.0100000002,0.0020402973009063328,-0.058335846966585336
A05B A06 Ornithine oxoglurate,51904.05,51714.33,59384.63999999999,35081.71,54718.28,6.446725655898658e-05,0.5597381085471604
A05B A50** Various,3595678.0700000003,3191654.47,3350486.7600000002,2203533.58,2449553.6599999997,0.002885982604976337,0.11164798314532587
"A05B A53** Silymarin, combinations",236.07999999999998,0.0,0.0,0.0,0.0,0.0,
A05C DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,643.45,0.0,0.0,0.0,0.0,0.0,
A06A A01 Liquid paraffin,403740.57,426000.71,410229.65,342741.80000000005,345719.13,0.0004073147739852137,0.008686801551488488
A06A A02 Docusate sodium,0.0,2033.17,12516.74,10068.099999999999,5463.800000000001,6.437267333457686e-06,-0.4573156802177172
A06A B02 Bisacodyl,1093109.46,1094935.66,1194603.79,909270.43,910822.58,0.0010731008530344536,0.0017070279080777517
A06A B05 Castor oil,1021473.2999999999,945666.45,758293.4100000001,580124.51,697608.69,0.0008218993432543665,0.20251545655259418
A06A B06 Senna glycosides,3019138.8999999994,2206289.9299999997,1530704.1400000001,1235099.17,1291190.41,0.0015212375723062399,0.04541436134233656
A06A B07 Cascara,138334.22999999998,126901.40999999999,112995.23999999998,90126.73,90018.19999999998,0.00010605644757799707,-0.0012041932509924136
A06A B08 Sodium picosulfate,3575047.1299999994,3479655.0300000003,3701066.25,2710651.58,2913481.9100000006,0.0034325674303347315,0.07482714912404953
A06A B10** Field restharrow (Ononis arvensis),1378.0099999999998,989.5400000000001,680.6899999999999,240.72,594.4200000000001,7.003258626512531e-07,1.469341974077767
"A06A B58 Sodium picosulfate, combinations",144715.87,124466.01,159745.93,229713.71000000002,294012.09,0.00034639526018496666,0.2799065845917512
A06A C01 Ispaghula (psylla seeds),31649.73,33866.17,44820.72,34042.45,40756.079999999994,4.8017457158715185e-05,0.1972134790533584
A06A C10** Other preparations,63354.64,53748.85,46096.42999999999,28906.9,29592.190000000006,3.486453347715385e-05,0.02370679664716735
A06A D04 Magnesium sulfate,862020.05,812593.53,791962.56,586392.85,700600.49,0.0008254241824520383,0.19476301595423617
A06A D10 Mineral salts in combinations,39882.130000000005,46170.49,76902.93,74706.05,100087.24000000002,0.00011791945542441879,0.3397474501730451
A06A D11 Lactulose,968747.1300000001,966709.2899999999,1057108.24,757035.2100000001,761179.23,0.000896796037956271,0.005474012232535186
A06A D12 Lactitol,0.0,0.0,0.0,0.0,95.11,1.1205543689102097e-07,
A06A D15 Macrogolum,143317.73,144762.85,189956.97,158830.81,200365.15000000002,0.00023606355189764432,0.26150052373339916
"A06A D61 Lactulose, combinations",2468.12,1281.0100000000004,13.52,0.0,0.0,0.0,
"A06A D65 Macrogol, combinations",112092.81,101088.09000000001,115490.00999999998,92875.03000000001,146010.84000000003,0.00017202511268031714,0.5721215917776823
"A06A G10 Docusate sodium, incl. combinations",95370.74999999999,65935.09000000001,25604.67,11011.429999999998,39760.219999999994,4.684416804734632e-05,2.610813491072458
"A06A G11 Sodium lauryl sulfoacetate, incl. combinations",413949.65,393433.45,495638.75,381362.49,365035.86,0.00043007310244127394,-0.04281131581661324
A06A G20 Combinations,196011.71999999997,149815.55000000002,202768.57,138145.76,198644.84000000005,0.0002340367399048151,0.43793656786860513
A06A X01 Glycerol,796990.53,826071.96,841418.22,467623.57,373550.49,0.00044010475615397914,-0.20117266544113677
A06A X10** Other preparations,20300.92,16538.41,14686.65,10914.05,8219.519999999999,9.683964931494948e-06,-0.24688635291207217
A07A A02 Nystatin,459436.3900000001,437593.05999999994,442283.3400000001,317292.08999999997,328537.56,0.0003870720199864369,0.035442011806849694
A07A A03 Natamycin,10888.11,7059.329999999999,55.62,1.9299999999999997,0.0,0.0,-1.0
A07A A11 Rifaximin,78046.20999999999,109648.83000000002,164085.03999999998,117458.66999999997,127530.42000000003,0.00015025209683519505,0.08574718239190049
A07A B02 Phthalylsulfathiazole,1260890.43,988333.78,898721.7600000001,807037.5999999999,719213.34,0.0008473532229161014,-0.10882300898991559
A07A X03 Nifuroxazide,2527603.66,1840137.89,1975197.91,1563294.8599999999,1674163.53,0.0019724437575561336,0.07091987112399267
A07A X50** Combinations,0.0,36.3,847.43,451.95000000000005,458.65000000000003,5.40366166860128e-07,0.014824648744330204
A07B A01 Medicinal charcoal,13498148.49,9619497.790000001,7226461.859999999,8819587.810000002,5468696.71,0.006443036474224992,-0.3799373816767976
A07B C05 Diosmectite,859032.41,683064.83,826465.9299999999,702946.4800000001,723418.67,0.0008523078027754319,0.029123397843886956
A07B C10** Other,4532264.1,4149166.08,4335608.63,2811454.7600000002,3330805.21,0.003924243854541466,0.1847265897317869
A07C A Oral rehydration salt formulations,118666.31000000003,106446.70000000001,128681.50000000001,106766.58,101276.0,0.00011932001289638355,-0.05142601739233388
A07D A03 Loperamide,6477015.850000001,5626622.84,5955618.630000001,5615610.569999999,5891246.01,0.006940869997718789,0.04908378822999482
"A07D A53 Loperamide, combinations",9522.53,7428.45,8325.57,10169.0,8963.880000000001,1.0560945112382348e-05,-0.11850919461107279
A07E A06 Budesonide,4340.209999999999,4517.19,4022.7999999999997,2629.7700000000004,4471.950000000001,5.268702670642428e-06,0.7005099305262437
A07E C01 Sulfasalazine,76290.01,78892.32,85300.37000000001,79032.9,74657.93999999999,8.79595004109308e-05,-0.0553561871068885
A07E C02 Mesalazine,92706.73,110738.84,136025.25,102002.63,112544.37,0.00013259603143701726,0.10334772740663634
"A07E F01** Escherichia coli, Stamm Nissle 1917",24649.550000000003,20240.390000000003,25839.429999999997,14504.150000000001,15655.720000000003,1.8445048306629114e-05,0.07939589703636551
A07F A01 Lactic acid producing organisms,1496821.4400000002,1689284.29,1612584.37,922159.7799999999,927631.7099999998,0.001092904810619439,0.005933819841936749
A07F A02 Saccharomyces boulardii,735009.27,746856.26,1056859.19,699317.0199999999,920090.69,0.0010840202318085472,0.3156989801277825
A07F A10** Other,1421234.65,1387926.54,1915143.9100000001,1264480.46,1478454.55,0.0017418659502025844,0.16921897709672806
"A07F A50** Other microorganisms, combinations",662.44,0.0,0.0,0.0,0.0,0.0,
"A07F A51 Lactic acid producing organisms, combinations",591128.01,640234.38,564388.64,311415.25,320862.4,0.00037802940189151014,0.030336182958284885
A07X A04 Racecadotril,17650.38,12401.7,21825.75,12088.61,22634.6,2.6667332476642867e-05,0.8723906222468918
A08A B01 Orlistat,774.02,53.08,0.0,21.09,9884.88,1.1646036662972508e-05,467.6998577524893
A08A X10** Others,22661.469999999994,18849.71,13966.46,9603.989999999998,15346.49,1.8080723811309896e-05,0.59792856927173
"A09A A02 Multienzymes (lipaze, proteaze etc.)",14020601.51,12562491.02,13059370.73,10851921.74,11243535.629999999,0.013246759512347918,0.036087054383788786
A09A A10** Others,77722.76000000001,70425.62,67632.61000000002,47282.96,46739.64000000001,5.506708842738976e-05,-0.011490820371651722
A10A B01 Insulin (human),765941.18,746310.5599999999,738242.88,541622.01,421201.19999999995,0.0004962452369364136,-0.22233367141043636
A10A B04 Insulin lispro,1825.6599999999999,2172.9900000000002,2201.98,932.87,0.25,2.9454168039906676e-10,-0.9997320098191602
A10A B05 Insulin aspart,95562.09,122043.26000000001,154746.12000000002,154252.38999999998,153634.3,0.00018100681955573737,-0.004007004364729783
A10A B06 Insulin glulisine,91701.84999999999,101743.35999999999,126492.9,128109.06999999999,122747.83,0.00014461740845415593,-0.04184902755128883
A10A C01 Insulin (human),1108394.25,1047334.0900000001,1048959.73,790674.7000000001,592634.1,0.0006982217747031543,-0.25047038940287336
A10A D01 Insulin (human),633576.01,587567.71,548833.48,422320.18,352470.86000000004,0.0004152694375844169,-0.16539422766868483
A10A D04 Insulin lispro,707.6300000000001,662.87,446.88,231.92000000000004,2.57,3.027888474502406e-09,-0.9889185926181442
A10A D05 Insulin aspart,31577.69,39636.28,36144.52,24088.82,23101.73,2.7217689497302132e-05,-0.040977100580269155
A10A D06 Insulin degludec and insulin aspart,1910.71,7808.03,12454.580000000002,17434.2,16867.100000000002,1.9872255909836398e-05,-0.03252801963955898
A10A E04 Insulin glargine,172604.8,202225.89,270449.18000000005,287237.81,291981.36,0.00034400272167841943,0.016514364874178566
A10A E05 Insulin detemir,40206.33,42741.57000000001,44961.899999999994,37943.23,29593.25,3.486578233387873e-05,-0.22006508143877057
A10A E06 Іnsulin degludec,24039.57,35476.310000000005,56873.090000000004,72640.25,78654.69,9.26683382554707e-05,0.08279762253020873
A10A E54 Insulin glargine and lixisenatide,3189.5299999999997,15628.47,35970.53,49558.58,72083.28,8.492612167950577e-05,0.45450656576520143
A10A E56 Insulin degludec and liraglutide,0.0,0.0,2470.9,15351.02,25026.600000000006,2.9485507274701147e-05,0.6302890622251816
A10B A02 Metformin,7412666.13,8509919.790000001,9144338.969999999,7781225.970000001,7740349.95,0.00911942272459933,-0.005253159355298909
A10B B01 Glibenclamide,320811.61,286721.55,248919.00999999998,206142.78999999998,168003.04,0.00019793559085500654,-0.18501617252779
A10B B08 Gliquidone,18911.799999999996,18340.020000000004,16710.769999999997,15429.920000000002,14988.990000000003,1.7659529208339234e-05,-0.02857629851612964
A10B B09 Gliclazide,2621969.19,2851038.56,2825700.93,2199693.8699999996,2120429.53,0.0024982195077360133,-0.03603425962177176
A10B B12 Glimepiride,1226781.09,1197639.95,1259679.8299999998,1129809.5,1053677.23,0.001241407447689736,-0.06738505031157904
A10B D02 Metformin and sulfonylureas,666222.9,614492.4500000001,563175.44,390302.25,370126.33,0.0004360705247925581,-0.051693066078916994
A10B D07 Metformin and sitagliptin,68150.65999999999,72232.47,93059.13999999998,94628.28,73131.26,8.616081684040422e-05,-0.22717331436226051
A10B D08 Metformin and vildagliptin,0.0,0.0,53504.740000000005,69493.41,124225.45000000001,0.00014635829116532102,0.7875860459286717
A10B D10 Metformin and saxagliptin,20168.22,16739.190000000002,15955.299999999997,11070.1,8868.67,1.0448771858819166e-05,-0.19886270223394553
A10B D15 Metformin and dapagliflozin,47491.89,67035.84,101555.69,114267.52,146039.47,0.00017205884359355642,0.27804882787339746
A10B D20 Metformin and empagliflozin,29856.2,67278.73000000001,132249.08000000002,210064.42999999996,304972.31,0.00035930822665034045,0.45180366804603733
"A10B D30** Glimepiride, pioglitazone and metformine",157.1,0.0,0.0,0.0,0.0,0.0,
A10B F03 Voglibose,47179.65000000001,41374.58,39014.5,27492.090000000004,24143.28,2.844480904618072e-05,-0.12180994606084894
A10B G03 Pioglitazone,37934.24,35736.79,42922.47,37137.90000000001,42813.23,5.0441122830046956e-05,0.15281774144472338
A10B H01 Sitagliptin,6338.4800000000005,5881.740000000001,5570.23,4722.87,5293.25,6.236330999089441e-06,0.12076978616815626
A10B H02 Vildagliptin,5178.2,29784.29,59436.85,67561.68,98489.88,0.00011603749903000977,0.45777724887835847
A10B H03 Saxagliptin,13341.350000000002,12085.05,12435.789999999997,9913.37,9006.68,1.0611370648066667e-05,-0.09146132949743635
A10B J02 Liraglutide,6506.4299999999985,13150.659999999998,24442.570000000003,45904.28,66633.81,7.850573747516856e-05,0.45158163901056714
A10B K01 Dapagliflozinum,100929.74,120561.92,165449.95,204592.09999999998,359088.24000000005,0.0004230658144845736,0.7551422562259251
A10B K03 Empagliflozin,16376.150000000001,29749.809999999998,55570.81,115892.44999999998,305010.22,0.00035935289095075616,1.6318385710199417
A10B X02 Repaglinide,11757.990000000002,12344.57,12264.810000000001,9114.96,8686.599999999999,1.0234263043818132e-05,-0.04699526931549902
A10X X** Others,484814.92000000004,414945.55,383617.32,250652.4,257279.58,0.00030311823930226453,0.026439722899122442
A11A A01 Multivitamins and iron,17623.359999999997,4097.08,0.0,0.0,0.0,0.0,
"A11A A03 Multivitamins and other minerals, incl. combinations",366319.86,269975.93999999994,223543.96000000002,138299.59,96749.82,0.00011398741824442896,-0.30043306708284523
A11A A04 Multivitamins and trace elements,351107.71,415724.48,317066.32999999996,168560.14,85379.99,0.00010059186290822208,-0.49347461386778635
"A11A B Multivitamins, other combinations",536467.88,597991.65,539799.02,331173.36,293233.13,0.000345477515435512,-0.11456304939503581
"A11B A Multivitamins, plain",1593812.64,2059991.22,1498495.54,670611.16,713253.57,0.0008403316202337336,0.06358738497581795
A11C A01 Retinol (vit. A),561171.46,488901.92,467250.91,307976.26999999996,389299.45,0.00045865965672572994,0.2640566430653897
A11C C01 Ergocalciferol,38677.39,40900.170000000006,29511.010000000002,13658.99,10222.580000000002,1.204390356485557e-05,-0.25158595181634935
A11C C03 Alfacalcidol,14464.32,5881.11,13617.25,1124.9299999999998,1.02,1.2017300560281924e-09,-0.999093276915008
A11C C05 Colecalciferol,634724.9400000001,757892.21,759345.74,537822.79,564057.18,0.0006645533985534356,0.0487788737996766
A11D A01 Thiamine (vit. B1),343427.93,284873.61,285977.05,182633.28999999998,191184.32999999996,0.0002252470152966788,0.04682081782570946
A11D A02 Sulbutiamine,7771.820000000001,9476.44,17817.71,12067.86,16808.17,1.9802826544932728e-05,0.3928045237515183
A11D A03 Benfotiamine,2550.3,2785.01,2813.7,1651.88,1230.19,1.4493689192405119e-06,-0.2552788338135942
A11D A04** Cocarboxylasum,206418.62000000002,153389.5,181460.18,110876.26999999999,98953.31,0.00011658349683379911,-0.10753392046828414
A11D B Vitamin B1 in combinations with vitamin B6 and/or vitamin B12,2799806.5399999996,2692365.75,3036050.92,2398462.4099999997,2612086.1,0.0030774729169641794,0.08906693267708965
"A11E A Vitamin B-complex, plain",32289.970000000005,3494.8999999999996,1827.1299999999999,1378.7999999999997,453.76000000000005,5.346049315915222e-07,-0.6709022338265157
A11E B Vitamin B-complex with vitamin C,104497.87,13555.71,0.0,0.0,0.0,0.0,
A11E C Vitamin B-complex with minerals,1875423.31,1998820.5599999998,2230586.5300000003,1860484.9100000001,2006202.77,0.00236364134038825,0.07832251646695698
A11G A01 Ascorbic acid (vit. C),17570450.63,23991058.98,21094194.45,14389464.34,14464870.4,0.017042028937482884,0.00524036602185296
A11G B10** Ascorbic acid in combination with different substances,87832.83000000002,147468.0,198622.84,126365.15000000001,99212.35999999999,0.00011688870092302861,-0.21487562037476327
A11H A02 Pyridoxine (vit. B6),474135.61,399634.75,377372.37,250544.52000000002,264968.8,0.00031217742242129696,0.05757172417900014
A11H A03 Tocopherol (vit. E),1251025.33,1104692.79,1001137.62,684070.03,748806.5599999999,0.0008822189699049784,0.09463436075397125
A11H A04 Riboflafin (vit. B2),1.34,0.0,0.0,0.0,0.0,0.0,
A11H A05 Biotin,263403.44,237861.87000000002,283535.38,259254.79,324837.05999999994,0.0003827122140331698,0.2529645450330924
A11H A30 Dexpanthenol,3.21,1.23,0.0,0.0,0.0,0.0,
A11J A Combinations of vitamins,1193111.8499999999,991970.7099999998,917435.3300000001,690492.56,750407.23,0.000884104826031236,0.08677091321592223
A11J B Vitamins with minerals,4238.049999999999,4485.3,3930.5600000000004,2221.1,1352.7,1.5937061243032705e-06,-0.39097744360902253
"A11J C Vitamins, other combinations",1038469.57,947113.9700000001,1100596.33,646157.94,700475.8200000001,0.000825277300406857,0.08406285311606654
A12A A03 Calcium gluconate,2102027.6199999996,1670923.15,1610621.2299999997,1126643.55,1187234.82,0.0013987605556443343,0.05378033717940345
"A12A X Calcium, combinations with vitamin D and/or other drugs",970646.1200000001,1011898.7,1145227.61,841830.47,892771.04,0.00105183312933289,0.06051167285498704
A12B A01 Potassium chloride,40104.58,32818.69,28393.739999999998,23683.739999999998,27876.37,3.284301145290453e-05,0.17702567246558187
A12C B01 Zinc sulfate,32986.16,62506.06999999999,62425.770000000004,28766.45,24498.56,2.8863388119029447e-05,-0.1483634581256985
A12C C02 Magnesium sulfate,411.2300000000001,0.0,0.0,0.0,0.0,0.0,
A12C C09 Magnesium orotate,102006.31,109804.01,136665.82,102910.38999999998,39388.12,4.6405772210240366e-05,-0.6172580824929339
A12C C10 Magnesium oxide,6176.16,6663.94,8621.46,4684.570000000001,3055.0099999999993,3.599311116143811e-06,-0.34785690041988937
A12C C30 Magnesium (different salts in combination),322924.26,252498.06000000003,240978.21999999997,180356.8,196176.38,0.0002311284824792235,0.08771268951323163
"A12C C55** Magnesium aspartate, combinations",3531028.8899999997,3270384.7600000002,3223359.4,2603022.6900000004,2762365.5500000003,0.0032545271638939697,0.061214548998034246
"A12C C56** Magnesium gluconate, combinations",94241.77000000002,83892.32,85235.84999999999,65173.16,67220.44,7.919688541905858e-05,0.031412931335537575
A12C D01 Sodium fluoride,3418.7400000000002,2967.75,3044.7,380.90000000000003,11.649999999999999,1.372564230659651e-08,-0.9694145444998687
A12C E02 Sodium selenite,134576.11000000002,118116.95,113414.07,67992.48999999999,76678.84000000001,9.034045753860472e-05,0.12775455053933205
A12C X Other mineral products,666986.2000000001,672520.56,703690.93,493062.38000000006,448233.2500000001,0.0005280934986629401,-0.0909197939619728
A13A TONICS,1372140.32,1270186.03,1126815.05,925150.4600000001,844640.53,0.0009951273641574335,-0.08702360694929567
A14A B01 Nandrolone,3882.74,3219.92,3332.7200000000003,443.6000000000001,8.42,9.920163795840568e-09,-0.9810189359783589
A14B OTHER ANABOLIC AGENTS,647467.41,602630.51,575822.4,417348.08999999997,494545.18,0.0005826566734018358,0.18497051226471406
A15 APPETITE STIMULANTS,570456.6599999999,544778.52,520675.27,378859.34,426904.79,0.0005029650168680428,0.12681606318587768
A16A A01 Levocarnitine,212173.19,171780.3,264961.56,169726.9,217640.74,0.00025641707713158556,0.28229962368958605
A16A A02 Ademetionine,340521.23000000004,385810.57,627159.34,446418.07,577930.64,0.0006808986474388325,0.2945950866191416
A16A A03 Glutamine,74256.36000000002,59119.509999999995,64425.73000000001,40636.29,40168.04000000001,4.732464799974773e-05,-0.011522951529285619
A16A A10** Citrulline,29611.339999999997,28077.13,35135.829999999994,18624.050000000003,22790.269999999997,2.6850737690193753e-05,0.22370107468568823
A16A A20** Combinations,58556.979999999996,54338.33,57789.71,32565.129999999997,35189.42,4.1459003596274114e-05,0.08058589049084097
A16A X01 Tioctic acid,623747.31,504878.94,586559.85,466528.19,547111.5,0.0006445885623026161,0.17272977652218624
A16A X25** Various preparations,7991876.31,6718203.18,5946380.55,3707788.47,3820978.8499999996,0.004501750124993174,0.03052773396212638
B01A A02 Phenindione,31203.15,32355.299999999992,24624.48,16992.89,14557.090000000002,1.7150679001281806e-05,-0.1433423037517454
B01A A03 Warfarin,387241.92,393270.11,425355.88000000006,382634.8,326991.6,0.0003852506213615179,-0.14542116921931825
B01A A07 Acenocoumarol,34777.340000000004,0.0,0.0,0.0,0.0,0.0,
B01A B01 Heparin,99722.14,104355.84,107151.62,40306.68,25287.42,2.9792796719027874e-05,-0.3726245872892533
B01A B02 Antithrombin III,0.56,1.12,1.4200000000000002,1.6999999999999997,10.379999999999999,1.2229370570169252e-08,5.105882352941177
B01A B04 Dalteparin,60.37,110.15,54.35,32.10000000000001,1.9700000000000002,2.3209884415446464e-09,-0.9386292834890966
