ATC5,sales_2019,sales_2020,sales_2021,sales_2022,sales_2023,contribution_2023,YoY
A01A B03 Chlorhexidine,1091076.8499999999,1052089.8,500232.89999999997,344768.97000000003,324309.06,0.0003820901420041671,-0.05934382667906579
A01A B11 Various,122110.23,137564.37,135936.21,102530.15,85320.29,0.00010052152635494277,-0.1678517002072074
A01A B12 Hexetidine,438870.35000000003,421987.6,447380.26999999996,221440.86000000002,213555.42,0.0002516038890605139,-0.03560968829329869
A01A B18 Clotrimazole,77173.16,66408.05,78845.21999999999,54984.270000000004,61365.299999999996,7.22985543207714e-05,0.11605191812130977
"A01A B53** Chlorhexidine, combinations",34205.450000000004,25885.449999999997,15666.470000000001,13936.239999999998,7929.0,9.341683935536802e-06,-0.43105170404642856
"A01A B67** Metronidazole, combinations",693516.2100000001,643397.3500000001,653233.22,556748.5599999999,629456.15,0.0007416042886341081,0.13059322506375248
A01A D02 Benzydamine,2066879.7799999998,2050052.79,2718026.66,2016243.9499999997,2508327.33,0.0029552277870764183,0.24405944528686652
A01A D11 Various,2939725.8000000003,2702685.82,2348626.2,1588806.62,1585080.24,0.0018674887898278243,-0.002345395564880115
A02A B03 Aluminium phosphate,471254.7,424774.62000000005,96543.19000000002,23.6,113861.20999999998,0.00013414748850268407,4823.62754237288
A02A B10 Combinations,506985.05,506834.62999999995,620606.83,531114.4800000001,536177.4400000001,0.0006317064166786793,0.009532709407583662
A02A D01 Ordinary salt combinations,1604229.93,1455615.68,1472837.51,1308937.49,1316176.16,0.0015506749514703638,0.005530187694448241
A02A D02 Magaldrate,23247.9,19932.289999999997,14087.39,7684.900000000001,9755.69,1.1493829304209487e-05,0.26946219209098365
A02A F02 Ordinary salt combinations and antiflatulents,132567.65000000002,114292.86,132275.58000000002,124231.16999999998,120052.76999999999,0.00014144217844945067,-0.033634071062841886
A02A F10** Other combinations,4139.120000000001,2090.2,1587.3500000000001,1979.2500000000002,58.69999999999999,6.915838655770087e-08,-0.9703423013767841
"A02A X Antacids, other combinations",21.369999999999997,0.0,0.0,0.0,0.0,0.0,
A02B A02 Ranitidine,9354339.75,8199913.65,7016727.16,6290256.739999999,6276118.120000001,0.0073943135097913285,-0.002247701577916539
A02B A03 Famotidine,956403.2899999999,1042888.0499999999,1103356.4000000001,855581.9999999999,755913.59,0.0008905922361403648,-0.11649194349577241
A02B B01 Misoprostol,3.01,3.52,4192.7699999999995,30713.67,45334.11,5.341113975518455e-05,0.47602386819940445
A02B C01 Omeprazole,7159188.75,7561359.32,8032238.41,6198239.9799999995,6412586.57,0.007555096096129151,0.03458184753924298
A02B C02 Pantoprazole,3899063.9699999997,4055158.73,4877330.18,3829464.09,4421853.76,0.005209680947797326,0.15469257736269837
A02B C03 Lansoprazole,80107.43000000001,70844.15999999999,64496.77000000001,53165.91,59185.66,6.973057500771132e-05,0.11322574935705987
A02B C04 Rabeprazole,469435.3,443492.88999999996,456645.16000000003,344883.49,468098.1800000001,0.0005514976981157795,0.3572646808926694
A02B C05 Esomeprazole,644764.62,770489.8400000001,1130684.7400000002,844594.27,1136076.95,0.0013384880556625862,0.3451156257548371
A02B C06 Dexlansoprazolum,60786.259999999995,69773.51000000001,68353.35,48358.19,41484.85,4.88760697204129e-05,-0.14213393842904387
"A02B C51** Omeprazole, combinations",171399.87,144564.95,172741.18000000002,151183.8,146534.07,0.0001726415648540579,-0.03075547776944343
"A02B D05 Omeprazole, amoxicillin and clarithromycin",50347.030000000006,48300.57,51282.700000000004,35859.490000000005,32323.96,3.808301398220887e-05,-0.09859398446547918
"A02B D09 Lansoprazole, clarithromycin and tinidazole",38557.049999999996,33000.42,36577.37,27371.450000000004,39169.630000000005,4.6148354563238794e-05,0.4310396416704265
A02B X02 Sucralfate,21291.949999999997,3822.61,15.75,0.0,0.0,0.0,
A02B X03 Pirenzepine,10402.349999999999,4704.09,3.8099999999999996,0.0,0.0,0.0,
A02B X05 Bismuth subcitrate,594945.36,486914.96,439200.05,318346.6699999999,348937.62000000005,0.0004111066917970041,0.0960931992786358
A02B X13 Alginic acid,211400.72,249181.5,266663.19,243269.46999999997,201210.59000000003,0.00023705962117075068,-0.1728900876875341
A02B X14 Rebamipide,82800.28,127951.48,220290.47999999998,211288.45,304009.47,0.0003581738406041187,0.43883619762462156
A02B X20** Others,326307.25,329407.07,410525.58,383136.24,442520.20000000007,0.0005213625732741245,0.15499436962684632
"A02B X62** Bismuth subnitrate, combinations",149935.97,119429.31,106256.81,77880.66,79087.4,9.317814277757261e-05,0.015494732581875725
A02X OTHER DRUGS FOR ACID RELATED DISORDERS,1725348.52,1492854.57,1265866.99,971251.62,969208.62,0.0011418893423682421,-0.002103471394982126
A03A A04 Mebeverine,854519.1200000001,827127.6,945185.95,778573.99,931382.43,0.001097323784105465,0.19626707540024557
