term,coefficient,cluster_se_SKU,p_value,ci95_low,ci95_high
log1p_pack_size,-0.17832810359633866,0.08233613651964404,0.030322296192761607,-0.33970396580101403,-0.016952241391663264
log1p_strength_mg,-0.03823985691982367,0.07418677267149347,0.6062359172027089,-0.1836432594852112,0.10716354564556385
form_Oral liquid,0.4360151172139677,0.5160770799500276,0.3981865912082885,-0.5754773727346845,1.4475076071626198
form_Other,-1.0195319569329706,0.4576555544457844,0.025898678508489505,-1.9165203609714179,-0.12254355289452346
form_Parenteral,-1.4791091956319065,0.29175659025535877,3.985091901664482e-07,-2.0509416047846196,-0.9072767864791935
form_Respiratory,-0.39490233393680485,1.1409224672167109,0.7292484170505418,-2.631069278834139,1.841264610960529
form_Topical,-3.574104481154014,0.963176342570569,0.00020664791273861078,-5.461895423353343,-1.6863135389546855
