SKU,ATC1,ATC2,ATC3,ATC4,ATC5,Brand,INN,NFC,Description,known_inn,INN_key,strength_value,strength_unit,strength_mg,pack_size,dosage_form,concentration_flag,multi_strength_flag,strength_parse_status
275444,C CARDIOVASCULAR SYSTEM,C10 LIPID MODIFYING AGENTS,"C10A LIPID MODIFYING AGENTS, PLAIN",C10A A HMG CoA reductase inhibitors,C10A A05 Atorvastatin,41834,ATORVASTATINUM,Oral Solid Ordinary,"tabs coated w/film 10 mg blister, #30",True,ATORVASTATINUM,10.0,mg,10.0,30.0,Oral solid,False,False,single_mass
193866,G GENITO URINARY SYSTEM AND SEX HORMONES,G04 UROLOGICALS,G04B UROLOGICALS,G04B E Drugs used in erectile dysfunction,G04B E03 Sildenafilum,2686,SILDENAFILUM,Oral Solid Ordinary,"tabs 50 mg blister, #4",True,SILDENAFILUM,50.0,mg,50.0,4.0,Oral solid,False,False,single_mass
411817,D DERMATOLOGICAL,D08 ANTISEPTICS AND DISINFECTANTS,D08A ANTISEPTICS AND DISINFECTANTS,D08A X Other antiseptics and disinfectants,D08A X10** Other preparations,16088,PIX BETULA+XEROFORMIUM*,"Topical Dermatological, Haemorrhoidal, External","liniment tube 40 g, in a pack",True,PIX BETULA+XEROFORMIUM*,,,,,Topical,False,False,not_comparable_or_missing
429422,N NERVOUS SYSTEM,N02 ANALGESICS,N02B OTHER ANALGESICS AND ANTIPYRETICS,N02B F Gabapentinoids,N02B F02 Pregabalin,27057,PREGABALINUM,Oral Solid Ordinary,"caps. solid 300 mg blister in box, #14",True,PREGABALINUM,300.0,mg,300.0,14.0,Oral solid,False,False,single_mass
422190,R RESPIRATORY SYSTEM,R05 COUGH AND COLD PREPARATIONS,"R05C EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPRESSANTS",R05C A Expectorants,R05C A10 Combinations,10767,KALIUM BROMIDUM*+THYMUS SERPYLLUM*&,Oral Liquid Ordinary,"syrup flask 200 g, in a pack",True,KALIUM BROMIDUM*+THYMUS SERPYLLUM*&,,,,,Oral liquid,False,False,not_comparable_or_missing
137353,R RESPIRATORY SYSTEM,R05 COUGH AND COLD PREPARATIONS,"R05C EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPRESSANTS",R05C B Mucolytics,"R05C B56** Ambroxol, combinations",14578,AMBROXOLUM+LORATADINUM,Oral Liquid Ordinary,"powder f/susp. orale, to prep. 60 ml susp., bottles",True,AMBROXOLUM+LORATADINUM,,,,,Oral liquid,False,False,not_comparable_or_missing
174564,N NERVOUS SYSTEM,N07 OTHER NERVOUS SYSTEM DRUGS,N07C ANTIVERTIGO PREPARATIONS,N07C A Antivertigo preparations,N07C A01 Betahistine,38934,BETAHISTINE,Oral Solid Ordinary,"tabs 16 mg blister, #30",True,BETAHISTINE,16.0,mg,16.0,30.0,Oral solid,False,False,single_mass
129162,"H SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES",H03 THYROID THERAPY,H03A THYROID PREPARATIONS,H03A A Thyroid hormones,H03A A01 Levothyroxine sodium,40070,LEVOTHYROXINUM NATRICUM,Oral Solid Ordinary,"tabs 150 mcg blister, #25",True,LEVOTHYROXINUM NATRICUM,150.0,mcg,0.15,25.0,Oral solid,False,False,single_mass
163367,R RESPIRATORY SYSTEM,R05 COUGH AND COLD PREPARATIONS,R05X OTHER COLD PREPARATIONS,R05X OTHER COLD PREPARATIONS,R05X OTHER COLD PREPARATIONS,16904,CAMPHORA*+EUCALYPTUS VIMINALIS*&+LEVOMENTHOLUM+PINUS SILVESTRIS*&,"Topical Dermatological, Haemorrhoidal, External","ointment jar, can 25 g, #1",True,CAMPHORA*+EUCALYPTUS VIMINALIS*&+LEVOMENTHOLUM+PINUS SILVESTRIS*&,,,,1.0,Topical,False,False,not_comparable_or_missing
112587,R RESPIRATORY SYSTEM,R05 COUGH AND COLD PREPARATIONS,"R05C EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPRESSANTS",R05C A Expectorants,R05C A10 Combinations,15030,-,Oral Liquid Ordinary,"powder flask 19,55 g, pack, #1",False,UNKNOWN_SKU_112587,,,,1.0,Oral liquid,False,False,not_comparable_or_missing
