method,WAPE,Bias,RMSE,MASE,MASE_eligible,observations
Direct INN,0.1896721153868542,-0.10891665346514769,21937.366017763008,6.062636432646357,2646,32484
Bottom-up SKU,0.25014353697655295,-0.004337093973889755,35582.1620722869,6.233219197640074,2646,32484
