SKU,forecast_2024,model
64184,249.67999999999998,Seasonal Naive
502479,85.03999999999999,Seasonal Naive
137247,0.0,Seasonal Naive
127374,0.0,Seasonal Naive
164721,0.0,Seasonal Naive
57176,0.0,Seasonal Naive
287775,0.0,Seasonal Naive
30557,0.0,Seasonal Naive
317956,404.44000000000005,Seasonal Naive
83748,0.0,Seasonal Naive
246656,4.0600000000000005,Seasonal Naive
440481,322.65,Seasonal Naive
327027,0.0,Seasonal Naive
161776,0.0,Seasonal Naive
173938,258.68,Seasonal Naive
99617,9928.14,Seasonal Naive
40504,0.0,Seasonal Naive
299208,0.0,Seasonal Naive
111763,0.0,Seasonal Naive
40915,0.0,Seasonal Naive
440761,0.0,Seasonal Naive
123533,0.0,Seasonal Naive
330553,0.0,Seasonal Naive
230158,0.0,Seasonal Naive
389544,0.0,Seasonal Naive
105527,0.0,Seasonal Naive
530509,0.0,Seasonal Naive
110939,0.0,Seasonal Naive
190958,0.0,Seasonal Naive
250891,0.0,Seasonal Naive
309183,0.0,Seasonal Naive
110487,1105.0,Seasonal Naive
134323,0.0,Seasonal Naive
9977,0.0,Seasonal Naive
105524,0.0,Seasonal Naive
348835,5.09,Seasonal Naive
50730,0.0,Seasonal Naive
51878,0.0,Seasonal Naive
410517,0.0,Seasonal Naive
245043,79.54,Seasonal Naive
20985,1940.6500000000003,Seasonal Naive
165460,0.0,Seasonal Naive
34717,0.0,Seasonal Naive
18545,0.0,Seasonal Naive
172011,7.02,Seasonal Naive
480610,0.0,Seasonal Naive
134050,0.0,Seasonal Naive
108855,0.0,Seasonal Naive
142227,0.0,Seasonal Naive
237253,0.0,Seasonal Naive
272359,64.11,Seasonal Naive
177334,7883.73,Seasonal Naive
68871,30152.34,Seasonal Naive
90662,0.0,Seasonal Naive
7677,0.0,Seasonal Naive
117312,0.0,Seasonal Naive
110768,2936.3700000000003,Seasonal Naive
12679,0.0,Seasonal Naive
389543,0.0,Seasonal Naive
79651,124.29,Seasonal Naive
450322,0.0,Seasonal Naive
128339,0.0,Seasonal Naive
12937,0.0,Seasonal Naive
316906,251.35000000000002,Seasonal Naive
325018,212.69,Seasonal Naive
135613,0.0,Seasonal Naive
402054,0.0,Seasonal Naive
107875,108.29,Seasonal Naive
383035,2886.1100000000006,Seasonal Naive
171158,12.26,Seasonal Naive
141891,0.0,Seasonal Naive
414258,344.30000000000007,Seasonal Naive
306345,0.0,Seasonal Naive
20563,0.0,Seasonal Naive
164836,32.949999999999996,Seasonal Naive
107710,0.0,Seasonal Naive
285541,0.0,Seasonal Naive
118671,11.879999999999999,Seasonal Naive
336424,7.220000000000001,Seasonal Naive
389669,447.53999999999996,Seasonal Naive
443818,0.0,Seasonal Naive
190679,27.02,Seasonal Naive
337197,356.95,Seasonal Naive
174603,0.0,Seasonal Naive
77289,0.0,Seasonal Naive
352954,11.909999999999998,Seasonal Naive
67449,0.0,Seasonal Naive
434983,211.85000000000002,Seasonal Naive
134074,0.0,Seasonal Naive
169118,209.65,Seasonal Naive
70200,0.0,Seasonal Naive
100012,0.0,Seasonal Naive
177752,0.0,Seasonal Naive
118324,0.0,Seasonal Naive
273081,0.0,Seasonal Naive
84177,0.0,Seasonal Naive
134632,0.0,Seasonal Naive
90615,0.0,Seasonal Naive
126274,0.0,Seasonal Naive
141889,0.0,Seasonal Naive
44127,0.0,Seasonal Naive
446307,4308.84,Seasonal Naive
317313,0.0,Seasonal Naive
317426,294.45,Seasonal Naive
316907,3.24,Seasonal Naive
390793,0.0,Seasonal Naive
17830,0.0,Seasonal Naive
363652,0.0,Seasonal Naive
225952,0.0,Seasonal Naive
175338,665.6,Seasonal Naive
135101,0.0,Seasonal Naive
132334,0.0,Seasonal Naive
86137,24604.429999999997,Seasonal Naive
91059,0.0,Seasonal Naive
303612,0.0,Seasonal Naive
17174,0.0,Seasonal Naive
136015,17.35,Seasonal Naive
389690,0.0,Seasonal Naive
63157,778.89,Seasonal Naive
102934,0.0,Seasonal Naive
19497,0.0,Seasonal Naive
20984,393.28000000000003,Seasonal Naive
14351,0.0,Seasonal Naive
103264,12.76,Seasonal Naive
326594,249.05000000000004,Seasonal Naive
230182,0.0,Seasonal Naive
33457,0.0,Seasonal Naive
485160,0.0,Seasonal Naive
410515,0.0,Seasonal Naive
61586,0.0,Seasonal Naive
325842,421.93000000000006,Seasonal Naive
94604,0.0,Seasonal Naive
111015,0.0,Seasonal Naive
20863,0.0,Seasonal Naive
187931,0.0,Seasonal Naive
82431,0.0,Seasonal Naive
161530,0.0,Seasonal Naive
161579,385.96,Seasonal Naive
31588,0.0,Seasonal Naive
20943,0.0,Seasonal Naive
187998,181.85999999999999,Seasonal Naive
7771,88066.75,Seasonal Naive
412540,0.0,Seasonal Naive
295279,4947.639999999999,Seasonal Naive
110472,50.510000000000005,Seasonal Naive
61784,0.0,Seasonal Naive
337437,0.0,Seasonal Naive
63732,0.0,Seasonal Naive
105121,0.0,Seasonal Naive
79592,0.0,Seasonal Naive
330973,0.0,Seasonal Naive
237247,0.0,Seasonal Naive
549987,2541.2299999999996,Seasonal Naive
88291,0.08,Seasonal Naive
389849,0.0,Seasonal Naive
446299,7528.970000000001,Seasonal Naive
39426,1.3900000000000001,Seasonal Naive
174067,7.220000000000001,Seasonal Naive
29984,0.0,Seasonal Naive
363781,0.0,Seasonal Naive
82135,0.0,Seasonal Naive
346265,0.0,Seasonal Naive
196186,0.0,Seasonal Naive
26706,1.47,Seasonal Naive
485159,0.0,Seasonal Naive
169055,0.0,Seasonal Naive
137373,0.0,Seasonal Naive
127394,0.0,Seasonal Naive
121908,0.0,Seasonal Naive
383341,0.0,Seasonal Naive
135595,0.0,Seasonal Naive
317955,368.09999999999997,Seasonal Naive
192567,0.0,Seasonal Naive
298018,0.0,Seasonal Naive
140733,642.98,Seasonal Naive
84683,0.0,Seasonal Naive
166631,0.0,Seasonal Naive
9845,0.0,Seasonal Naive
128865,0.0,Seasonal Naive
446303,2878.9500000000003,Seasonal Naive
173087,0.0,Seasonal Naive
154467,0.0,Seasonal Naive
358441,0.0,Seasonal Naive
145005,0.0,Seasonal Naive
133177,0.0,Seasonal Naive
17903,0.0,Seasonal Naive
402583,0.0,Seasonal Naive
57175,0.0,Seasonal Naive
71341,12.669999999999998,Seasonal Naive
169057,0.0,Seasonal Naive
299054,0.0,Seasonal Naive
342973,0.0,Seasonal Naive
98803,0.0,Seasonal Naive
86062,0.0,Seasonal Naive
51839,0.0,Seasonal Naive
196182,0.0,Seasonal Naive
287528,1204.7199999999998,Seasonal Naive
126944,0.0,Seasonal Naive
95413,0.0,Seasonal Naive
175495,0.0,Seasonal Naive
111856,3.84,Seasonal Naive
25510,0.0,Seasonal Naive
229378,0.0,Seasonal Naive
79590,0.0,Seasonal Naive
85625,0.0,Seasonal Naive
84164,0.0,Seasonal Naive
30428,83.00000000000001,Seasonal Naive
353040,195.2,Seasonal Naive
80145,0.0,Seasonal Naive
327233,0.0,Seasonal Naive
60010,0.0,Seasonal Naive
99731,0.0,Seasonal Naive
139652,691.1600000000001,Seasonal Naive
164157,7240.71,Seasonal Naive
164767,0.0,Seasonal Naive
180407,0.0,Seasonal Naive
421640,0.0,Seasonal Naive
392610,0.0,Seasonal Naive
173997,0.0,Seasonal Naive
149311,1133.3200000000002,Seasonal Naive
10536,180.62,Seasonal Naive
31041,4.0600000000000005,Seasonal Naive
169119,0.0,Seasonal Naive
82895,10183.039999999999,Seasonal Naive
20767,310.69,Seasonal Naive
237249,0.0,Seasonal Naive
188117,258.94,Seasonal Naive
273644,691.99,Seasonal Naive
165004,467.65,Seasonal Naive
113083,6.02,Seasonal Naive
96857,0.0,Seasonal Naive
100107,0.0,Seasonal Naive
108274,33.96,Seasonal Naive
60001,3439.4100000000003,Seasonal Naive
18409,26.18,Seasonal Naive
97914,838.92,Seasonal Naive
96976,1.2600000000000002,Seasonal Naive
102781,3268.0499999999997,Seasonal Naive
465857,5.05,Seasonal Naive
12938,0.0,Seasonal Naive
157093,0.0,Seasonal Naive
161428,0.0,Seasonal Naive
97212,51.46,Seasonal Naive
98224,0.0,Seasonal Naive
317023,0.0,Seasonal Naive
99470,0.0,Seasonal Naive
389713,0.0,Seasonal Naive
137867,8.07,Seasonal Naive
120988,0.0,Seasonal Naive
402695,0.0,Seasonal Naive
161772,0.0,Seasonal Naive
373843,0.0,Seasonal Naive
359504,0.0,Seasonal Naive
47803,0.0,Seasonal Naive
238295,1116.04,Seasonal Naive
135591,0.0,Seasonal Naive
138311,181.15000000000003,Seasonal Naive
69574,0.0,Seasonal Naive
84251,42.03,Seasonal Naive
389576,1493.52,Seasonal Naive
142203,90.82,Seasonal Naive
122180,0.0,Seasonal Naive
105594,4651.97,Seasonal Naive
308709,0.0,Seasonal Naive
12471,0.0,Seasonal Naive
362144,0.9299999999999999,Seasonal Naive
110836,0.0,Seasonal Naive
117830,0.0,Seasonal Naive
358578,0.0,Seasonal Naive
431126,735.65,Seasonal Naive
303615,0.0,Seasonal Naive
26888,0.0,Seasonal Naive
18799,0.0,Seasonal Naive
134015,23.63,Seasonal Naive
169117,0.0,Seasonal Naive
373826,0.0,Seasonal Naive
219797,860.1,Seasonal Naive
