segment,sku_count,mean_zero_rate,mean_cv
Intermittent,865,0.53121387283237,1.4157226599992903
Launch / lifecycle,594,0.8944163860830527,4.186525618245037
Lumpy / volatile,1937,0.33828084667010844,1.8876380699703013
Potential discontinued,3627,0.7258707839353,3.527782817881689
Seasonal,826,0.00010088781275221953,0.49680803231952975
Stable,5913,0.012399233327696036,0.47288501137322936
