INN,zero_rate,mean_demand,CV,ADI,CV2_positive,leading_zeros,trailing_zeros,internal_zero_months,seasonality_strength,trend_strength,lag12_autocorrelation,segment
CARDIOSPERMUM HALICACABUM*&,0.0,350.65083333333337,0.27731570327260885,1.0,0.07690399928158165,0,0,0,0.44975555410226375,0.34002174405817853,0.20343794522231054,Stable
CARICA PAPAYA*&+CHYMOTRYPSINUM+TRYPSINUM*,0.9,0.043333333333333335,3.208900344373185,10.0,0.1297041420118343,1,50,3,0.1596094042180124,0.2388472724974634,,Potential discontinued
CARIPRAZINUM,0.26666666666666666,103.8215,0.7959038676179752,1.3636363636363635,0.1978728420921176,16,0,0,0.03235939165151558,0.7237360339154816,0.5426047612250776,Intermittent
CARNITINUM+COBAMAMIDUM*+COCARBOXYLASUM+LYSINUM+PYRIDOXALPHOSPHATUM*,0.0,41702.72116666667,0.429652625855136,1.0,0.18460137890421344,0,0,0,0.4841343037694148,0.4525664903338946,0.4338910823472094,Stable
CARNITINUM+LYSINUM,0.016666666666666666,3739.070166666667,0.4028555634351856,1.0169491525423728,0.14292106157416945,0,0,1,0.07126629800804651,0.2549235497194814,0.17652671454693133,Stable
CARUM CARVI*&,0.0,3031.0126666666665,0.35557679420074595,1.0,0.12643485657407963,0,0,0,0.6007229942404685,0.7639297102599438,0.8090406374383872,Seasonal
CARVEDILOLUM,0.0,226447.9676666666,0.11047596241383736,1.0,0.012204938271263606,0,0,0,0.40729429898892655,0.0071757167195384275,0.24023531142841356,Stable
CASPOFUNGINUM,0.95,0.007499999999999999,4.68013928251112,20.0,0.14518518518518522,26,15,16,0.17271515462671627,0.017171738539526582,-0.05772684512101255,Potential discontinued
CASSIA ACUTIFOLIA/ANGUSTIFOLIA*&,0.0,154707.0425,0.39881110816022,1.0,0.1590502999919827,0,0,0,0.1643478921154342,0.8315002999692912,0.8865836719541063,Stable
CASSIA ACUTIFOLIA/ANGUSTIFOLIA*&+NATRII PICOSULFAS,0.0,12121.661166666669,0.18652538940943114,1.0,0.034791720894339934,0,0,0,0.49839425353379496,0.24608984746068474,0.2786546122486608,Stable
CASSIA ACUTIFOLIA/ANGUSTIFOLIA*&+RHEUM*+SULFUR*+CARBO ACTIVATUS MEDICINALIS*,0.9666666666666667,0.3795,5.694009731824475,30.0,0.11405822753706125,4,46,8,0.17114105610340702,0.05214946662608244,-0.028752046116249902,Potential discontinued
CEFALEXINUM,0.0,1935.3431666666663,0.7569477557355222,1.0,0.5729699049130439,0,0,0,0.17850562228791844,0.7255239261315714,0.5323583520153448,Stable
CEFAZOLINUM,0.0,20497.01683333334,0.36362968291831554,1.0,0.13222654629927474,0,0,0,0.2633071598497283,0.5529257500547894,0.27419593701814654,Stable
CEFDINIRUM,0.3333333333333333,5012.747666666666,1.1721239853733303,1.5,0.5825830913916394,20,0,0,0.059856643232073625,0.6762432471164741,0.02943518985524921,Lumpy / volatile
CEFDITORENUM,0.5,6.786666666666666,1.5639825114000974,2.0,0.7230206479826774,0,28,2,0.1483876600611993,0.6595019358558207,0.23652008423691073,Potential discontinued
CEFEPIMUM,0.0,137357.36316666665,1.0075174300006449,1.0,1.0150913717551042,0,0,0,0.18758802541376762,0.28679069874796714,0.20514628032847826,Lumpy / volatile
CEFEPIMUM+SULBACTAMUM,0.6833333333333333,244.59250000000003,1.8222711077432647,3.1578947368421053,0.36821279687002434,41,0,0,0.011676539118456564,0.6614671080952941,0.6274843788950835,Intermittent
CEFIXIMUM,0.0,83357.67283333333,0.3895744063288726,1.0,0.15176821806649354,0,0,0,0.4670078906667786,0.025337740338573833,0.1403823732115038,Stable
CEFOPERAZONUM,0.0,25528.37316666667,0.8821293422671059,1.0,0.7781521764885969,0,0,0,0.2752976119155548,0.8074163593523577,0.563505295855125,Stable
CEFOPERAZONUM+SULBACTAMUM,0.0,82998.90116666666,0.9197863915154272,1.0,0.8460070060169708,0,0,0,0.18214105178581108,0.33013721353606507,0.18811580741407283,Stable
CEFOTAXIMUM,0.0,42845.83383333333,0.6418626599951669,1.0,0.41198767429607114,0,0,0,0.4474033049388335,0.8131004134599312,0.7123428741111324,Stable
CEFPODOXIMUM,0.0,59346.61933333333,0.4933652960369687,1.0,0.24340931533364576,0,0,0,0.44654818914222705,0.21142145411346347,0.2281437765899909,Stable
CEFTAZIDIMUM,0.0,86181.51083333333,0.7034659388257437,1.0,0.49486432708798506,0,0,0,0.33218464485980026,0.6103239691848419,0.4301391971991149,Stable
CEFTRIAXONUM,0.0,944195.287,0.5575868441397639,1.0,0.31090308875774136,0,0,0,0.32982676031327396,0.6732018324913684,0.5097603984346107,Stable
CEFTRIAXONUM+SULBACTAMUM,0.0,47819.726833333334,0.8139274018102517,1.0,0.6624778154175871,0,0,0,0.30906513903672406,0.5673360184211359,0.40297587183797545,Stable
CEFTRIAXONUM+TAZOBACTAMUM,0.13333333333333333,5605.571166666667,1.1956345163626565,1.1538461538461537,1.1056029771553952,8,0,0,0.08286032032695179,0.3032918342322658,0.13451663355475194,Lumpy / volatile
CEFUROXIMUM,0.0,51929.585166666664,0.48383106334701276,1.0,0.23409249785950106,0,0,0,0.39816881133690085,0.5257124519639086,0.43742540160203425,Stable
CELECOXIBUM,0.0,8007.772666666667,0.2801665340226807,1.0,0.0784932867862819,0,0,0,0.10604759649701923,0.30656830176888616,-0.005668435692677416,Stable
CENTAURIUM VULG. RAF./PULCHELLUM (SWARTZ) DRUCE*&+LEVISTICUM OFFICINALE&+ROSMARINUS OFFICINALIS*&,0.0,147535.27583333338,0.13744482428092802,1.0,0.01889107972161518,0,0,0,0.5968935832782567,0.06105708582500147,0.4255084799391357,Seasonal
CENTAURIUM VULGARE RAF./PULCHELLUM (SWARTZ) DRUCE*&,0.0,1485.3468333333328,0.3181915777272936,1.0,0.10124588013658435,0,0,0,0.7160301211015345,0.74758324029247,0.7918092872893117,Seasonal
CERULOPLASMINUM*,0.4166666666666667,47.6695,1.2383043167696117,1.7142857142857142,0.4778152555426487,0,25,0,0.08449863484219333,0.8421982548818938,0.5157137505861507,Potential discontinued
CETIRIZINUM,0.0,131332.80849999998,0.2391873829501705,1.0,0.05721060416255151,0,0,0,0.7500508501492111,0.06197884865343062,0.597495059344841,Seasonal
CETIRIZINUM+CHLORPHENAMINUM+DEXTROMETHORPHANUM+PARACETAMOLUM,0.0,35130.09866666666,0.511896561985879,1.0,0.26203809017296287,0,0,0,0.7785809796261977,0.04161546055156562,0.5533711582398844,Seasonal
CETIRIZINUM+PARACETAMOLUM,0.9666666666666667,0.020833333333333332,5.399585169251432,30.0,0.00518400000000001,13,45,0,0.16647949764976078,0.02160629624654653,-0.043244335338025464,Potential discontinued
CETIRIZINUM+PARACETAMOLUM+PHENYLEPHRINUM,0.0,34704.69616666667,1.0222700522635826,1.0,1.045036059754988,0,0,0,0.6508726559691818,0.47064984370289775,0.7455693764764929,Seasonal
CETRARIA ISLANDICA*&,0.0,143307.95766666668,0.5430579616839264,1.0,0.29491194974830093,0,0,0,0.5267228867280505,0.29013003487626055,0.2663813608920618,Seasonal
CETRORELIXUM,0.5,5.961,1.405699249515461,2.0,0.48799519004416514,10,0,20,0.16954321025378893,0.5547447438220607,0.30691107755558317,Intermittent
CETUXIMABUM,0.6666666666666666,4.348166666666667,1.8132594344597335,3.0,0.4293032588857444,0,3,37,0.1554938506987853,0.18639265445223552,0.02002189029847265,Intermittent
CETYLPYRIDINII CHLORIDUM,0.6,23.264166666666664,3.122118835693116,2.5,3.2990504096758952,0,28,8,0.12329634842253434,0.5696792866693541,0.6082042190464086,Potential discontinued
CETYLPYRIDINII CHLORIDUM+MURAMIDASE,0.23333333333333334,1336.2641666666666,1.1882188638231945,1.3043478260869565,0.8490957857313841,14,0,0,0.01345806174958497,0.4814738176440515,0.2548460766560639,Lumpy / volatile
CHELIDONIUM MAJUS*&,0.0,7313.781666666666,0.36940842117882317,1.0,0.13646258163783082,0,0,0,0.7150333531177515,0.8443026755322929,0.855141770228951,Seasonal
CHLORAMBUCILUM,0.03333333333333333,83.1275,0.4636984053786273,1.0344827586206897,0.17451567077899238,0,0,2,0.12761007884466302,0.11427515362794693,-0.029657787187685625,Stable
CHLORAMPHENICOLUM,0.0,303567.7731666667,0.2152173896321391,1.0,0.04631852480007199,0,0,0,0.4168769112104974,0.7226807039706372,0.45833358735786284,Stable
CHLORAMPHENICOLUM+HYDROCORTISONUM+METRONIDAZOLUM+NYSTATINUM,0.5833333333333334,206.4698333333333,2.056068010473509,2.4,1.1780898598718723,0,35,0,0.024747618223403545,0.7404002441859734,0.6567935875450513,Potential discontinued
CHLORAMPHENICOLUM+LIDOCAINUM+METRONIDAZOLUM,0.0,998.3066666666666,0.32852737433939067,1.0,0.10793023569033414,0,0,0,0.07148059186715672,0.5499148423962641,0.3087816268901317,Stable
CHLORAMPHENICOLUM+METHYLURACILUM*,0.0,228913.833,0.13473635644205303,1.0,0.018153885747279972,0,0,0,0.584362889010108,0.2677285885410503,0.3184266856754349,Seasonal
CHLORAMPHENICOLUM+METHYLURACILUM*+SULFADIMETHOXINUM+TRIMECAINUM,0.0,10523.022333333332,0.19046146348091642,1.0,0.03627556907129246,0,0,0,0.24868494652011397,0.48020191109786015,0.13749916468237894,Stable
CHLORHEXIDINUM,0.0,377867.03033333336,0.4023739336630059,1.0,0.16190478249144108,0,0,0,0.2390349268312355,0.4555839256206863,0.07979733031019219,Stable
CHLORHEXIDINUM+CHLOROCRESOLUM+HEXAMIDINUM,0.0,12868.923166666667,0.2327682936444344,1.0,0.05418107852614164,0,0,0,0.13653962666446307,0.027830629103593907,-0.4661422834573043,Stable
CHLORHEXIDINUM+DEXPANTHENOLUM,0.0,37563.532,0.22197843370459747,1.0,0.04927442502994637,0,0,0,0.7667687154956443,0.33747048856288053,0.6520896912555549,Seasonal
CHLORHEXIDINUM+LIDOCAINUM,0.0,13693.982666666665,0.7486317482341088,1.0,0.5604494944640579,0,0,0,0.45262161253016486,0.7015386291826249,0.7621375575601923,Stable
CHLORHEXIDINUM+LIDOCAINUM+TYROTHRICINUM,0.0,50333.68883333334,0.6879693184957961,1.0,0.47330178319157,0,0,0,0.05622129524123687,0.07358459141039109,-0.025533529082683738,Stable
CHLORHEXIDINUM+METRONIDAZOLUM,0.0,52939.191499999986,0.13796445455023565,1.0,0.019034190719344042,0,0,0,0.43755560068895416,0.1771340332532252,0.18471267425020482,Stable
CHLORIN E6*,0.95,0.009166666666666667,4.432598998815201,20.0,0.03239669421487603,21,23,13,0.1590870509639375,0.000428508221419599,-0.06443985258718031,Potential discontinued
CHLORMADINONUM + ETHINYLESTRADIOLUM,0.0,7008.605,0.1479054837132353,1.0,0.02187603211244612,0,0,0,0.21258069495626308,0.06003350556827003,-0.22634953743612093,Stable
CHLORNITROPHENOLUM*,0.0,6878.119666666666,0.2944254057545794,1.0,0.08668631955374871,0,0,0,0.17661261382457638,0.23364398176156664,0.0634362981774371,Stable
CHLOROBUTANOLUM+CHOLINI SALICYLAS+HEXETIDINUM,0.0,106204.62066666667,0.3714248512421875,1.0,0.13795642012028111,0,0,0,0.5918538965195527,0.04459322215137784,0.3851536140996801,Seasonal
CHLOROPYRAMINUM,0.0,95918.12850000002,0.16885254439846037,1.0,0.028511181749834025,0,0,0,0.2583140092127755,0.13612887127772244,-0.275547319304578,Stable
CHLOROQUINUM,0.8,134.71416666666667,2.1536085336859436,5.0,0.127605943272984,0,48,0,0.02943152647798475,0.477433752353165,,Potential discontinued
CHLORPHENAMINUM+COFFEINUM*+DEXTROMETHORPHANUM+PARACETAMOLUM+PHENYLEPHRINUM,0.0,26373.871833333338,0.6067410033554173,1.0,0.36813464515273836,0,0,0,0.8052248903617878,0.15550666135616953,0.606498681061749,Seasonal
CHLORPHENAMINUM+COFFEINUM*+PARACETAMOLUM+PHENYLEPHRINUM,0.0,168657.6231666667,0.5614752323831352,1.0,0.31525443657969565,0,0,0,0.8395718475100125,0.05756258496679534,0.6707075194803919,Seasonal
CHLORPHENAMINUM+COFFEINUM*+PARACETAMOLUM+PHENYLPROPANOLAMINUM,0.0,11508.743166666665,1.9175446266951544,1.0,3.6769773953674587,0,0,0,0.07857049271632333,0.01700959069728314,0.596522279365188,Lumpy / volatile
CHLORPHENAMINUM+DEXTROMETHORPHANUM+PARACETAMOLUM+PHENYLEPHRINUM,0.9833333333333333,0.017833333333333333,7.681145747868605,60.0,0.0,9,50,0,0.2023041335915784,0.0433160422208031,,Potential discontinued
CHLORPHENAMINUM+PARACETAMOLUM+PHENYLEPHRINUM,0.0,84689.20183333333,0.6372612949807385,1.0,0.40610195808052774,0,0,0,0.7573827792669077,0.03088411655140233,0.59781469301437,Seasonal
CHLORPHENAMINUM+PARACETAMOLUM+PSEUDOEPHEDRINUM,0.9333333333333333,0.06816666666666668,5.357402291704842,15.0,0.9801172876776201,10,35,11,0.20255401636283343,0.08134094707533002,0.006751357386476985,Potential discontinued
CHLORPHENAMINUM+PHENYLEPHRINUM,0.0,29342.818999999996,0.5190174284736917,1.0,0.26937909105944374,0,0,0,0.5261592628757629,0.04897740687927277,0.24899683665043754,Seasonal
CHLORPROMAZINE,0.0,20174.064,0.16430808279418477,1.0,0.026997146071500673,0,0,0,0.35355199215409794,0.8455078073704476,0.7603692626666823,Stable
CHLORPROTHIXENE,0.0,4960.057833333333,0.12298316680574038,1.0,0.015124859317568563,0,0,0,0.5307980647797433,0.17102783952979572,0.342235185495482,Seasonal
CHLORQUINALDOLUM,0.0,3025.5640000000003,0.40721617045971187,1.0,0.16582500948387313,0,0,0,0.40956304842238367,0.692971299632315,0.6762867601198304,Stable
CHLORQUINALDOLUM+METRONIDAZOLUM,0.7166666666666667,5.403333333333333,1.8852436100860903,3.5294117647058822,0.29034064965495676,0,43,0,0.0974528714921633,0.5651838680121597,0.3626170814209757,Potential discontinued
CHLORTALIDONUM,0.0,2597.8891666666664,0.6819864838971748,1.0,0.4651055642184314,0,0,0,0.08540758728329834,0.912902242561314,0.8288606689537211,Stable
CHLORZOXAZONE+DICLOFENACUM+PARACETAMOLUM,0.2,538.7513333333334,1.5663794190255829,1.25,1.762835587477538,0,0,12,0.015290151696840448,0.057169209702301105,-0.14320356406241896,Lumpy / volatile
CHOLE MEDICATA CONSERVATA*,0.0,3967.8048333333336,0.19234316019775158,1.0,0.03699589127485793,0,0,0,0.18000884133268769,0.2532956973890018,-0.08145904413593298,Stable
CHOLE MEDICATA CONSERVATA*+HEMICELLULASE*+PANCREATINUM*,0.0,2693.2383333333332,0.26582934381174,1.0,0.07066524003138028,0,0,0,0.4579201492604972,0.0018518979495443233,0.37550129925857106,Stable
CHOLINI ALFOSCERAS,0.0,59238.97616666667,0.26016241102392373,1.0,0.06768448010978105,0,0,0,0.1271502210821649,0.2538032372015444,-0.2241297918755841,Stable
CHOLINI SALICYLAS,0.0,3795.985333333333,0.372338880195731,1.0,0.13863624170541095,0,0,0,0.41236393772745494,0.7522311013908015,0.598205658084699,Stable
CHOLINI SALICYLAS+CETALKONII CHLORIDUM,0.0,13242.667833333333,0.17466249734446226,1.0,0.03050698797860429,0,0,0,0.21017098502917497,0.01944564609748556,-0.3566706887949923,Stable
CHONDROITINI SULFAS*,0.0,41913.72333333334,0.3111403904265364,1.0,0.09680834255477751,0,0,0,0.3312922666158262,0.8819460160832949,0.6844506044148555,Stable
CHONDROITINI SULFAS*+DICLOFENACUM+GLUCOSAMINUM,0.0,17815.987333333334,0.1271454572970122,1.0,0.016165967311266356,0,0,0,0.12665646312703327,0.10583240021435947,-0.4064578886125404,Stable
CHONDROITINI SULFAS*+GLUCOSAMINUM,0.0,44086.630666666664,0.1672807105012319,1.0,0.02798283610579695,0,0,0,0.32643639192506,0.4202488757382503,0.15587582953100898,Stable
CHONDROITINI SULFAS*+GLUCOSAMINUM+IBUPROFENUM,0.0,10045.130999999998,0.29974840080709875,1.0,0.0898491037864131,0,0,0,0.10107573774563083,0.34182947463001223,0.21914804816034691,Stable
CHONDROITINI SULFAS*+LEVOMENTHOLUM,0.016666666666666666,1604.5146666666667,0.9882483605150212,1.0169491525423728,0.9436909083596168,0,1,0,0.046890393466043956,0.728813388502723,0.36363507207222373,Stable
CHORIOGONADOTROPINUM ALFA,0.45,173.56333333333336,1.2529064229694464,1.8181818181818181,0.4133759775949515,3,0,24,0.058911626434651976,0.797871826517868,0.5541465314579975,Intermittent
CHYMOTRYPSINUM,0.0,705.6688333333333,0.2628447326619089,1.0,0.06908735348811036,0,0,0,0.21162075175733563,0.41709972673339946,-0.0759248676403264,Stable
CICLOPIROXUM,0.5166666666666667,357.9823333333333,1.336262829325471,2.0689655172413794,0.34637253536784124,31,0,0,0.02906741828309234,0.8136306892825189,0.8539020223742053,Intermittent
CICLOSPORINUM,0.0,585.9184999999998,0.4243129320878352,1.0,0.18004146433697585,0,0,0,0.2828247688792572,0.005206550060501747,-0.24472221069888112,Stable
CILOSTASOLUM,0.0,8527.054,0.17889840631630358,1.0,0.03200463978251325,0,0,0,0.22747168970182585,0.6766682033534063,0.3052339706904215,Stable
CIMICIFUGA RACEMOSA*&,0.0,10717.051000000001,0.15777548552191126,1.0,0.02489310383167483,0,0,0,0.2755786889605748,0.007351271986071883,-0.17542696730740737,Stable
CINACALCET,0.016666666666666666,36.00249999999999,0.679701453994063,1.0169491525423728,0.43762749878561574,0,0,1,0.10702155568133187,0.3802287267526423,0.06623347591370093,Stable
CINCHOCAINUM+DEQUALINII CHLORIDUM,0.0,210469.91283333334,0.4581731911529428,1.0,0.20992267309127108,0,0,0,0.660823237034128,0.06464470565221447,0.4759433232797725,Seasonal
CINEOLUM,0.0,1022.7463333333334,0.7341884780464086,1.0,0.5390327212961017,0,0,0,0.5129223824273061,0.21252956430649028,0.26031100639325866,Seasonal
CINNARIZINUM,0.0,132831.91633333333,0.12004123516462675,1.0,0.014409898139849223,0,0,0,0.4910579147896691,0.4855550239331897,0.34828373804512586,Stable
CINNARIZINUM+DIMENHYDRINATUM,0.0,16811.678499999998,0.27241719551256355,1.0,0.07421112841093025,0,0,0,0.10858006129147324,0.015937094000433194,-0.45431617447851025,Stable
CINNARIZINUM+PIRACETAMUM,0.0,43645.31616666667,0.15684690659310935,1.0,0.024600952107827572,0,0,0,0.5846162007261793,0.773505333479501,0.6218800440605475,Seasonal
CIPROFLOXACINUM,0.0,179983.3431666667,0.23400743308154687,1.0,0.05475947873741464,0,0,0,0.3508576068509578,0.6151372960241481,0.4095096893377806,Stable
CIPROFLOXACINUM+DEXAMETHASONUM,0.0,16330.911,0.2635273888042296,1.0,0.0694466846499756,0,0,0,0.23782925255786214,0.11327731796837559,-0.2783503918133974,Stable
CIPROFLOXACINUM+ORNIDAZOLUM,0.0,12661.17183333333,0.19660136662994823,1.0,0.03865209736076331,0,0,0,0.28839682537598055,0.1481534126772901,-0.013742245696036302,Stable
CIPROFLOXACINUM+TINIDAZOLUM,0.0,13797.134333333333,0.24056319165052467,1.0,0.05787064917708706,0,0,0,0.13398405002496616,0.017580619854700608,-0.035574743412857004,Stable
CISPLATINUM,0.0,580.4600000000002,0.7214067135944096,1.0,0.5204276464190865,0,0,0,0.08502012831438777,0.06432334070010448,0.10340367729005079,Stable
CITALOPRAM,0.0,376.15366666666665,0.16830156237902089,1.0,0.028325415899219455,0,0,0,0.1848439489334337,0.08809797483191151,-0.1916476167842523,Stable
CITICOLINUM,0.0,101542.6476666667,0.1551135182537189,1.0,0.02406020354504679,0,0,0,0.30282800136286536,0.019932891478734893,-0.2094521016560891,Stable
CITRULLINUM*,0.0,2237.3103333333333,0.31925396342696577,1.0,0.1019230931638264,0,0,0,0.18861028810778258,0.17840640044837663,-0.09264102158598372,Stable
CLADRIBINUM,0.9833333333333333,0.05633333333333333,7.681145747868608,60.0,0.0,55,4,0,0.19060759416334894,0.04331604222080454,,Launch / lifecycle
CLARITHROMYCINUM,0.0,49644.18383333333,0.4878746074530577,1.0,0.2380216325974752,0,0,0,0.49843977705555187,0.4750664562913197,0.4674015686932049,Stable
CLARITHROMYCINUM+LANSOPRAZOLUM+TINIDAZOLUM,0.0,2911.2653333333337,0.28710363228006136,1.0,0.0824284956684047,0,0,0,0.4105341854058765,0.0064617367088606326,0.12714114305998173,Stable
CLEMASTINUM,0.0,16017.118499999999,0.4523124429409925,1.0,0.20458654603924858,0,0,0,0.19107681006772104,0.5616499921386131,0.5176216939417193,Stable
CLINDAMYCINUM,0.0,25708.792666666668,0.19187854234447863,1.0,0.03681737501224188,0,0,0,0.28550963701168,0.44195118883559414,0.11989712012368406,Stable
CLINDAMYCINUM+CLOTRIMAZOLUM,0.6,14.345833333333333,1.4047464104159888,2.5,0.18932499103064224,0,36,0,0.20079886152486415,0.716940161338302,0.44646631586753277,Potential discontinued
CLINDAMYCINUM+MICONAZOLUM,0.08333333333333333,491.7185,0.6926161445521914,1.0909090909090908,0.3564073633864803,0,3,2,0.06707077147562235,0.624090112873342,0.8765903673793787,Stable
CLIOQUINOLUM+FLUMETASONUM,0.0,5582.417166666668,0.12789113972385852,1.0,0.0163561436198675,0,0,0,0.32746889329025874,0.6314121716223731,0.4712218457594381,Stable
CLOBETASOLUM,0.0,39835.85899999999,0.11222674311658652,1.0,0.0125948418705563,0,0,0,0.32932778763468873,0.3524698533317381,0.06688750527476622,Stable
CLOMIFENUM,0.0,807.536,0.21387411776266563,1.0,0.04574213824875857,0,0,0,0.26746518599819025,0.17221121361064917,0.08392836727586281,Stable
CLOMIPRAMINUM,0.0,2714.1270000000004,0.2678086861894617,1.0,0.07172149239852556,0,0,0,0.1957526056563852,0.10507888814927002,-0.07263057809709421,Stable
CLONAZEPAMUM,0.0,1134.7573333333335,0.17331996793090326,1.0,0.03003981128356934,0,0,0,0.2444178159238637,1.0299363469190581e-05,0.09626097689381338,Stable
CLONIDINUM,0.0,18037.159999999996,0.34536009889908054,1.0,0.11927359791158268,0,0,0,0.7361569999444768,0.9420219061805344,0.9150929375829753,Seasonal
CLOPAMIDUM+DIHYDROERGOCRYSTIN+RESERPINUM,0.0,12316.192333333334,0.26754594589593533,1.0,0.07158083316535077,0,0,0,0.4441170155576857,0.8480814915093369,0.7687709352329231,Stable
CLOPERASTINUM,0.5833333333333334,6.187666666666667,1.652628407726082,2.4,0.5546586058430191,0,35,0,0.18933022265167898,0.7300296545384766,0.532726171915196,Potential discontinued
CLOPIDOGRELUM,0.0,343728.7906666667,0.2297144721571519,1.0,0.05276873871843893,0,0,0,0.17358255605373696,0.04556430823471036,0.23443778391952966,Stable
CLOTRIMAZOLUM,0.0,164064.8653333333,0.10805578580030457,1.0,0.011676052844921302,0,0,0,0.3893934678471057,0.28929643974321095,0.20372237400267842,Stable
CLOTRIMAZOLUM+HEXAMIDINUM+PREDNISOLONUM,0.8333333333333334,4.42,2.891287141535324,6.0,0.5599235558012509,0,50,0,0.03590930481431831,0.3746074124131088,,Potential discontinued
CLOTRIMAZOLUM+METRONIDAZOLUM+NEOMYCINUM,0.9333333333333333,3.361166666666667,4.119230733898688,15.0,0.1978707892730352,0,56,0,0.12372149789374964,0.17050152574003252,,Potential discontinued
CLOZAPINUM,0.0,18570.948333333337,0.10508548242081715,1.0,0.01104295861561587,0,0,0,0.44295594159642626,0.18653032132344116,0.3780243960089957,Stable
CLYCINE MAX&,0.9333333333333333,0.09233333333333334,3.742519375577204,15.0,0.00043008510471920474,1,41,14,0.13969944777828136,0.13224827540722162,-0.04396963600360234,Potential discontinued
CMP DISODIUM SALT*+UMP DISODIUM SALT*,0.0,32010.966333333337,0.17337147131404185,1.0,0.03005766706559564,0,0,0,0.2552198199950445,0.20554202226587992,0.06046359801815643,Stable
CO-TRIMOXAZOLUM*,0.0,58211.22883333334,0.3484067113640689,1.0,0.12138723652352564,0,0,0,0.6216069666828097,0.5027027284897398,0.44974541314313543,Seasonal
COBIMETINIBUM,0.2,0.3918333333333333,4.2666682666134585,1.25,14.36356647786104,3,7,2,0.15586569145181506,0.00026652115443348556,-0.053574783410705644,Potential discontinued
COCARBOXYLASUM,0.0,12518.298,0.3382085614284027,1.0,0.11438503102346965,0,0,0,0.2745332494867915,0.6459737340862846,0.26848124904624526,Stable
CODEINUM*+CHLORPHENAMINUM,0.85,20.192999999999998,5.68517269093397,6.666666666666667,3.9981782788612046,0,50,1,0.10108220044563887,0.29822059824753644,,Potential discontinued
CODEINUM*+COFFEINUM*+METAMIZOLUM NATRICUM+PARACETAMOLUM+PHENOBARBITALUM,0.0,119428.64983333331,0.26981763341952125,1.0,0.07280155530411116,0,0,0,0.25459641768068797,0.9381564601438918,0.8881031969482169,Stable
CODEINUM*+COFFEINUM*+PARACETAMOLUM,0.0,12305.070499999998,0.374940111067665,1.0,0.14058008688743295,0,0,0,0.28615424663213085,0.36656035652592434,0.3146124496329231,Stable
CODEINUM*+COFFEINUM*+PARACETAMOLUM+PHENOBARBITALUM+PROPYPHENAZONUM,0.0,34730.24,0.19271188486918925,1.0,0.03713787056983566,0,0,0,0.11576482269158661,0.5783247228550947,0.3910607727944314,Stable
CODEINUM*+COFFEINUM*+PARACETAMOLUM+PROPYPHENAZONUM,0.9666666666666667,0.22316666666666668,5.41684062115691,30.0,0.011405410500518423,0,51,7,0.18108196379382802,0.08630311189388051,,Potential discontinued
CODEINUM*+IBUPROFENUM,0.0,921.1548333333333,0.4017739645191768,1.0,0.1614223185654567,0,0,0,0.07794345115820978,0.5394416053503128,0.3294546311392584,Stable
CODEINUM*+MORPHINUM*+NOSCAPINUM+PAPAVERINUM*,0.7333333333333333,24.342000000000002,7.038888072685229,3.75,12.478918746610768,15,0,29,0.17075632972314803,0.07775966459136208,-0.07567626048588243,Lumpy / volatile
CODEINUM*+MORPHINUM*+NOSCAPINUM+PAPAVERINUM*+TEBAINUM*,0.0,361.60549999999995,0.46066143077502897,1.0,0.21220895380369678,0,0,0,0.13010354525238832,0.26422700596979365,-0.046635696013010874,Stable
CODEINUM*+NATRII HYDROCARBONAS*+THERPINI HYDRAS,0.0,232690.07666666666,0.6023864212148723,1.0,0.3628694004640615,0,0,0,0.11865577247360692,0.6730761944645133,0.3604491836629503,Stable
CODEINUM*+PARACETAMOLUM,0.0,103.6955,0.5889766144693706,1.0,0.3468934523918016,0,0,0,0.11437295327678132,0.22012114585088938,0.20402547603002474,Stable
COFFEINUM*,0.0,49586.33883333333,0.17411976285168168,1.0,0.030317691815525873,0,0,0,0.5564190959086998,0.18520780875497356,0.2753849220212747,Seasonal
COFFEINUM*+IBUPROFENUM+PARACETAMOLUM,0.0,38983.71733333334,0.14515238714555628,1.0,0.02106921549405346,0,0,0,0.39525366769513437,0.3628913378698386,0.2135923673909527,Stable
COFFEINUM*+INDOMETACINUM+PROCHLORPERAZINUM,0.95,0.11883333333333333,4.8273442144990995,20.0,0.21516260826289565,8,47,2,0.17066715580912473,0.0723669700602727,-0.033965653680096825,Potential discontinued
COFFEINUM*+METAMIZOLUM NATRICUM,0.0,7336.294666666668,0.2414045894177196,1.0,0.05827617579193778,0,0,0,0.3657804541135098,0.8094037567987524,0.6489290268073359,Stable
COFFEINUM*+METAMIZOLUM NATRICUM+THIAMINUM,0.0,47139.16366666668,0.1573788784795882,1.0,0.024768111391492986,0,0,0,0.24497559934296542,0.4894369584621312,0.17249752334804327,Stable
COFFEINUM*+NAPROXENUM+SALICYLAMIDUM,0.8,102.16516666666666,2.4980174224032594,5.0,0.44801820852604507,0,48,0,0.011843429268609151,0.5006692428062858,,Potential discontinued
COFFEINUM*+PARACETAMOLUM,0.0,210667.28333333335,0.19740051817555812,1.0,0.038966964575978855,0,0,0,0.2115463641809171,0.28673468172384287,0.1977893608492808,Stable
