INN,zero_rate,mean_demand,CV,ADI,CV2_positive,leading_zeros,trailing_zeros,internal_zero_months,seasonality_strength,trend_strength,lag12_autocorrelation,segment
ACIDUM ADENOSINTRIPHOSPHORICUM*,0.0,28941.769666666663,0.2290253931235366,1.0,0.05245263069539049,0,0,0,0.5889528802400965,0.7774329629761138,0.6619938010650929,Seasonal
ACIDUM ADENOSINTRIPHOSPHORICUM*+ACIDUM FOLICUM+MOLSIDOMINUM,0.0,43229.96983333333,0.1975165763661319,1.0,0.039012797939398006,0,0,0,0.3935166197825426,0.06949553575081868,0.18872919175513794,Stable
ACIDUM ADENOSINTRIPHOSPHORICUM*+COCARBOXYLASUM+CYANOCOBALAMINUM+NICOTINAMIDUM,0.0,31694.379333333334,0.20328044779332566,1.0,0.041322940455055,0,0,0,0.20318672879375155,0.0881497550443664,-0.31372331018388766,Stable
ACIDUM ALENDRONICUM,0.0,4178.999833333333,0.15650222858623536,1.0,0.024492947552458268,0,0,0,0.2500783965885294,0.09500874332851916,-0.21970821247244282,Stable
ACIDUM ALENDRONICUM+COLECALCIFEROLUM,0.5,141.3653333333333,1.3974795050469508,2.0,0.4764744835131351,29,0,1,0.0334395716800262,0.5125427752773111,0.2968039940096727,Intermittent
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,0.0,45557.340500000006,0.17251575745431033,1.0,0.029761686570034435,0,0,0,0.5923855144795462,0.3882010575337752,0.47014142039553614,Seasonal
ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,0.0,5502.985333333333,0.30433872643618026,1.0,0.09262206040879618,0,0,0,0.10338818685592599,0.1530039057578051,0.20999794829669308,Stable
ACIDUM AZELAICUM,0.0,9741.662500000002,0.27705566327690373,1.0,0.07675984055380505,0,0,0,0.12889040649222072,0.35513266780672137,0.4290868719476715,Stable
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,0.0,141.04433333333333,0.3024081142547472,1.0,0.09145066756711222,0,0,0,0.23864792229774645,0.004009248628232265,0.008665864246942418,Stable
ACIDUM BORICUM*,0.0,213188.0815,0.42916938677500727,1.0,0.18418636254483575,0,0,0,0.6401768885043584,0.7526123988307476,0.7211689939462217,Seasonal
ACIDUM BORICUM*+BENZOCAINUM+CHLORAMPHENICOLUM+HYPPOPHAE RHAMNOIDES,0.0,3760.4055000000003,0.17613655790352326,1.0,0.03102408703010121,0,0,0,0.42726901312875676,0.5469356969698564,0.3804450745691298,Stable
ACIDUM BORICUM*+DEXTROSUM*+OSARSOLUM,0.8333333333333334,33.46083333333333,2.738709344122186,6.0,0.4167548119303624,0,50,0,0.02558216275032421,0.4188102062983007,,Potential discontinued
ACIDUM BORICUM*+ZINCI SULFAS*,0.08333333333333333,647.507,0.6301961766638471,1.0909090909090908,0.28071828599158655,0,5,0,0.04584289669858954,0.5545176448914761,0.8559731512284037,Stable
ACIDUM CITRICUM+KALII HYDROCARBONATIS+SODIUM CITRAS*,0.0,2696.9956666666662,0.204814029516484,1.0,0.04194878668677918,0,0,0,0.15960011580726974,0.186455521071079,-0.13312515189796292,Stable
ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,0.2833333333333333,197.3948333333333,1.2211608424145994,1.3953488372093024,0.7853842255168263,0,15,2,0.08712104032558865,0.9048178077440708,0.867560626173905,Potential discontinued
ACIDUM CLODRONICUM,0.6833333333333333,4.035,1.6968973890639432,3.1578947368421053,0.2284959038538084,0,41,0,0.022778837541090446,0.6416853803181044,0.3951509503171793,Potential discontinued
ACIDUM CROMOGLICICUM,0.0,17525.667,0.6986456275239491,1.0,0.48810571285833254,0,0,0,0.9498526222015043,0.6548266436440235,0.9430072674055251,Seasonal
ACIDUM ETACRYNICUM,0.9,0.5645000000000001,3.463255285528513,10.0,0.2994137172741187,0,54,0,0.1017178610958489,0.23871398103817065,,Potential discontinued
ACIDUM FOLICUM+FERRI (III) HYDROXYDI POLYMALTOSUM COMPLEXUS*,0.0,2699.1209999999996,0.6850775802085551,1.0,0.4693312909044093,0,0,0,0.07195762792691762,0.3178278132385074,0.3941109476759553,Stable
ACIDUM FOLICUM+FERRI SULFAS*,0.0,13361.002166666667,0.31872526041665133,1.0,0.1015857916276622,0,0,0,0.1485916350506652,0.1379181440720888,-0.18205650826631173,Stable
ACIDUM FORMICUM*,0.0,69679.69233333334,0.38949375293549326,1.0,0.1517053835757751,0,0,0,0.14482419536786484,0.5306758579231882,0.14483658729788035,Stable
ACIDUM FORMICUM*+SPIRITUS AETHYLICUS*,0.0,9586.189,0.8836991430129713,1.0,0.7809241753618599,0,0,0,0.11484489583067481,0.8491133760874092,0.8194803946521433,Stable
ACIDUM FUSIDICUM,0.0,2626.1535000000003,0.7171045168497251,1.0,0.5142388880862777,0,0,0,0.03497947085705011,0.5405171700725959,0.7613689071893944,Stable
ACIDUM FUSIDICUM+BETAMETHASONUM,0.5166666666666667,755.0198333333334,1.5083505283185252,2.0689655172413794,0.5829753028680736,0,21,10,0.029667904624879116,0.79211894185071,0.4001524564121323,Potential discontinued
ACIDUM GADOPENTETICUM,0.8666666666666667,1.4973333333333332,5.20923919822557,7.5,2.7514897365773057,0,42,10,0.13419779271215937,0.24515690721568295,0.14712476131577426,Potential discontinued
ACIDUM GADOTERICUM,0.0,457.938,0.3582031235276407,1.0,0.1283094777049582,0,0,0,0.17662689510828766,0.00351690583788844,-0.2885420572546706,Stable
ACIDUM GADOXETICUM,0.9166666666666666,0.18583333333333335,5.870079167740468,12.0,1.9548191196283864,19,5,31,0.18387603478233916,0.009093859207633836,-0.02276399445735628,Lumpy / volatile
ACIDUM GAMMA-AMINOBUTYRICUM*,0.0,16233.48516666667,0.1235460809096607,1.0,0.015263634108136429,0,0,0,0.3108110634552276,0.1710434549388854,0.031315509442420286,Stable
ACIDUM GAMMA-AMINOBUTYRICUM*+PIRACETAMUM,0.23333333333333334,1094.5608333333332,1.5034569666334014,1.3043478260869565,1.4996268520641898,0,9,5,0.06562130586277382,0.8911141289671831,0.6279329708673058,Potential discontinued
ACIDUM GLUTAMICUM,0.0,4643.432166666667,0.30381249825622564,1.0,0.0923020340966891,0,0,0,0.1855551729804864,0.5691457526367856,0.2684597430612341,Stable
ACIDUM GLUTAMICUM+GLYCINUM+PYRIDOXINUM,0.65,15.393833333333331,2.016100005335315,2.857142857142857,0.7726307310295696,0,39,0,0.02251635167378918,0.6341243184241867,0.5081561275872727,Potential discontinued
ACIDUM GLYCYRRHIZICUM,0.0,677.249,0.3199768719143943,1.0,0.10238519856012067,0,0,0,0.14884086002385388,0.16130274200812833,-0.021563524958800588,Stable
ACIDUM GLYCYRRHIZICUM+CYSTEINUM+GLYCINUM,0.0,864.6065,0.3234197047854508,1.0,0.10460030544350815,0,0,0,0.24803826854151845,0.5086885755633406,0.14183513918172577,Stable
ACIDUM GLYCYRRHIZICUM+PHOSPHOLIPIDES*,0.6833333333333333,24.361,2.127890486921781,3.1578947368421053,0.7505073427052006,0,41,0,0.05030539657378197,0.6708078215871791,0.7712550311923742,Potential discontinued
ACIDUM HOPANTENICUM,0.0,16822.210166666668,0.24918332151686223,1.0,0.06209232772217594,0,0,0,0.18385231747598285,0.06174949807065799,-0.2020569672503906,Stable
ACIDUM IBANDRONICUM,0.0,2298.1918333333338,0.2866156311516721,1.0,0.08214852002047134,0,0,0,0.16148016589013248,0.04753164599325743,-0.27152517616521404,Stable
ACIDUM LACTICUM+ACIDUM SALICYLICUM*,0.7333333333333333,1.5251666666666668,1.9883031867747978,3.75,0.3208932166770175,0,35,9,0.23425629640825918,0.33712391104006856,0.10795661156104497,Potential discontinued
ACIDUM LACTICUM+ACIDUM SALICYLICUM*+POLIDOCANOLUM,0.6333333333333333,26.908833333333334,2.1795726563621547,2.727272727272727,1.1085302202659126,0,16,22,0.04951889443204682,0.004098078602762345,-0.14118015430279474,Potential discontinued
ACIDUM MEFENAMICUM,0.0,189887.69516666667,0.5610963244354541,1.0,0.31482908529497633,0,0,0,0.784208808861024,0.02178661105420221,0.5217125615533877,Seasonal
ACIDUM METHYLSILICICUM*,0.0,71688.5295,0.20148459892998039,1.0,0.040596043605975046,0,0,0,0.3038705740132315,0.6017167325531366,0.32478186699499284,Stable
ACIDUM MYCOPHENOLICUM,0.0,566.6880000000001,0.512876515574243,1.0,0.26304232022757673,0,0,0,0.20020747853848442,0.07162648566308993,-0.11131191222939643,Stable
ACIDUM NICOTINOYL-GAMMA-AMINOBUTYRICUM*,0.9833333333333333,0.1235,7.6811457478686105,60.0,0.0,0,59,0,0.1810004636546273,0.043316042220802764,,Potential discontinued
ACIDUM OROTICUM,0.0,8407.560166666668,0.14675094616673284,1.0,0.021535840200831324,0,0,0,0.20470732036053674,0.3105787605098195,-0.039579298688591225,Stable
ACIDUM PAMIDRONICUM,0.13333333333333333,45.148166666666675,0.781663844778623,1.1538461538461537,0.3961985840695528,0,3,5,0.0856026391154272,0.725970378569789,0.3110144408941754,Stable
ACIDUM PIPEMIDICUM,0.0,5627.293333333332,0.5182760476571491,1.0,0.2686100615751154,0,0,0,0.1688462159477554,0.07987949735364686,0.34348836640140684,Stable
ACIDUM RISEDRONICUM,0.0,850.5671666666665,0.25161185609250114,1.0,0.0633085261263135,0,0,0,0.366482095286495,0.24972678590149777,0.44391721623614394,Stable
ACIDUM RYBONUCLEINICUM*,0.0,6224.234666666667,1.1885398863052585,1.0,1.4126270613385172,0,0,0,0.3479151987292761,0.14848766165653282,0.11627712458937929,Lumpy / volatile
ACIDUM SALICYLICUM*,0.0,232471.02583333338,0.29752693320813706,1.0,0.08852227598423923,0,0,0,0.2870719756692528,0.7604827358466342,0.4126808295623338,Stable
ACIDUM SALICYLICUM*+BETAMETHASONUM,0.0,39445.63566666666,0.09851404355409621,1.0,0.009705016777378363,0,0,0,0.4700946455532862,0.21084396495807134,0.22388972036663904,Stable
ACIDUM SALICYLICUM*+CAPSICUM ANNUUM+RICINUS COMMUNIS,0.0,5270.377166666666,0.4129442920441401,1.0,0.17052298833183613,0,0,0,0.4082401309432384,3.0697653143896275e-06,0.004510456684416005,Stable
ACIDUM SALICYLICUM*+CLOTRIMAZOLUM,0.8333333333333334,5.4395,2.5823073252994866,6.0,0.2780518537158982,0,50,0,0.03266134600688386,0.4054590407278713,,Potential discontinued
