SKU,INN,ATC4,ATC5,allocated_direct_2024
138846,UMIFENOVIRUM,J05A X Other antivirals,J05A X13 Umifenovir,8031.063756097705
294510,LEVOCETIRIZINUM+MONTELUKASTUM,R03D C Leucotriene receptor antagonists,"R03D C53 Montelukast, combinations",23598.601975540718
190304,VALACYCLOVIRUM,J05A B Nucleosides and nucleotides excl. reverse transcriptase inhibitors,J05A B11 Valaciclovir,6294.195425383805
41606,DEXAMETHASONUM,H02A B Glucocorticoids,H02A B02 Dexamethasone,1427.8433842945783
498194,DULOXETINUM,N06A X Other antidepressants,N06A X21 Duloxetine,24555.03178394009
56297,LITHIUM,N05A N Lithium,N05A N01 Lithium,14381.515240729192
316969,INSULINUM DEGLUDECUM,"A10A E Insulin and analogues for injection, long-acting",A10A E06 Іnsulin degludec,84397.84111954384
3680,DICLOFENACUM,M01A B Acetic acid derivatives and related substances,M01A B05 Diclofenac,2080.2576862619994
102895,TADALAFILUM,G04B E Drugs used in erectile dysfunction,G04B E08 Tadalafil,0.0
274957,HYDROCHLOROTHIAZIDUM+RAMIPRILUM,"C09B A ACE inhibitors, and diuretics",C09B A05 Ramipril and diuretics,0.0
111006,TRIFLUSALUM,B01A C Platelet aggregation inhibitors excl. heparin,B01A C18 Triflusal,11153.754418029033
165656,MESALAZINUM,A07E C Aminosalicylic acid and similar agents,A07E C02 Mesalazine,10053.580489358952
85512,DIAZEPAMUM,N05B A Benzodiazepine derivatives,N05B A01 Diazepam,1915.862586183425
188179,DEXPANTHENOLUM,D03A X Other cicatrizants,D03A X03 Dexpanthenol,0.0
325103,AMISULPRIDUM,N05A L Benzamides,N05A L05 Amisulpride,10972.13189578443
183257,OFLOXACINUM,J01M A Fluoroquinolones,J01M A01 Ofloxacin,1950.8742366037404
63074,GABAPENTINUM,N02B F Gabapentinoids,N02B F01 Gabapentin,11014.696473688526
55081,RISPERIDONUM,N05A X Other antipsychotics,N05A X08 Risperidone,6899.318599943553
459889,BENZYDAMINUM,A01A D Other agents for local oral treatment,A01A D02 Benzydamine,8501.388915360636
138440,RAMIPRILUM,"C09A A ACE inhibitors, plain",C09A A05 Ramipril,11881.699611498028
70013,RABEPRAZOLUM,A02B C Proton pump inhibitors,A02B C04 Rabeprazole,2028.3058978169481
167494,PRAMIPEXOLUM,N04B C Dopamine agonists,N04B C05 Pramipexole,1.3885354020325973
223399,BISOPROLOLUM,"C07A B Beta blocking agents, selective",C07A B07 Bisoprolol,0.0
388127,PROGESTERONUM,G03D A Pregnen (4) derivatives,G03D A04 Progesterone,794.2952828884938
31448,UNKNOWN_SKU_31448,A11A A Multivitamins with minerals,A11A A04 Multivitamins and trace elements,169.27250187169577
110933,UNKNOWN_SKU_110933,A07E F Microbial anti-inflammatory drugs,"A07E F01** Escherichia coli, Stamm Nissle 1917",5921.441845421999
165536,MIRTAZAPINUM,N06A X Other antidepressants,N06A X11 Mirtazapine,20080.434953654236
167653,HALOPERIDOLUM,N05A D Butyrophenone derivatives,N05A D01 Haloperidol,17303.09071667426
76418,CEFUROXIMUM,J01D C Second-generation cephalosporins,J01D C02 Cefuroxime,0.0
155040,HEPARIN SODIUM,C05B A Heparins or heparinoids for topical use,C05B A03 Heparin,1180.2908880189516
347238,ZOLEDRONIC ACID,M05B A Bisphosphonates,M05B A08 Acidum zoledronicum,744.3882253423077
112258,OFLOXACINUM,J01M A Fluoroquinolones,J01M A01 Ofloxacin,248.2549740365942
423335,TORASEMIDUM,"C03C A Sulfonamides, plain",C03C A04 Torasemide,5831.937355256832
164120,AMLODIPINUM+LISINOPRILUM,C09B B ACE inhibitors and calcium channel blockers,C09B B03 Lisinopril and amlodipine,5121.174230051684
113087,SELENIUM*,A12C E Selenium,A12C E02 Sodium selenite,6806.057554421039
67465,METHYLPREDNISOLONUM,H02A B Glucocorticoids,H02A B04 Methylprednisolone,7151.754829703563
443647,BISOPROLOLUM+PERINDOPRILUM,"C09B X ACE inhibitors, other combinations",C09B X02 Perindopril and bisoprolol,31507.192359277964
3487,LACTULOSUM,A06A D Osmotically acting laxatives,A06A D11 Lactulose,8996.704446966198
78985,MESALAZINUM,A07E C Aminosalicylic acid and similar agents,A07E C02 Mesalazine,16742.39422877245
90573,INDOMETACINUM+TROXERUTINUM,C05C A Bioflavonoids,"C05C A54 Troxerutin, combinations",4492.380081840707
429234,VALERIANA OFFICINALIS*&,N05C M Other hypnotics and sedatives,N05C M09 Valerianae radix,0.0
90626,LEVETIRACETAMUM,N03A X Other antiepileptics,N03A X14 Levetiracetam,16716.897881896348
410732,CHLORHEXIDINUM,G01A X Other antiinfectives and antiseptics,G01A X10** Various preparations,0.0
124061,SILDENAFILUM,G04B E Drugs used in erectile dysfunction,G04B E03 Sildenafilum,3250.9761105885987
77496,UNKNOWN_SKU_77496,R05C A Expectorants,R05C A10 Combinations,10727.945569390284
88795,TOBRAMYCINUM,S01A A Antibiotics,S01A A12 Tobramycin,0.0
160276,FELODIPINUM,C08C A Dihydropyridine derivatives,C08C A02 Felodipine,2557.308630850902
95689,VENLAFAXINUM,N06A X Other antidepressants,N06A X16 Venlafaxine,22695.789064257293
160876,BIBROCATHOL,S01A X Other antiinfectives,S01A X05 Bibrocathol,7080.796850633338
356578,CIMICIFUGA RACEMOSA*&,G02C X Other gynecologicals,G02C X04 Cimicifugae rhizoma,15352.158724930106
62196,AZITHROMYCINUM,J01F A Macrolides,J01F A10 Azithromycin,1214.5400568433474
60013,DEXTROSUM*,B05B A Solutions for parenteral nutritions,B05B A03 Carbohydrates,1019.5527696710975
431471,SILDENAFILUM,G04B E Drugs used in erectile dysfunction,G04B E03 Sildenafilum,10743.81935079644
420985,VITAMIN C+PARACETAMOLUM+PHENIRAMINUM+PHENYLEPHRINUM,N02B E Anilides,"N02B E51 Paracetamol, combinations excl. psycholeptics",494511.64418997004
308553,DROSPIRENON+ETHINYLESTRADIOLUM,"G03A A Progestogens and estrogens, fixed combinations",G03A A12 Drospirenone and ethinylestradiol,0.0
392635,ROSUVASTATINUM,C10A A HMG CoA reductase inhibitors,C10A A07 Rosuvastatin,0.0
323997,EMPAGLIFLOZINUM,A10B K Sodium-glucose cotransporter 2 inhibitors,A10B K03 Empagliflozin,549079.0639285333
138887,ATORVASTATINUM,C10A A HMG CoA reductase inhibitors,C10A A05 Atorvastatin,18569.152427482877
137445,CHLORHEXIDINUM,D08A C Biguanides and amidines,D08A C02 Chlorhexidine,1457.1286807023678
94678,UNKNOWN_SKU_94678,-,A10X X** Others,2891.109134630905
97109,UNKNOWN_SKU_97109,R05X OTHER COLD PREPARATIONS,R05X OTHER COLD PREPARATIONS,0.0
406449,PROGESTERONUM,G03D A Pregnen (4) derivatives,G03D A04 Progesterone,5257.808614992536
188041,SILDENAFILUM,G04B E Drugs used in erectile dysfunction,G04B E03 Sildenafilum,4619.095495226583
34489,HYALURONIC ACID*,M09A X Other drugs for disorders of the musculo-skeletal system,M09A X01 Hyaluronic acid,2370.921243618046
114702,NICOTINUM*,N07B A Drugs used in nicotine dependence,N07B A01 Nicotine,32968.07185162148
289683,ROSUVASTATINUM,C10A A HMG CoA reductase inhibitors,C10A A07 Rosuvastatin,19042.500631983814
190981,PROGESTERONUM,G03D A Pregnen (4) derivatives,G03D A04 Progesterone,0.0
389550,ETODOLACUM,M01A B Acetic acid derivatives and related substances,M01A B08 Etodolac,7480.850419500276
95227,QUETIAPINUM,"N05A H Diazepines, oxazepines, thiazepines and oxepines",N05A H04 Quetiapine,32909.076844937095
48428,FLUTICASONUM,R03B A Glucocorticoids,R03B A05 Fluticasone,3158.5671156724475
27652,BETACAROTENUM+MENADIONUM+RETINOLUM+TOCOPHEROLI ACETAS*,D03A X Other cicatrizants,"D03A X50** Other preparations, incl. combinations",3244.4318893077943
129305,OMEPRAZOLUM,A02B C Proton pump inhibitors,A02B C01 Omeprazole,23.090368489524142
149218,LISINOPRILUM,"C09A A ACE inhibitors, plain",C09A A03 Lisinopril,0.0
7653,ISOSORBIDI MONONITRAS,C01D A Organic nitrates,C01D A14 Isosorbide mononitrate,2320.1091465717786
4017,GONADOTROPINUM CHORIONICUM,G03G A Gonadotropins,G03G A01 Chorionic gonadotropin,0.0
40676,VALERIANA OFFICINALIS*&,N05C M Other hypnotics and sedatives,N05C M09 Valerianae radix,1235.1566945386958
153591,DOXYLAMINUM,R06A A Aminoalkyl ethers,R06A A09 Doxylamine,60274.37271968892
297638,FLUTICASONUM+SALMETEROLUM,"R03A K Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",R03A K06 Salmeterol and fluticasone,6145.475953851673
450115,ASCORBIC ACID,"A11G A Ascorbic acid (Vit. C), plain",A11G A01 Ascorbic acid (vit. C),400.3489470900105
356760,SILDENAFILUM,G04B E Drugs used in erectile dysfunction,G04B E03 Sildenafilum,13063.334079526434
298573,ACIDUM SALICYLICUM*+MOMETASONUM,"D07X C Corticosteroids, potent, other combinations",D07X C03 Mometasone,0.0
198170,LEVOCETIRIZINUM,R06A E Piperazine derivatives,R06A E09 Levocetirizine,8721.473487969462
105993,LEVOCETIRIZINUM,R06A E Piperazine derivatives,R06A E09 Levocetirizine,0.0
462580,AMLODIPINUM,C08C A Dihydropyridine derivatives,C08C A01 Amlodipine,6599.54253775283
163569,METHOTREXATUM,L04A X Other immunosuppressants,L04A X03 Methotrexate (oral formulations only and prefilled syringe/pen),22006.979526708747
