ATC4,sales_2019,sales_2020,sales_2021,sales_2022,sales_2023,contribution_2023,YoY
-,484814.92000000004,414945.55,383617.32,250652.4,257279.58,0.00030311823930226453,0.026439722899122442
A01A B Antiinfectives and antiseptics for local oral treatment,2456952.25,2347332.62,1831294.2899999998,1294409.05,1321935.22,0.0015574600843100402,0.02126543382866486
A01A D Other agents for local oral treatment,5006605.58,4752738.609999999,5066652.86,3605050.57,4093407.57,0.004822716576904242,0.13546467393937278
A02A B Aluminium compounds,978239.75,931609.25,717150.02,531138.0800000001,650038.65,0.0007658539051813634,0.22385999889143693
"A02A D Combinations and complexes of aluminium, calcium and magnesium compounds",1627477.83,1475547.97,1486924.9000000001,1316622.39,1325931.85,0.0015621687807745735,0.007070713722254318
A02A F Antacids with antiflatulents,136706.77000000002,116383.06,133862.93,126210.41999999998,120111.47,0.0001415113368360084,-0.048323664559550505
"A02A X Antacids, other combinations",21.369999999999997,0.0,0.0,0.0,0.0,0.0,
A02B A H2-receptor antagonists,10310743.04,9242801.700000001,8120083.5600000005,7145838.74,7032031.710000001,0.008284905745931694,-0.015926336171420474
A02B B Prostaglandins,3.01,3.52,4192.7699999999995,30713.67,45334.11,5.341113975518455e-05,0.47602386819940445
A02B C Proton pump inhibitors,12484746.200000001,13115683.4,14802489.790000001,11469889.73,12685820.040000001,0.014946011007287027,0.10601063642483699
A02B D Combinations for eradication of Helicobacter pylori,88904.08,81300.98999999999,87860.07,63230.94000000001,71493.59,8.423136854544766e-05,0.13067416046637903
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,1397083.8800000001,1321411.02,1442955.67,1233921.49,1375765.28,0.0016208808696235705,0.11495365884258968
A02X OTHER DRUGS FOR ACID RELATED DISORDERS,1725348.52,1492854.57,1265866.99,971251.62,969208.62,0.0011418893423682421,-0.002103471394982126
"A03A A Synthethic anthicholinergics, esters with tertiary amino group",1034976.3600000001,1023768.0700000001,1190388.93,1013830.99,1235090.29,0.0014551422778446828,0.21824081349101387
"A03A B Synthetic anticholinergics, quaternary ammonium compounds",429944.92000000004,196229.06,71303.11,77468.65000000001,89240.69,0.00010514041117028877,0.1519587600919854
A03A D Papaverine and derivatives,10230268.610000001,9142796.66,8778688.96,7651791.28,7587431.5600000005,0.008939259366381251,-0.008411065807325535
A03A X Other drugs for functional gastrointestinal disorders,2662479.49,2663089.11,2666313.33,2066793.24,2262930.23,0.002666109090280187,0.09489918304551836
"A03B A Belladonna alkaloids, tertiary amines",47422.950000000004,36577.19,35510.119999999995,36325.72,18241.97,2.149208199035746e-05,-0.49782220421233214
"A03B B Belladonna alkaloids semisynthetic, quaternary ammonium compounds",67059.37,56593.780000000006,90273.99000000002,96576.09000000001,70406.96,8.295113724075953e-05,-0.2709690359176894
A03D A Synthetic anticholinergic agents in combination with analgesics,8401640.45,8202044.62,8129238.79,6820836.659999999,7835907.65,0.00923200562673161,0.14881913181600814
A03D B Belladonna and derivatives in combinations with analgesics,324610.68000000005,277716.8,260718.94999999995,205088.18,208832.86,0.0002460399260277722,0.018258877717867383
A03D C Other antispasmodics in combination with analgesics,29.28,56.73,16.89,0.0,0.0,0.0,
A03E D Antispasmodics in combination with other drugs,966442.81,952188.3600000001,1017189.85,715527.63,685918.5900000001,0.0008081264564622342,-0.04138070810766581
A03F A Propulsives,2070749.26,1852301.65,2075730.09,1576554.66,1769960.81,0.0020853089248715736,0.12267646337108307
A04A A Serotonin (5HT3) antagonists,310761.81,290042.49,378987.54,317135.86,458901.35,0.0005406622990656011,0.447018164391753
A04A D Other antiemetics,1100296.3199999998,1082480.48,972747.3700000001,775619.14,766280.3200000001,0.0009028059724381386,-0.012040471306574485
A05A A Bile acids and derivatives,747351.75,772999.38,935891.5599999999,715037.0900000001,895350.16,0.0010548717626878933,0.2521730306325787
A05A X Other drugs for bile therapy,4662559.45,3903537.1999999997,4072703.95,3207521.73,3228962.3,0.003804255927148942,0.006684466016072754
A05B A Liver therapy,7765545.71,7012730.56,7074392.66,5083958.21,5400991.07,0.006363267942312615,0.06235945436695478
A05C DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,643.45,0.0,0.0,0.0,0.0,0.0,
"A06A A Softeners, emollients",403740.57,428033.88,422746.39,352809.9,351182.93,0.00041375204131867134,-0.004611463567207208
A06A B Contact laxatives,8993196.899999999,7978904.029999999,7458089.45,5755226.850000001,6197728.300000001,0.007301957232555407,0.07688688239977903
A06A C Bulk-forming laxatives,95004.37,87615.01999999999,90917.15,62949.35,70348.27,8.288199063586904e-05,0.11753767115943226
A06A D Osmotically acting laxatives,2128527.97,2072605.26,2231434.23,1669839.95,1908338.06,0.0022483403958475806,0.14282692781424955
A06A G Enemas,705332.12,609184.09,724011.99,530519.6799999999,603440.92,0.0007109540103934353,0.13745246924675847
