month,sales,YoY
2022-04-01,53974145.13,-0.38810471187646445
2023-02-01,67436611.52,-0.38131663889581613
2022-10-01,68723421.67,-0.3574462112990179
2022-06-01,52358111.79000001,-0.3454633155418728
2022-05-01,55511908.22,-0.3301034480916769
2022-09-01,66202845.60999999,-0.2993403579791546
2023-01-01,70047537.00999999,-0.29635484272195867
2022-11-01,67125174.76,-0.2839599719909379
2022-07-01,57772440.33999999,-0.27758930986269326
2022-08-01,61459476.91,-0.27496028526360106
2020-05-01,63461480.89,-0.25991208153354173
2020-04-01,66296734.83,-0.252259338203237
2021-02-01,82285221.63,-0.20543711470486548
2022-03-01,79022049.61,-0.20136665641369123
2021-01-01,85494258.09,-0.1976474177906492
2020-06-01,66097418.730000004,-0.18752723228361245
2022-12-01,74395789.83,-0.17649884054005593
2021-03-01,98946594.50999999,-0.1669962792729084
2020-07-01,72324357.04,-0.1381536760065034
2020-12-01,94963199.58000001,-0.10505291833599639
2020-08-01,81830110.18,-0.059281089602094994
2021-11-01,93745003.25999999,-0.05221761144475945
2021-12-01,90340844.06,-0.04867522935667301
2020-09-01,89684189.07000001,-0.03006433970778777
2023-03-01,79634106.16,0.007745389458014618
2020-11-01,98909838.79,0.007840511245899906
2020-10-01,100429789.94,0.02929805407813424
2023-12-01,76741921.66,0.031535814531455264
2021-08-01,84767048.84,0.035890684413593776
2021-09-01,94486454.82000001,0.0535464032155295
2020-01-01,106554474.91000003,0.05903870841632486
2021-10-01,106953570.08,0.06495861580411066
2023-11-01,72138049.44999999,0.07467950300201176
2023-09-01,71849045.13,0.08528635692280795
2023-10-01,74710799.7,0.08712281613029305
2021-07-01,79971740.63,0.10573731869846403
2023-08-01,68449762.31,0.11373812065202626
2023-07-01,64408687.169999994,0.11486872963898764
2020-02-01,103560364.00999999,0.14648275341649675
2022-01-01,99549519.08000001,0.16440005801563884
2021-06-01,79992631.47999999,0.21022322833453244
2023-05-01,68805407.47999999,0.23947112765996703
2020-03-01,118782896.22,0.24508606535571897
2023-04-01,68050566.16,0.26079933264521515
2023-06-01,66503814.11,0.27017212493712783
2021-05-01,82866388.94,0.30577458606166474
2022-02-01,109000202.3,0.324663167222486
2021-04-01,88208139.82,0.33050503989654767
