ATC4,INN,sales_2022,sales_2023,peer_share_2023,peer_share_2022
"A02A D Combinations and complexes of aluminium, calcium and magnesium compounds",MAGALDRATUM,7684.899999999999,9755.69,0.007357610423190302,0.005836829191397845
A02A F Antacids with antiflatulents,ALUMINII HYDROXYDUM*+MAGNESII HYDROXIDE*+SIMETICONUM,124231.17000000001,120052.77,0.9995112873066992,0.9843178558474015
A02A F Antacids with antiflatulents,DIMETICONUM+GUAIAZULENUM,1979.25,58.699999999999996,0.000488712693300648,0.01568214415259849
"A02A X Antacids, other combinations",CALCII CARBONAS*+MAGNESII CARBONAS,0.0,0.0,nan,nan
A02B A H2-receptor antagonists,FAMOTIDINUM,855581.9999999999,755913.5900000002,0.10749575957188055,0.1197315012457166
A02B A H2-receptor antagonists,RANITIDINUM,6290256.739999999,6276118.119999999,0.8925042404281193,0.8802684987542834
A02B B Prostaglandins,MISOPROSTOL,30713.67,45334.11,1.0,1.0
A02B C Proton pump inhibitors,DEXLANSOPRAZOLUM,48358.19,41484.85,0.003270174877870962,0.00421609894587888
A02B C Proton pump inhibitors,DOMPERIDONUM+OMEPRAZOLUM,151183.80000000002,146534.06999999998,0.011551012826759285,0.013180928810899736
A02B C Proton pump inhibitors,ESOMEPRAZOLUM,844594.27,1136076.9500000002,0.08955486885497393,0.07363577940866567
A02B C Proton pump inhibitors,LANSOPRAZOLUM,53165.909999999996,59185.66,0.0046654973674055055,0.004635259034874783
A02B C Proton pump inhibitors,OMEPRAZOLUM,6198239.98,6412586.57,0.5054924750453894,0.5403922902404398
A02B C Proton pump inhibitors,PANTOPRAZOLUM,3829464.0900000003,4421853.76,0.34856664733200804,0.3338710467271423
A02B C Proton pump inhibitors,RABEPRAZOLUM,344883.49,468098.18,0.03689932369559296,0.030068596832098744
A02B D Combinations for eradication of Helicobacter pylori,AMOXICILLINUM+CLARITHROMYCINUM+OMEPRAZOLUM,35859.490000000005,32323.96,0.45212388970815426,0.5671193564416408
A02B D Combinations for eradication of Helicobacter pylori,CLARITHROMYCINUM+LANSOPRAZOLUM+TINIDAZOLUM,27371.450000000004,39169.630000000005,0.5478761102918458,0.4328806435583593
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,557920.08,596321.01,0.43344676498886503,0.45215200847178694
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,68483.37,47409.77999999999,0.034460660324266944,0.05550058942566921
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,ACORUS CALAMUS*&+BISMUTHI SUBNITRAS*+FRANGULA ALNUS*&+MAGNESII CARBONAS+NATRII HYDROCARBONAS*,39001.39,33025.909999999996,0.024005482970176423,0.0316076754607783
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,BISMUTHI SUBCITRAS*,318346.67000000004,348937.62,0.2536316514689192,0.2579958875665583
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,DIMETICONUM+GUAIAZULENUM,2.26,0.0,0.0,1.831558991650271e-06
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,PIRENZEPINUM,0.0,0.0,0.0,0.0
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,REBAMIPIDUM,211288.45,304009.47000000003,0.2209748090168405,0.17123330107493306
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,SUCRALFATUM,0.0,0.0,0.0,0.0
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,UNKNOWN_SKU_103259,0.0,0.0,0.0,0.0
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,UNKNOWN_SKU_116937,158.05999999999997,230.65000000000003,0.00016765214484842943,0.00012809567000895655
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,UNKNOWN_SKU_119950,33.93,48.239999999999995,3.506412082154014e-05,2.7497697604731723e-05
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,UNKNOWN_SKU_12976,38687.28,45782.6,0.0332779149652621,0.03135311307366889
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,UNKNOWN_SKU_82158,0.0,0.0,0.0,0.0
A02X OTHER DRUGS FOR ACID RELATED DISORDERS,ACORUS+ALTHAEA+SAMBUCUS+URTICA+MENTHA+CALENDULA+ARTEMISIA+MATRICARIA+GLYCYRRHIZA+SOPHORA+ACHILLEA+HELICHRY+SALVIA+ROSA*&,133229.44,135806.41999999998,0.14012093701766704,0.1371729397990605
A02X OTHER DRUGS FOR ACID RELATED DISORDERS,ALNUS INCANA/GLUTINOSA*&,40117.0,42156.70999999999,0.04349601224140989,0.041304435610619625
A02X OTHER DRUGS FOR ACID RELATED DISORDERS,CRATAEGUS+VALERIANA+QUERCUS+HYPERICUM+MATRICARIA+THYMUS+ACHILLEA*&,1369.8799999999999,0.0,0.0,0.0014104275059021265
A02X OTHER DRUGS FOR ACID RELATED DISORDERS,DALARGINUM*,28323.91,21920.959999999995,0.02261738035305546,0.029162278256997912
A02X OTHER DRUGS FOR ACID RELATED DISORDERS,HYPPOPHAE RHAMNOIDES*&,272616.48000000004,227953.21000000002,0.2351951946114553,0.28068574032339844
A02X OTHER DRUGS FOR ACID RELATED DISORDERS,LINUM USITATISSIMUM*&,435925.2900000001,468307.3999999999,0.48318534352284226,0.4488283787881868
A02X OTHER DRUGS FOR ACID RELATED DISORDERS,PLANTAGO (SEMENI PSYLLIUM),10634.320000000002,13173.819999999998,0.013592347125431054,0.0109490885585344
A02X OTHER DRUGS FOR ACID RELATED DISORDERS,UNKNOWN_SKU_428846,49035.299999999996,59890.10000000001,0.061792785128138884,0.0504867111573003
"A03A A Synthethic anthicholinergics, esters with tertiary amino group",MEBEVERINUM,778573.9900000001,931382.4299999999,0.7541006819833391,0.7679524473798143
"A03A A Synthethic anthicholinergics, esters with tertiary amino group",TRIMEBUTINUM,235257.0,303707.86000000004,0.24589931801666104,0.23204755262018573
"A03A B Synthetic anticholinergics, quaternary ammonium compounds",OTILONII BROMIDUM,77448.02,89239.84,0.9999904751969084,0.9997336987284535
"A03A B Synthetic anticholinergics, quaternary ammonium compounds",PRIFINII BROMIDUM,20.630000000000003,0.85,9.524803091504558e-06,0.0002663012715466192
A03A D Papaverine and derivatives,DROTAVERINUM,7214206.800000001,7204326.92,0.9495079939805086,0.9428128050037456
A03A D Papaverine and derivatives,PAPAVERINUM*,437584.48,383104.64,0.05049200601949153,0.05718719499625453
A03A X Other drugs for functional gastrointestinal disorders,ALVERINUM+SIMETICONUM,98178.56000000001,126762.32999999999,0.056016897171416544,0.047502845519274105
A03A X Other drugs for functional gastrointestinal disorders,ANETHUM GRAVEOLENS*&,146595.89,220424.93,0.09740686083812668,0.0709291510939914
A03A X Other drugs for functional gastrointestinal disorders,CARUM CARVI*&,24065.000000000004,28326.370000000003,0.012517562240529176,0.011643641721994408
A03A X Other drugs for functional gastrointestinal disorders,DIMETICONUM,19905.010000000002,22432.690000000002,0.009913116057493298,0.009630866607634155
A03A X Other drugs for functional gastrointestinal disorders,FOENICULUM VULGARE MILL.*&,0.0,0.0,0.0,0.0
A03A X Other drugs for functional gastrointestinal disorders,PHLOROGLUCINOLUM,5150.83,8271.71,0.0036553093375751135,0.0024921844625348205
A03A X Other drugs for functional gastrointestinal disorders,PHLOROGLUCINOLUM+SIMETICONUM,0.0,0.0,0.0,0.0
