SKU,missing_rate,negative_count,zero_rate,unknown_inn
111615,0.0,0,0.75,True
102118,0.0,0,0.21666666666666667,False
419910,0.0,0,0.21666666666666667,False
295288,0.0,0,0.08333333333333333,False
447002,0.0,0,0.03333333333333333,False
426961,0.0,0,0.03333333333333333,False
136632,0.0,0,0.23333333333333334,False
83277,0.0,0,0.9666666666666667,False
156475,0.0,0,0.6166666666666667,False
355119,0.0,0,0.4666666666666667,False
188093,0.0,0,0.8,False
412521,0.0,0,0.05,False
183766,0.0,0,0.9833333333333333,False
95414,0.0,0,0.9333333333333333,False
189171,0.0,0,0.75,False
92494,0.0,0,0.2833333333333333,False
170781,0.0,0,0.0,False
265228,0.0,0,0.0,False
316951,0.0,0,0.11666666666666667,False
88289,0.0,0,0.85,False
295287,0.0,0,0.08333333333333333,False
174362,0.0,0,0.05,False
412555,0.0,0,0.0,False
159567,0.0,0,0.8166666666666667,False
75118,0.0,0,0.6833333333333333,False
231103,0.0,0,0.5166666666666667,False
149425,0.0,0,0.8166666666666667,False
137257,0.0,0,0.95,False
384032,0.0,0,0.9333333333333333,False
435144,0.0,0,0.8166666666666667,False
123875,0.0,0,0.6666666666666666,False
138747,0.0,0,0.9833333333333333,False
140727,0.0,0,0.0,False
66678,0.0,0,0.11666666666666667,False
188001,0.0,0,0.48333333333333334,False
185929,0.0,0,0.95,False
10705,0.0,0,0.016666666666666666,True
108746,0.0,0,0.9833333333333333,False
149426,0.0,0,0.8666666666666667,False
378920,0.0,0,0.6166666666666667,True
184858,0.0,0,0.45,False
184856,0.0,0,0.31666666666666665,False
161396,0.0,0,0.95,False
330895,0.0,0,0.016666666666666666,False
406440,0.0,0,0.7333333333333333,True
139412,0.0,0,0.016666666666666666,False
147057,0.0,0,0.08333333333333333,True
132997,0.0,0,0.85,False
386946,0.0,0,0.48333333333333334,False
105312,0.0,0,0.7333333333333333,False
554599,0.0,0,0.8166666666666667,True
554602,0.0,0,0.5,True
81722,0.0,0,0.18333333333333332,False
184855,0.0,0,0.3,False
177911,0.0,0,0.8333333333333334,False
30646,0.0,0,0.08333333333333333,False
326369,0.0,0,0.016666666666666666,False
47077,0.0,0,0.9833333333333333,False
39250,0.0,0,0.43333333333333335,False
105640,0.0,0,0.2833333333333333,False
134339,0.0,0,0.1,False
86272,0.0,0,0.9333333333333333,False
189169,0.0,0,0.3333333333333333,False
173999,0.0,0,0.016666666666666666,False
37688,0.0,0,0.08333333333333333,False
37686,0.0,0,0.5833333333333334,False
5438,0.0,0,0.6166666666666667,True
121394,0.0,0,0.15,False
74519,0.0,0,0.3,False
9176,0.0,0,0.7333333333333333,False
91723,0.0,0,0.16666666666666666,False
324139,0.0,0,0.1,False
502464,0.0,0,0.7,False
118088,0.0,0,0.6833333333333333,False
188966,0.0,0,0.03333333333333333,False
401846,0.0,0,0.55,False
307571,0.0,0,0.8833333333333333,False
438609,0.0,0,0.15,False
138891,0.0,0,0.11666666666666667,False
443814,0.0,0,0.8333333333333334,False
42547,0.0,0,0.8,False
