INN,sales_2019,sales_2022,sales_2023,known_inn,YoY,CAGR,portfolio_share_2023,sku_count,brand_count,strength_breadth,form_breadth,pack_breadth,zero_rate,mean_demand,CV,ADI,CV2_positive,leading_zeros,trailing_zeros,internal_zero_months,seasonality_strength,trend_strength,lag12_autocorrelation,segment,market_level,market,market_growth,peer_share_2023,share_change_3m,share_change_6m,share_change_12m,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,selected_model,opportunity_probability,predicted_share_change_6m,holdout_WAPE,holdout_bias,relative_growth,cluster,PC1,PC2,archetype,action,reason,supply_watch
ACETYLCYSTEINUM+AMBROXOLUM,912432.67,1686270.1,1378227.52,True,-0.1826768914422428,0.1086131420738336,0.0016237817988521,6,2,0,2,3,0.0,125054.0635,0.713534341179532,1.0,0.5091312560425088,0,0,0,0.6709384432778155,0.0822893335751019,0.3499608795978056,Seasonal,ATC4,R05C B Mucolytics,-0.0488262999090003,0.1426087634222179,0.0081494299650876,-0.0119868316531151,-0.0233546159921639,1378227.52,1223123.53241868,837473.1407468775,1458341.885060068,-0.1125387393086738,Damped ETS,0.2923191730851295,0.0,0.1908946437892482,0.0649134648592212,-0.1338505915332425,3.0,1.5157575476520968,-0.5681832070217194,Emerging / Mixed,Defend,已知INN规模位于前25%，但同类份额下降,False
ACETYLCYSTEINUM+TUAMINOHEPTANUM,80651.29,41190.45,42510.42,True,0.0320455348266404,-0.147938348864781,5.008436216508039e-05,1,1,0,1,1,0.0,5314.625333333334,0.6324696048108499,1.0,0.4000178010095926,0,0,0,0.3195653075280548,0.209858301162781,0.0514059575365904,Stable,ATC4,"R01A B Sympathomimetics, combinations excl. corticosteroids",0.1845881435947511,0.0143375126336909,0.0097352312117118,0.0117795180638054,-0.0021191715932924,42510.42,73737.14670488075,57016.37704791849,85370.44781708757,0.7345664123026956,Damped ETS,0.2719472957705718,0.0,0.8546088877250114,-0.7211692433562824,-0.15254260876811068,3.0,-0.26645100509184,-0.520766909472768,Emerging / Mixed,Monitor,常规跟踪销量与生命周期信号,False
ACHILLEA MILLEFOLIUM*&,143145.33000000002,80891.56,89325.4,True,0.104261062587988,-0.1112094130828348,0.0001052402136732,4,1,0,1,1,0.0,9377.845333333333,0.3029957613021956,1.0,0.0918064313670971,0,0,0,0.6495294481800791,0.6987471172561569,0.7460594597895286,Seasonal,ATC4,B02B X Other systemic hemostatics,-0.0361230404611047,0.171463354524567,0.01797860052631,-0.0218538244479581,0.0217980421896855,89325.4,73478.32356975166,38343.65687118653,97922.90151483708,-0.1774084015324681,Damped ETS,0.242851290481396,0.0,0.2462491905132462,-0.2436039826336043,0.14038410304909268,3.0,0.5804741887961101,-0.643709245892732,Emerging / Mixed,Monitor,常规跟踪销量与生命周期信号,False
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,93555.52000000002,60806.34,66555.99,True,0.0945567518123933,-0.0816051648116136,7.841405254089394e-05,2,1,0,1,0,0.0,6465.369666666667,0.1879056407141983,1.0,0.0353085298122133,0,0,0,0.1600224613576609,0.5813481557848732,0.3108574821403146,Stable,ATC4,D03A X Other cicatrizants,-0.028140482141757,0.0092536279973526,-0.0011931896515009,-0.0014426162644231,0.001037309904156,66555.99,55934.54009816588,29755.843720169996,74148.09509223617,-0.1595866863648805,Damped ETS,0.0655910793930925,0.0,0.1619564434909193,-0.1288928517745344,0.1226972339541503,3.0,-0.1009840113534536,-0.6533970019346187,Emerging / Mixed,Market-led Growth,销量增长且同类份额变化不超过0.2个百分点,False
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,1699.85,572.96,965.88,True,0.6857721306897513,-0.1317832834070946,1.1379676730554024e-06,1,1,0,1,1,0.0,82.438,0.5215068079800032,1.0,0.2719693507694919,0,0,0,0.075667400993004,0.2333110972678834,0.2051546953207657,Stable,ATC4,D01A C Imidazole and triazole derivatives,0.0832397592894187,0.0004015469243134,2.2570601646668164e-05,0.0001807224765276,0.0001435217821735,965.88,1286.621200554195,0.0,2504.343658601597,0.3320714794324295,Damped ETS,0.0318498550692936,0.0,0.5452935829767844,-0.5317320850038384,0.6025323714003326,3.0,-0.8745650130237564,-0.4353184629053166,Emerging / Mixed,Market-led Growth,销量增长且同类份额变化不超过0.2个百分点,False
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,126.3,0.0,0.0,True,,-1.0,0.0,2,1,0,1,1,0.7666666666666667,2.1645,2.699616386531424,4.285714285714286,0.9338500147000957,0,42,4,0.0685108014958182,0.4624672395952748,0.3928183612560585,Potential discontinued,ATC4,A16A X Various alimentary tract and metabolism products,0.04642045771391,0.0,0.0,0.0,0.0,0.0,14.63184460181094,8.36683005514169,15.8925834700424,,Damped ETS,0.010368860477217,0.0,,,,1.0,-3.312081965524076,-0.7896006798952593,Niche / Volatile,Monitor,常规跟踪销量与生命周期信号,False
ACHILLEA MILLEFOLIUM+CALENDULA+MATRICARIA CHAMOMILLA+MENTHA PIPERITA+TANACETUM VULG.,22825.88,7780.16,6411.19,True,-0.1759565355982396,-0.2720060343096202,7.553450703830771e-06,1,1,0,1,1,0.0,1228.4126666666666,0.5572655324825304,1.0,0.3105448736930382,0,0,0,0.4528507850453575,0.8585201479166342,0.8542464424166193,Stable,ATC4,A05A X Other drugs for bile therapy,0.0066844660160727,0.001985526433678,-2.700279630919386e-05,-9.235404442832928e-05,-0.0004400720984322,6411.19,3236.077994013518,0.0,11318.914418630366,-0.4952453454017869,Damped ETS,0.0322179520186819,0.0,0.7317796686587423,-0.6483674858522392,-0.1826410016143123,3.0,-0.08307317911217593,-0.9286721848355385,Emerging / Mixed,At Risk,同类份额与预测销量同时下降，核查原因,False
ACHILLEA MILLEFOLIUM+CORIANDRUM SATIVUM+HELICHRYSUM ARENARIUM+MENTHA PIPERITA,74825.1,63602.27,56597.56,True,-0.1101330188372207,-0.0674167719650858,6.668136171554802e-05,2,1,0,1,1,0.0,5291.769000000001,0.3156053425412812,1.0,0.0996067322405994,0,0,0,0.3823115649049035,0.1685330836568792,0.0475604334931583,Stable,ATC4,A05A X Other drugs for bile therapy,0.0066844660160727,0.0175280956361738,0.0017592411564185,-0.0059406110220789,-0.002301004633086,56597.56,40310.70237362778,18048.98950638014,55799.05693931288,-0.2877660737737143,Damped ETS,0.1251058659612058,0.0,0.546764650343877,0.5429054066326082,-0.1168174848532934,3.0,0.17122550399951517,-0.7911884801528802,Emerging / Mixed,At Risk,同类份额与预测销量同时下降，核查原因,False
ACICLOVIRUM,3466419.6,2587819.0400000005,2839803.52,True,0.0973733001052499,-0.0486248785686487,0.0033457620031359,40,10,4,4,7,0.0,253876.78916666663,0.181895301927071,1.0,0.0330859008631403,0,0,0,0.665983198061681,0.4269930821293398,0.5615520828833479,Seasonal,,,,,,,,2839803.52,2861601.0430969456,2066978.004544528,3346262.607393394,0.007675715218828,Damped ETS,,,0.1401618164408214,-0.1246257844378823,,4.0,5.187092109051172,1.9222464631252059,Mature Leaders,Monitor,跨多个ATC3或不足3个同类INN，竞争份额不适用,False
ACICLOVIRUM+HYDROCORTISONUM,27104.94,30186.48,4557.74,True,-0.8490138631599312,-0.3596384102039786,5.36977759368817e-06,1,1,0,1,1,0.05,1901.8573333333331,0.6945871950969431,1.0526315789473684,0.4083288030130068,0,1,2,0.0500917671574211,0.3876624639773869,-0.3704808794675868,Stable,ATC4,D06B B Antivirals,0.004900010900757,0.0029194305476405,-2.8675296386551185e-05,-0.0059820806088572,-0.0165110671824626,4557.74,0.0,0.0,1247.260361369035,-1.0,Damped ETS,0.1278073430626652,0.0,16.248483617052322,16.248483617052322,-0.8539138740606882,3.0,-0.652234799474171,-1.2737006622134515,Emerging / Mixed,At Risk,同类份额与预测销量同时下降，核查原因,False
