INN,sales_2022,sales_2023,share_2022,share_2023,forecast_2024_allocated,share_change,market_effect,share_effect,interaction
NAPHAZOLINUM,8030597.92,8770060.66,0.2376146442874063,0.23187447731785957,8272895.9756921735,-0.0057401669695467394,956569.9141218148,-193998.87184704933,-23108.302274765232
OXYMETAZOLINUM,9740107.47,10987121.13,0.28819674386152794,0.2904920579245755,11551330.6335201,0.00229531406304756,1160199.260245761,77574.109103146,9240.290651094216
PHENYLEPHRINUM,57688.45999999999,86644.21,0.001706924321070761,0.002290814360954359,84541.9922216166,0.0005838900398835978,6871.598575566555,19733.57388750158,2350.5775369318794
TRAMAZOLINUM,360593.21,417395.37,0.010669470465357829,0.011035651520071082,410902.0112164873,0.00036618105471325317,42952.295627149215,12375.722149375593,1474.1422234751424
XYLOMETAZOLINUM,15607742.7,17561227.92,0.461812217064637,0.4643069988765394,17296280.731171116,0.0024947818119024356,1859126.4614297089,84315.46670702979,10043.291863264425
