ATC2,sales_2019,sales_2020,sales_2021,sales_2022,sales_2023,contribution_2023,YoY
A01 STOMATOLOGICAL PREPARATIONS,7463557.83,7100071.2299999995,6897947.15,4899459.62,5415342.79,0.0063801766612142825,0.10529389157410796
A02 DRUGS FOR ACID RELATED DISORDERS,28749274.45,27777595.48,28061386.7,22888817.08,24275735.32,0.028600863496303107,0.06059370543932019
A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,26235624.18,24403362.03,24315373.009999998,20260793.099999998,21763961.61,0.025641575299000716,0.0741910004500268
A04 ANTIEMETICS AND ANTINAUSEANTS,1411058.13,1372522.97,1351734.9100000001,1092755.0,1225181.6700000002,0.00144346827150374,0.12118605725894649
A05 BILE AND LIVER THERAPY,13176100.360000001,11689267.14,12082988.17,9006517.03,9525303.53,0.011222395632149449,0.05760123455848287
A06 DRUG FOR CONSTIPATION,13143093.379999999,12018952.65,11783304.08,8849883.35,9512808.49,0.011207674391836436,0.07490778282405275
"A07 ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",34292007.18,28266127.79,27384342.93,24279702.87,22251313.91,0.026215757560554116,-0.08354257755379202
"A08 ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",23435.489999999998,18902.79,13966.46,9625.079999999998,25231.37,2.9726760474282406e-05,1.6214192505412948
"A09 REPLACEMENT THERAPY DRUGS USED IN DIGESTION DISORDERS, INCLUDING ENZYMES",14098324.27,12632916.64,13127003.34,10899204.7,11290275.27,0.013301826600775309,0.03588065191582279
A10 DRUGS USED IN DIABETS,16134781.24,17368404.9,18334822.87,15537509.19,15481256.12,0.018239500769092545,-0.0036204689768554177
A11 VITAMINS,31369227.78,37624404.86,34581987.86,23785353.080000002,24434046.3,0.0287873802246024,0.02727280178764535
A12 MINERAL SUPPLEMENTS,8007534.149999999,7294994.96,7361678.8,5538507.590000001,5725510.03,0.006745605381511645,0.03376404870106886
A13 TONICS,1372140.32,1270186.03,1126815.05,925150.4600000001,844640.53,0.0009951273641574335,-0.08702360694929567
A14 ANABOLIC AGENTS FOR SYSTEMIC USE,651350.15,605850.43,579155.12,417791.68999999994,494553.6,0.0005826665935656317,0.18373249597185626
A15 APPETITE STIMULANTS,570456.6599999999,544778.52,520675.27,378859.34,426904.79,0.0005029650168680428,0.12681606318587768
A16 OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,9330742.72,7922207.96,7582412.569999999,4882287.1,5261809.46,0.006199288801152425,0.07773454371415411
B01 ANTITHROMBOTIC AGENTS,13044571.48,15933097.73,21702571.48,16800309.72,16093527.65,0.018960858710319377,-0.042069585726661196
B02 ANTIHEMORRHAGICS,2006302.52,1731234.66,1624402.81,1133756.63,1064178.8699999999,0.00125378013045992,-0.06136921995331579
B03 ANTIANEMIC PREPARATIONS,2696074.03,2489083.37,2748202.03,2140984.24,2640386.65,0.0031108156831770504,0.23325833075725932
B05 BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,49365003.91,40239904.370000005,40946804.51,23648683.75,24332353.39,0.028667569022218117,0.02890941615302367
B06 OTHER HEMATOLOGICAL AGENTS,63370.810000000005,93944.97,187617.19,136635.13999999998,149795.67,0.0001764842734332163,0.09631878007370598
C01 CARDIAC THERAPY,54770186.51,48110079.86,44657946.730000004,35301793.96,28739635.3,0.033860081901273355,-0.18588739902100992
C02 ANTIHYPERTENSIVES,1875058.86,1836680.04,1834390.48,1581085.07,1612613.3,0.0018999273248635376,0.019940881485902562
C03 DIURETICS,9776341.56,9604679.040000001,9607289.72,7808419.399999999,8563177.31,0.010088850537770241,0.09665949936039575
C04 PERIPHERAL VASODILATORS,3500357.33,3152854.14,3179584.5100000002,2523390.91,2525315.46,0.002975242636504569,0.0007626840504073584
C05 VASOPROTECTIVES,13572566.52,12567531.83,14629782.25,10910039.58,11277146.38,0.013286358579485812,0.03364853053997807
C07 BETA BLOCKING AGENTS,18799322.72,19494657.580000002,20711698.080000002,18630710.69,18831160.34,0.022186246441631446,0.010759098422777225
C08 CALCIUM CHANNEL BLOCKERS,9909145.27,9422839.97,9171914.610000001,7973471.73,7642103.88,0.009003672474397713,-0.04155879160557341
C09 AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,47199542.61,47005765.71,48016116.33,43182966.75,43574109.57,0.05133756581856343,0.0090578033293649
C10 LIPID MODIFYING AGENTS,6028511.6899999995,6424705.75,7483764.7700000005,6716113.1,7840260.68,0.00923713422181572,0.1673806803521518
D01 ANTIFUNGALS FOR DERMATOLOGICAL USE,8917515.65,8282972.39,7677109.8,6193531.7,6473598.05,0.007626977791500488,0.0452191679264351
D02 EMOLLIENTS AND PROTECTIVES,5218623.98,5406812.02,4535017.03,3573357.16,3613204.94,0.004256957818615237,0.011151356613901875
D03 PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,10669570.99,10195573.65,9563826.1,7407164.3,7199252.91,0.008481920198917086,-0.028068958859195248
"D04 ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",1392010.72,1249820.27,1522303.35,923761.0700000001,1248766.25,0.0014712548388025645,0.3518281843161024
D05 ANTIPSORIATICS,14043.95,11649.130000000001,18604.34,10827.8,41448.96,4.883378531677481e-05,2.8280130774487895
D06 ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,6125573.01,5508624.0600000005,5586536.22,4473607.57,4658726.87,0.005488756963240339,0.04138031713854584
"D07 CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",7059700.22,6578368.85,6859829.04,5747422.890000001,6444826.51,0.0075930801205434115,0.12134197071411235
D08 ANTISEPTICS AND DISINFECTANTS,50730671.49,50764254.65,40189323.949999996,37097394.21,33376875.38,0.03932352384358176,-0.10029057051659696
