ATC4,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
-,26625.1631026746,27745.485941896823,28704.793924701946,20750.949790499744,20652.62678976578,17126.618197128257,16872.38464853075,18119.460220078283,19821.731912369352,22651.97287569177,25243.55950275829,28149.128162775247
A01A B Antiinfectives and antiseptics for local oral treatment,116288.91876302297,110547.71376175559,127343.62517655696,84295.31090774212,83483.73476683837,86549.12918065427,97756.80875575126,110011.13339952583,111732.4896516158,111159.42695649303,111230.04532486017,114825.33923778828
A01A D Other agents for local oral treatment,436546.2658647775,421550.51721518836,404425.12547037634,285591.83464803715,269550.57854399725,244941.59349273684,256752.77615020127,297045.0355362764,411056.03501745756,423011.45967725286,404295.8013527103,444275.13113798446
A02A B Aluminium compounds,68875.20312628098,61576.70293810849,55992.16806920429,44856.71185571473,42858.486966556855,39100.10313686435,44858.83255474414,48479.61577068173,54770.14442506562,62973.39583020651,64337.816635953,71675.56656218399
"A02A D Combinations and complexes of aluminium, calcium and magnesium compounds",123582.93715365238,110571.1854278472,116509.05416684739,99671.29167769187,93750.7834060118,74538.20730831212,78784.53214979671,81322.77374262872,91790.64593653867,106402.790211311,104571.81415077318,113923.65502198729
A02A F Antacids with antiflatulents,11814.83533301661,11161.49734826742,11450.972984863733,9484.703518536448,8522.779969870287,7226.498755333025,8260.383408098882,7961.297954707229,8908.887616389575,10165.736570131114,10607.162557520014,11524.6261718268
"A02A X Antacids, other combinations",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02B A H2-receptor antagonists,570466.0896533476,530462.4332038255,540733.2883909154,460930.9856872947,446979.4518711053,404759.28596486134,466000.46878657356,491048.5649906508,528511.35670062,589768.7276153027,554547.8546937564,588410.3259032267
A02B B Prostaglandins,3687.737914019089,3614.4346067955566,3419.159233370163,3050.4226069832785,3016.800978227203,2929.7937475757735,2875.6884354080607,2808.2478580273237,2761.2966684761645,2919.7465891886695,3067.8877981121036,3359.8380376042837
A02B C Proton pump inhibitors,1175148.0495208993,1137732.6524638769,1136092.3295202316,956870.9222672882,944275.8163669062,889458.8923485735,927040.8706358799,968685.912367698,1018008.8444551252,1129855.0688270398,1153503.617826544,1233946.6801281201
A02B D Combinations for eradication of Helicobacter pylori,6737.073864780965,7141.255122135979,6580.912744024436,5014.722657539646,4939.39880435626,4371.243537813998,5028.665540584634,5410.602958805588,5869.863509386797,6452.501365856209,6807.814667036185,7086.715523984612
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,133717.07123088586,130915.21196670632,127902.19513579704,108478.26097827111,101258.21647528093,90721.74127683259,95905.03112901154,100559.93449722118,109878.69449029786,122029.58687738869,127336.89915313947,137933.2959758589
A02X OTHER DRUGS FOR ACID RELATED DISORDERS,89733.76383997189,91279.95898043977,80212.12404114992,50941.29394548398,47489.421250566986,31727.925114556198,30453.927266637365,34567.26339725756,43568.09283768605,57027.76338754717,66277.53968493684,72591.13379899373
"A03A A Synthethic anthicholinergics, esters with tertiary amino group",116307.35396126093,116061.21089103463,108950.2149576655,90975.08193378204,86242.75563748721,79390.95872326322,84816.77651469591,90534.08887065396,93775.4748782323,102160.13260710686,109677.5833130184,120151.30240055954
"A03A B Synthetic anticholinergics, quaternary ammonium compounds",7831.719882238462,7777.426966936252,7470.682871315767,6405.302631440663,6369.307076161864,6061.606068560108,6805.071899099987,7110.306400153174,7236.343437617008,7634.932504209358,7849.239194104521,8320.086382641937
