INN,SKU_A,SKU_B,diff_log_correlation,same_form,strength_A,strength_B
HYDROXYETHYLAMYLUM*+NATRII CHLORIDUM*,174067,142202,-0.21593253576892588,True,,
HYPERICUM PERFORATUM*&,110780,-199313,-0.2064919477960752,True,,
HYPERICUM PERFORATUM*&,110779,-199313,-0.22839828671124388,True,,
HYPERICUM PERFORATUM*&,-199313,199313,-0.42295987760457693,True,,
HYPPOPHAE RHAMNOIDES*&,11071,17519,-0.29928024355656535,True,,
IBUPROFENUM,4954,-13656,-0.2337190158852148,True,200.0,200.0
ICHTHYOLUM*,125441,25166,-0.6159369247450542,True,,
IDARUBICINUM,408898,408896,-0.37443081023915403,True,10.0,5.0
IFOSFAMIDUM,557228,27968,-0.2893822084097747,True,,1000.0
IMMUNOGLOBULINUM HUMANUM*,406471,748103,-0.20045455501673853,True,,0.3
INDOMETACINUM+TROXERUTINUM,191611,90573,-0.24436551325245423,True,,
INDOMETACINUM+TROXERUTINUM,90573,-191611,-0.39750647157390306,True,,
INFLIXIMABUM,37488,193448,-0.2643302834402228,True,100.0,100.0
INSULINUM GLARGINUM,371466,371467,-0.3700432467895693,True,,
INSULINUM LISPRUM,111512,234885,-0.29562021576250525,True,,
IODIXANOLUM,159567,159564,-0.20035476554824247,True,320.0,320.0
IODIXANOLUM,159567,509994,-0.20035476554824247,True,320.0,
IODIXANOLUM,159563,159564,-0.2760588781110897,True,320.0,320.0
IOHEXOLUM,108555,605980,-0.20240779454976612,True,350.0,350.0
IOPROMIDUM,10600,7677,-0.2070803939493954,True,,
IOPROMIDUM,10623,71014,-0.4021720785942895,True,,
IOPROMIDUM,10623,71016,-0.4931172698700555,True,,
IOPROMIDUM,7678,71014,-0.7348727094825529,True,,
IOPROMIDUM,7678,71016,-0.8982206359640803,True,,
IRBESARTANUM,201845,201846,-0.20183132658765177,True,150.0,150.0
IRBESARTANUM,201849,201848,-0.3247993169478083,True,300.0,300.0
IRINOTECAN,713702,317425,-0.4524112851013055,True,,
IRINOTECAN,713702,138311,-0.20594061797309765,True,,100.0
ISONIAZIDUM,4956,246606,-0.3310968227899373,True,,
ISOSORBIDI DINITRATE,329658,7655,-0.30250256513531165,True,40.0,40.0
ISOTRETINOINUM,127390,127389,-0.21933420481520827,True,8.0,16.0
KALII CHLORIDUM*,6772,6549,-0.32036526189192865,True,750.0,1000.0
KALII CHLORIDUM*+CALCII CHLORIDUM*+NATRII CHLORIDUM*,598936,87529,-0.3078741747478878,True,,
KALII CHLORIDUM*+CALCII CHLORIDUM*+NATRII CHLORIDUM*,598936,87528,-0.3449406198384692,True,,
KALII CHLORIDUM*+NATRII LACTAS*+NATRII CHLORIDUM*,65592,65593,-0.21202860600728207,True,,
KETOCONAZOLUM,48143,99593,-0.2821586428289997,True,,
KETOCONAZOLUM,99593,103438,-0.2512930576233624,True,,
KETOCONAZOLUM+PYRITHIONUM ZINCUM,85611,63139,-0.23116535587436382,True,,
KETOTIFENUM,66447,44527,-0.32557933408741085,False,,
LACOSAMIDUM,131129,643680,-0.24108012659926328,True,50.0,100.0
LANSOPRAZOLUM,79592,49209,-0.23059348177897943,True,30.0,30.0
LANSOPRAZOLUM,79590,49209,-0.2293405366404968,True,15.0,30.0
LATANOPROSTUM,166093,123045,-0.202394239929959,True,,
LATANOPROSTUM+TIMOLOLUM,170728,639739,-0.20087451918418353,True,,
LATANOPROSTUM+TIMOLOLUM,170728,745620,-0.2620962715383551,True,,
LATANOPROSTUM+TIMOLOLUM,170728,171191,-0.2837632069428498,True,,
LATANOPROSTUM+TIMOLOLUM,166184,401969,-0.24892623821549556,True,,
LATANOPROSTUM+TIMOLOLUM,166184,745620,-0.33856730624755,True,,
LATANOPROSTUM+TIMOLOLUM,745620,171191,-0.3691894986590344,True,,
LEONURUS CARDIACA/QUINQUELOBATUS GILIB.*&,7192,14101,-0.22257701282743114,True,,
LERCANIDIPINUM,686099,60260,-0.25724513846330094,True,10.0,10.0
LERCANIDIPINUM,686099,156589,-0.2566636550406564,True,10.0,20.0
LERCANIDIPINUM,686099,149164,-0.3058238575014237,True,10.0,10.0
LERCANIDIPINUM,121151,60260,-0.3609043286336266,True,10.0,10.0
LERCANIDIPINUM,121151,156589,-0.26829859469435124,True,10.0,20.0
LERCANIDIPINUM,121151,149164,-0.4015126592579117,True,10.0,10.0
LERCANIDIPINUM,60260,149164,-0.4476050113901692,True,10.0,10.0
LERCANIDIPINUM,156589,149164,-0.45056200718704265,True,20.0,10.0
LEVODOPUM+CARBIDOPUM+ENTACAPONUM,62516,600927,-0.2260537010919926,True,,
LEVODOPUM+CARBIDOPUM+ENTACAPONUM,62516,600929,-0.27581857506761315,True,,
LEVODOPUM+CARBIDOPUM+ENTACAPONUM,129205,600930,-0.4914836426625412,True,,
LEVODOPUM+CARBIDOPUM+ENTACAPONUM,62518,600930,-0.4930538648960358,True,,
LEVODOPUM+CARBIDOPUM+ENTACAPONUM,62518,600929,-0.43807639428397105,True,,
LINEZOLIDUM,410696,714653,-0.26722425562746427,True,600.0,600.0
LOMEFLOXACINUM,57190,57189,-0.8849531581780997,True,400.0,400.0
LOPERAMIDUM,127282,-23086,-0.31259759028276124,True,2.0,2.0
LOPERAMIDUM,127282,100001,-0.44944515397184004,True,2.0,2.0
LORATADINUM,-38299,45751,-0.30475746667374326,True,10.0,10.0
LORNOXICAMUM,71420,71421,-0.48027088357660636,True,4.0,8.0
MACROGOLUM,490245,777162,-0.3742715672020897,True,,
MACROGOLUM,13893,13894,-0.38327214985190233,True,,
MAGNESII LACTAS*+PYRIDOXINUM,155837,101751,-0.2243889872871082,True,,
MAGNESIUM GLUCONATE*+POTASSIUM GLUCONATE*,134941,85504,-0.368926984791136,False,,
MAGNESIUM GLUCONATE*+POTASSIUM GLUCONATE*,134941,75932,-0.8143997315416478,True,,
MEBHYDROLINUM,111048,5230,-0.3013177318277739,False,50.0,
MEBHYDROLINUM,7670,59338,-0.29100926501339675,True,100.0,100.0
MELISSA+MENTHA PIPERITA+VALERIANA,129161,140724,-0.5495201009641871,True,,
MEMANTINE,597373,361943,-0.4778315748785042,True,10.0,10.0
MENOTROPINUM*,149425,149426,-0.30170772403978585,True,,
MENOTROPINUM*,149425,111056,-0.41145627057460943,True,,
MENOTROPINUM*,149426,130977,-0.37351221578978994,True,,
MENOTROPINUM*,130977,109784,-0.32084804680729306,True,,
MENTHOL SOLITION IN ISOVALERAT,-794800,111829,-0.46148643526660205,True,60.0,60.0
MENTHOL SOLITION IN ISOVALERAT,111829,4900,-0.27450613960965053,True,60.0,60.0
MESALAZINUM,86054,412196,-0.20432245330771645,False,500.0,1000.0
MESTEROLONUM,5769,141032,-0.8630961417419296,True,25.0,25.0
METAMIZOLUM NATRICUM+PITOFENONUM+FENPIVERINII BROMIDUM,189544,13224,-0.3608978440044603,True,,
METHADONUM,347503,251061,-0.6725164292904368,True,5.0,25.0
METHADONUM,347504,251061,-0.6608775523811916,True,10.0,25.0
METHIONINUM+PHOSPHOLIPIDES*,309184,104329,-0.7066324725236665,True,,
METHYLURACILUM*,92878,46851,-0.22265526575791003,True,,
METOCLOPRAMIDUM,4079,427875,-0.9935624340955449,True,10.0,10.0
METRONIDAZOLUM+MICONAZOLUM,49798,560196,-0.5386356131091267,True,,
METRONIDAZOLUM+MICONAZOLUM,560196,241248,-0.4895939076069001,True,,
METRONIDAZOLUM+MICONAZOLUM,560196,317889,-0.9935838999927847,True,,
MINOXIDILUM,107572,515741,-0.43706093653944655,True,,
MINOXIDILUM,515737,379467,-0.3555932161605103,True,,
MIRTAZAPINUM,82464,88025,-0.5000736806715745,True,30.0,15.0
MIRTAZAPINUM,82464,165538,-0.3654957896984974,True,30.0,30.0
MIRTAZAPINUM,88025,165536,-0.2651792527002444,True,15.0,15.0
MOLSIDOMINUM,99995,503401,-0.543479541156163,True,4.0,4.0
MOLSIDOMINUM,99995,503400,-0.6411778063630094,True,4.0,2.0
MOMETASONUM,181675,181676,-0.2573495920223009,True,,
MORPHINUM*,37688,535349,-0.3592361786234147,True,,
MORPHINUM*,535349,10532,-0.23266811506580265,True,,
MOXIFLOXACINUM,691077,30924,-0.40156236916086696,True,400.0,400.0
MOXONIDINUM,94650,174867,-0.23311681680999607,True,0.3,0.2
MOXONIDINUM,94652,525215,-0.2387948513289659,True,0.4,0.4
MUPIROCINUM,1988,362150,-0.23400795664941115,True,,
MUPIROCINUM,552596,729775,-0.2028222728276901,False,,3000.0
MYRAMISTINUM*,11790,459400,-0.2403604644623927,True,,
MYRTUS COMMUNIS*,86097,686002,-0.2630457464667883,True,120.0,120.0
NADROPARINUM CALCICUM,326773,74334,-0.2912385968238066,True,,
NAFTIFINUM,170774,329670,-0.33487824188212334,True,,
NALBUPHINE HYDROCHLORIDE,193277,325999,-0.26309199374995385,True,,
NATRII CHLORIDUM*,174363,110820,-0.3261087068150573,True,,
NATRII CHLORIDUM*,169102,562329,-0.21401176639703098,True,,
NATRII CHLORIDUM*,169102,652441,-0.22097001012138698,True,,
NATRII CHLORIDUM*,297691,652441,-0.22047111110324946,True,,
NATRII CHLORIDUM*,382116,562329,-0.22464799257081836,True,,
NATRII CHLORIDUM*,382116,652441,-0.32019848020972513,True,,
NATRII CHLORIDUM*,110820,652441,-0.3961386043724148,True,,
NATRII CHLORIDUM*,652441,21325,-0.2692565080137369,True,,
NATRII PICOSULFAS,84227,-84227,-0.21418761828436952,True,7.5,7.5
NATRII PICOSULFAS,84227,111077,-0.3248523061126504,True,7.5,7.5
NATRII PICOSULFAS,153132,62781,-0.2657908187282962,True,,
NATRII PICOSULFAS,153131,111077,-0.30700460886069303,False,,7.5
NATRII PICOSULFAS,731357,111077,-0.46647890544082016,True,,7.5
NEFOPAMUM,679238,865196,-0.29833828400909584,False,30.0,
NEOMYCINUM+NYSTATINUM+PREDNISOLONUM+TERNIDAZOLUM,18303,18304,-0.5181794619691921,True,,
NEOSTIGMINI BROMIDUM,169177,9866,-0.2278739222467381,True,,
NIFUROXAZIDUM,643358,-643358,-0.20327904926537968,True,200.0,200.0
NIMESULIDUM,-880112,82216,-0.239729150096489,False,,100.0
NIMESULIDUM,-880112,26901,-0.3320149233947316,True,,100.0
NITROGLICERINUM*,126352,41715,-0.2886423601017236,True,0.5,0.5
NITROXOLINUM,240897,10324,-0.3617152007906497,True,50.0,50.0
NITROXOLINUM,240897,22255,-0.3333929491244937,True,50.0,50.0
NITROXOLINUM,5239,80135,-0.5819507815292896,True,50.0,50.0
NITROXOLINUM,5239,146200,-0.49209630840311314,True,50.0,50.0
NORETHISTERONUM,97487,614422,-0.7952390357174253,True,5.0,5.0
NORFLOXACINUM,36917,5075,-0.20401993028775925,False,400.0,
NORFLOXACINUM,36917,5074,-0.49183335958714547,True,400.0,400.0
NYSTATINUM,40064,7944,-0.22878642122228246,True,,
OCTENIDINI DIHYDROCHLORIDUM+PHENOXYETHANOL,196791,3919,-0.25306235968779806,True,,
OCTREOTIDUM,105539,4247,-0.20438281737047634,True,30.0,0.05
OCTREOTIDUM,17599,150840,-0.2359090385656042,True,0.1,
OCTREOTIDUM,316917,150840,-0.2992147769316763,True,,
OFLOXACINUM,504137,671967,-0.22222283709799254,True,,
OLOPATADINUM,552938,328136,-0.8390162591341663,True,,
OLOPATADINUM,508950,328136,-0.23196734022935883,True,,
OMEPRAZOLUM,339375,699439,-0.23032831155040792,True,20.0,20.0
ONDANSETRON,78968,112679,-0.20128341625695623,True,,
ONDANSETRON,35218,35217,-0.20625665003064708,True,8.0,4.0
OSELTAMIVIRUM,830071,500187,-0.20980820868704284,True,75.0,75.0
OXALIPLATINUM,317957,167730,-0.2405407668688205,True,,
PAEONIA OFFICINALIS*&,771244,13518,-0.3779204261201259,True,,
PANCREATINUM*,127612,439209,-0.22235018793905806,True,384.0,
PAPAVERINUM*,295220,84679,-0.2392723553716001,True,,
PARACETAMOLUM+PHENIRAMINUM+PHENYLEPHRINUM,623574,-623574,-0.32793243365391944,True,,
PAZOPANIBUM,179589,144024,-0.22206194118939113,True,200.0,400.0
PEMETREXEDUM,83277,438275,-0.4599201076124716,True,500.0,500.0
PENCICLOVIRUM,236990,446858,-0.24067272140639817,True,,
PHENAZEPAMUM*,156556,156555,-0.2604612236969761,True,1.0,0.5
PHTHALYLSULFATHIAZOLUM,6059,920828,-0.20575431394051977,True,500.0,500.0
PHTHALYLSULFATHIAZOLUM,88817,-88817,-0.29741227898087114,True,500.0,500.0
PILOCARPINUM*,5226,6142,-0.2232879154135925,True,,
PILOCARPINUM*,329004,6142,-0.3451146556576989,True,,
PIPERACILLINUM+TASOBACTAMUM,310144,763796,-0.40840241443373543,True,,
PIX BETULA+XEROFORMIUM*,14128,-317809,-0.5172625057786885,True,,
PLANTAGO MAJOR/PSYLLUM/LANCEOLATA*&+THYMUS SERPYLLUM*&,30445,554822,-0.21909195806480866,True,,
PRASUGREL,615620,895297,-0.8528701123248564,True,10.0,10.0
PREDNISOLONUM,66391,298930,-0.9853337060618357,True,,
PREDNISOLONUM,66392,298930,-0.9853337060618375,True,,
PREGABALINUM,501762,375230,-0.24980666244770686,True,75.0,150.0
PROCAINUM,19942,69943,-0.3474433613300415,True,,
PROPOFOLUM,401906,109824,-0.25304648894969045,True,,
PROPOFOLUM,183255,112797,-0.5171867588018818,True,,
PROPOFOLUM,183252,112797,-0.2047451060545342,True,,
PROSTATILENUM*,287757,5122,-0.2052139510778969,True,2.0,2.0
PYRITHIONUM ZINCUM,31588,275436,-0.5927777877131651,True,,
PYRITHIONUM ZINCUM,31588,275435,-0.612936847889193,True,,
PYRITHIONUM ZINCUM,31588,281341,-0.5722233223805756,True,,
PYRITHIONUM ZINCUM,31589,275436,-0.6646575953730257,True,,
PYRITHIONUM ZINCUM,31589,275435,-0.6768104261542462,True,,
PYRITHIONUM ZINCUM,31589,281341,-0.6349624876474884,True,,
PYRITHIONUM ZINCUM,85300,275436,-0.5785520047214981,True,,
PYRITHIONUM ZINCUM,85300,275435,-0.5829586041073432,True,,
PYRITHIONUM ZINCUM,85300,281341,-0.548777637158661,True,,
PYRITHIONUM ZINCUM,275436,560,-0.21020642634312472,True,,
PYRITHIONUM ZINCUM,275435,560,-0.3087586449807053,True,,
PYRITHIONUM ZINCUM,560,281341,-0.3662577157878537,True,,
PYRITINOLUM,18955,18954,-0.2031411819281591,False,100.0,
QUETIAPINUM,111133,298419,-0.5500910256684851,True,100.0,25.0
RANITIDINUM,36220,95051,-0.5833048347690002,True,150.0,150.0
RASAGILINUM,851754,190602,-0.6967570879137839,True,1.0,1.0
RASAGILINUM,851754,545228,-0.21358173412744477,True,1.0,1.0
RASAGILINUM,503021,190602,-0.6901448883027523,True,1.0,1.0
RASAGILINUM,283644,190602,-0.9451362945172948,True,1.0,1.0
RAUVOLFIA*,40536,407402,-0.9960064344216162,True,2.0,2.0
RETINOLUM,407103,22053,-0.21738281629037612,True,,
RISPERIDONUM,88281,485422,-0.22167786328208688,True,,
RITUXIMABUM,316951,221740,-0.33965311200162995,True,,500.0
RIVASTIGMINUM,438416,438414,-0.2571340945032621,True,4.5,3.0
RIZATRIPTANUM,306345,306343,-0.21844031386737123,True,10.0,5.0
RIZATRIPTANUM,306345,352934,-0.21525282635199025,True,10.0,10.0
SAXAGLIPTINUM,143752,122449,-0.9316920550915188,True,5.0,2.5
SAXAGLIPTINUM,143752,122452,-0.994586792129635,True,5.0,5.0
SAXAGLIPTINUM,143751,122449,-0.9316920550915188,True,2.5,2.5
SAXAGLIPTINUM,143751,122452,-0.994586792129635,True,2.5,5.0
SERTACONAZOLUM,404693,883338,-0.2658590631973504,True,300.0,300.0
SERTRALINUM,83566,390186,-0.3504147218403617,True,100.0,50.0
SERTRALINUM,75077,44762,-0.3149095444196447,True,100.0,50.0
SILICII DIOXIDUM*,460027,851975,-0.21027517168770604,True,210.0,210.0
SILICII DIOXIDUM*,460027,851974,-0.2355711256420784,True,210.0,210.0
SILVER PROTEINATE,905815,905819,-0.406385096561769,True,200.0,100.0
SILYBUM MARIANUM*&,79634,-303602,-0.26572483729066865,True,,
SILYBUM MARIANUM*&,-303602,303602,-0.43321680167230053,True,,
SIMETICONUM,177870,511263,-0.43554337227355927,True,125.0,125.0
SIMETICONUM,145657,56600,-0.3972683984580499,True,,
SIMETICONUM,145657,511263,-0.26263886013341375,False,,125.0
SIMETICONUM,56600,124103,-0.39501805338410234,True,,
SIMETICONUM,6765,33666,-0.41876588404677767,True,40.0,40.0
SITAGLIPTINUM,106229,106232,-0.2602205428534458,True,50.0,100.0
SOMATROPINUM,225767,112295,-0.22866801866516584,True,1.3,4.0
SPIRITUS AETHYLICUS*,56332,414360,-0.251297855051427,True,,
SPIRITUS AETHYLICUS*,414457,515721,-0.26684954328931226,True,,
SPIRONOLACTONUM,28192,362322,-0.27731867932596427,True,100.0,100.0
SPIRONOLACTONUM,362322,316615,-0.23550969211564718,True,100.0,100.0
STREPTODORNASUM+STREPTOKINASUM,545261,87798,-0.25500080253401775,True,,
SULFACETAMIDUM,294435,8911,-0.21605954010136771,True,,
SULFACETAMIDUM,294435,12830,-0.3582777701448828,True,,
SULFADIAZINUM,85347,93237,-0.4436875153467119,True,,
SULFADIMETHOXINUM,27561,124956,-0.20081801673455252,True,500.0,500.0
SULFADIMIDINUM,82234,117773,-0.9798782133577298,True,500.0,500.0
SULFUR*,408378,408379,-0.2759509664879735,True,,
SYMPHYTUM OFFICINALE*,539090,539092,-0.20121718279305345,True,,
TADALAFILUM,862824,670463,-0.5668599687111641,True,20.0,20.0
TADALAFILUM,670463,862825,-0.5062149848818086,True,20.0,20.0
TAMOXIFENUM,838061,7768,-0.9792432885810548,True,20.0,20.0
TAURINUM,18114,66400,-0.23261611811598953,True,,
TEMOZOLOMIDUM,188000,238295,-0.35088232802640285,True,140.0,20.0
TEMOZOLOMIDUM,187998,238295,-0.2732612416465379,True,20.0,20.0
TESTOSTERONUM,122180,303540,-0.2968637281627796,True,,
TESTOSTERONUM,71438,303540,-0.8372122196914175,True,,
TESTOSTERONUM,88002,553477,-0.508104676334108,True,,
THIAMINUM,180405,237439,-0.21276451170852279,True,,
TILORONUM,71103,351789,-0.20030759224733882,True,125.0,60.0
TOBRAMYCINUM,156646,485602,-0.21064637973529363,True,,
TRAMADOLUM,35363,189622,-0.23744771637974052,False,50.0,
TRAMADOLUM,17365,189622,-0.2186929659110782,True,,
TRIFLUOPERAZINUM,26543,5163,-0.2440777301847219,False,5.0,
TRIPTORELINUM,103264,123624,-0.23358879564182938,True,0.1,11.25
UDENAFILUM,352930,352929,-0.20754433273181902,True,200.0,200.0
URTICA DIOICA*&,105916,36002,-0.9907917688591252,True,,
VACCINIUM MYRTILLUS *&,75794,305424,-0.40190853259241144,True,,
VANCOMYCINUM,800135,608183,-0.22999988211217573,True,500.0,1000.0
VARDENAFILUM,57175,153036,-0.33774265640661427,True,20.0,10.0
VASELINUM*,20839,88242,-0.3556927582256467,True,,
VASELINUM*,20839,83867,-0.4016643806016586,True,,
VASELINUM*,-83867,83867,-0.20000158742794077,True,,
VINORELBINUM,178301,373828,-0.3887796752195454,True,50.0,50.0
VINORELBINUM,80091,373828,-0.21411995598402397,True,10.0,50.0
VIRIDE NITENS*,163033,-36158,-0.23854848049426045,True,,
VITAMIN C+CHLORPHENAMINUM+COFFEINUM*+PARACETAMOLUM,4376,-73436,-0.49016744295272985,True,,
VITAMIN C+VITAMIN B5+VITAMIN PP+PYRIDOXINUM+RETINOLUM+VITAMIN B2+RUTOSIDUM+THIAMINUM+TOCOPHEROL*+VITAMIN B9+VITAMIN B12,196887,85521,-0.2387760600880247,True,,
VORICONAZOLUM,136828,439573,-0.22293163971620625,True,200.0,200.0
VORICONAZOLUM,73962,443673,-0.27516221682089514,True,200.0,200.0
WARFARINUM,91362,194168,-0.24710948319619938,True,2.5,2.5
ZOLMITRIPTANUM,112031,84829,-0.23755358889363723,True,2.5,2.5
ZOPICLONUM,75029,90632,-0.20365556356290215,True,7.5,7.5
ZOPICLONUM,75029,82951,-0.31406571593349936,True,7.5,7.5
ZOPICLONUM,133496,41942,-0.21947711347576232,True,7.5,7.5
