anchor,base_rate,Precision@10,Lift@10,Precision@20,Lift@20,NDCG@20,model,split
2021-07-01,0.25016589250165894,0.24503311258278146,0.9794824951253359,0.24503311258278146,0.9794824951253359,0.25016589250165894,Base rate,validation
2021-08-01,0.2503311258278146,0.26490066225165565,1.0582010582010581,0.25165562913907286,1.0052910052910053,0.2503311258278145,Base rate,validation
2021-09-01,0.2504943968358603,0.2236842105263158,0.8929709141274237,0.26644736842105265,1.063685941828255,0.2504943968358602,Base rate,validation
2021-10-01,0.2501650165016502,0.28289473684210525,1.1308325232606582,0.297029702970297,1.1873350923482848,0.2501650165016502,Base rate,validation
2021-11-01,0.2504943968358603,0.2631578947368421,1.0505540166204985,0.28618421052631576,1.142477493074792,0.2504943968358602,Base rate,validation
2021-12-01,0.25016414970453055,0.23529411764705882,0.9405589007256445,0.25901639344262295,1.0353857407168365,0.25016414970453055,Base rate,validation
2021-07-01,0.25016589250165894,0.6158940397350994,2.461942487747466,0.5529801324503312,2.2104537389990693,0.5650328228180422,Logistic L2,validation
2021-08-01,0.2503311258278146,0.5496688741721855,2.195767195767196,0.5364238410596026,2.142857142857143,0.5212500135133525,Logistic L2,validation
2021-09-01,0.2504943968358603,0.40789473684210525,1.6283587257617727,0.4144736842105263,1.6546225761772853,0.40862518873614007,Logistic L2,validation
2021-10-01,0.2501650165016502,0.5131578947368421,2.051277600333287,0.4752475247524752,1.8997361477572556,0.46787172024720053,Logistic L2,validation
2021-11-01,0.2504943968358603,0.506578947368421,2.0223164819944595,0.4934210526315789,1.9697887811634347,0.4859834951004532,Logistic L2,validation
2021-12-01,0.25016414970453055,0.5163398692810458,2.0640042543701647,0.46229508196721314,1.8479669549503033,0.4556005306273205,Logistic L2,validation
2021-07-01,0.25016589250165894,0.6158940397350994,2.461942487747466,0.5596026490066225,2.236926238867321,0.5706538672738551,Elastic Net,validation
2021-08-01,0.2503311258278146,0.5629139072847682,2.2486772486772484,0.543046357615894,2.1693121693121693,0.5302268157505888,Elastic Net,validation
2021-09-01,0.2504943968358603,0.4144736842105263,1.6546225761772853,0.40789473684210525,1.6283587257617727,0.4031792694973649,Elastic Net,validation
2021-10-01,0.2501650165016502,0.5131578947368421,2.051277600333287,0.4752475247524752,1.8997361477572556,0.4719199175394132,Elastic Net,validation
2021-11-01,0.2504943968358603,0.5197368421052632,2.0748441828254847,0.4934210526315789,1.9697887811634347,0.4914033453879092,Elastic Net,validation
2021-12-01,0.25016414970453055,0.5163398692810458,2.0640042543701647,0.46229508196721314,1.8479669549503033,0.45822299670315697,Elastic Net,validation
2021-07-01,0.25016589250165894,0.7682119205298014,3.0708099847172696,0.6887417218543046,2.7531399862982413,0.7290378841971256,Random Forest,validation
2021-08-01,0.2503311258278146,0.7549668874172185,3.015873015873016,0.6324503311258278,2.5264550264550265,0.6712111990336332,Random Forest,validation
2021-09-01,0.2504943968358603,0.4868421052631579,1.9435249307479223,0.42105263157894735,1.6808864265927974,0.4403739963180911,Random Forest,validation
2021-10-01,0.2501650165016502,0.5986842105263158,2.393157200388835,0.5148514851485149,2.0580474934036936,0.5370308370377306,Random Forest,validation
2021-11-01,0.2504943968358603,0.625,2.495065789473684,0.5657894736842105,2.2586911357340718,0.5902867622637719,Random Forest,validation
2021-12-01,0.25016414970453055,0.6339869281045751,2.5342837047329865,0.5540983606557377,2.21493911621703,0.5761711017637995,Random Forest,validation
2021-07-01,0.25016589250165894,0.7682119205298014,3.0708099847172696,0.6688741721854304,2.6737224866934843,0.7077367288144817,Gradient Boosting,validation
2021-08-01,0.2503311258278146,0.7417218543046358,2.962962962962963,0.5993377483443708,2.394179894179894,0.6376312888638818,Gradient Boosting,validation
2021-09-01,0.2504943968358603,0.40789473684210525,1.6283587257617727,0.41776315789473684,1.6677545013850414,0.4285335719182659,Gradient Boosting,validation
2021-10-01,0.2501650165016502,0.5789473684210527,2.3142619080683238,0.49834983498349833,1.9920844327176779,0.5156856533047038,Gradient Boosting,validation
2021-11-01,0.2504943968358603,0.618421052631579,2.4688019390581717,0.5263157894736842,2.101108033240997,0.5465147026315955,Gradient Boosting,validation
2021-12-01,0.25016414970453055,0.5947712418300654,2.377523887945379,0.5344262295081967,2.136302224517017,0.5483764186277622,Gradient Boosting,validation
