INN,market_level,market,market_sales_2022,market_sales_2023,market_growth,peer_share_2022,peer_share_2023,share_change_12m,share_change_3m,share_change_6m
ACIDUM ACETYLSALICYLICUM*+VITAMIN C,ATC4,N02B A Salicylic acid and derivatives,51860644.70999999,48466721.95,-0.06544312703743849,0.0061450745894516285,0.006164262569855933,1.9187980404304118e-05,0.003015731901484466,-0.0006140491072719736
ACIDUM ADENOSINTRIPHOSPHORICUM*,ATC4,C01E B Other cardiac preparations,15166467.809999999,11316263.01,-0.25386298564926035,0.018544418748217422,0.023930658889837874,0.005386240141620452,0.0005108562150022665,1.5778825103330424e-05
ACIDUM ADENOSINTRIPHOSPHORICUM*+ACIDUM FOLICUM+MOLSIDOMINUM,ATC4,C01E X Other cardiac combination products,15404551.419999996,12940044.719999999,-0.15998561936703237,0.03166133934719925,0.04342405626554898,0.011762716918349729,0.005675416726153369,0.002412553028425468
ACIDUM ADENOSINTRIPHOSPHORICUM*+COCARBOXYLASUM+CYANOCOBALAMINUM+NICOTINAMIDUM,ATC3,"A11J OTHER VITAMIN PRODUCTS, COMBINATIONS",1338871.6,1452235.7500000002,0.08467141285243485,0.22205761179787514,0.2615736529003641,0.039516041102488964,-0.012093980729959819,0.025713776003595257
ACIDUM ALENDRONICUM,ATC4,M05B A Bisphosphonates,109382.1,112965.54,0.03276075335909612,0.3775409322000583,0.468205879421282,0.0906649472212237,-0.000371849937287394,0.03207659625698861
ACIDUM ALENDRONICUM+COLECALCIFEROLUM,ATC3,M05B DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,180130.18999999997,188127.86,0.044399386910101146,0.021034452914306043,0.018389833382466587,-0.0026446195318394553,-0.003038667781167265,-0.04000715162456408
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,ATC4,A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,1233921.49,1375765.2799999998,0.11495365884258968,0.45215200847178694,0.43344676498886503,-0.018705243482921907,-0.0030545998643677352,0.026821283006847885
ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,ATC4,A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,1233921.49,1375765.2799999998,0.11495365884258968,0.05550058942566921,0.034460660324266944,-0.021039929101402267,-0.013889647303937352,-0.041500093834898714
ACIDUM AZELAICUM,ATC3,D10A ANTI-ACNE PREPARATIONS FOR TOPICAL USE,818125.7400000001,924034.96,0.129453474963396,0.14079108426536,0.17976104497171838,0.038969960706358386,-0.019648849950080954,0.024272676883503597
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,ATC4,D03A X Other cicatrizants,7400679.880000001,7192421.180000001,-0.028140482141757017,0.00016770891595435414,0.00026779994549763005,0.00010009102954327591,4.960557024729219e-06,-3.51458611688174e-05
ACIDUM BORICUM*,ATC3,D08A ANTISEPTICS AND DISINFECTANTS,37097394.21,33376875.380000006,-0.10029057051659673,0.05183524613924628,0.056074142312359236,0.0042388961731129535,-0.014779930753106053,-0.002778751728804457
ACIDUM BORICUM*+BENZOCAINUM+CHLORAMPHENICOLUM+HYPPOPHAE RHAMNOIDES,ATC4,D03A X Other cicatrizants,7400679.880000001,7192421.180000001,-0.028140482141757017,0.004892658591794136,0.005535733934869481,0.0006430753430753449,0.0002352462621373324,0.0004358994309685213
ACIDUM BORICUM*+DEXTROSUM*+OSARSOLUM,ATC4,G01A X Other antiinfectives and antiseptics,657961.5399999999,727061.9299999999,0.10502192878933325,0.0,0.0,0.0,0.0,0.0
ACIDUM BORICUM*+ZINCI SULFAS*,ATC4,S01A X Other antiinfectives,356293.7700000001,381964.72,0.07204995473257902,0.014190116206634762,0.002077286090715394,-0.012112830115919368,-1.5890482792593444e-06,-0.0041923146327714905
ACIDUM CITRICUM+KALII HYDROCARBONATIS+SODIUM CITRAS*,ATC4,G04B C Urinary concrement solvents,415413.95,356796.13,-0.14110700904483353,0.06811470823259547,0.11902446923961872,0.050909761007023255,-0.008931666429980056,0.04454203998171169
ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,ATC4,A06A B Contact laxatives,5755226.85,6197728.3,0.07688688239977903,1.619223749625091e-05,0.0,-1.619223749625091e-05,0.0,0.0
ACIDUM CLODRONICUM,ATC4,M05B A Bisphosphonates,109382.1,112965.54,0.03276075335909612,0.0,0.0,0.0,0.0,0.0
ACIDUM ETACRYNICUM,ATC3,C03C HIGH-CEILING DIURETICS,2477991.3400000003,2705757.1900000004,0.09191551492669858,0.0,0.0,0.0,0.0,0.0
