INN,market_level,market,market_sales_2022,market_sales_2023,market_growth,peer_share_2022,peer_share_2023,share_change_12m,share_change_3m,share_change_6m,sales_2022,sales_2023,delta_sales,market_effect,share_effect,interaction,reconciliation_error,growth_type
ACICLOVIRUM+HYDROCORTISONUM,ATC4,D06B B Antivirals,1553561.85,1561174.3200000003,0.00490001090075709,0.019430497730103243,0.002919430547640573,-0.01651106718246267,-2.8675296386551182e-05,-0.005982080608857234,30186.479999999996,4557.74,-25628.739999999998,147.91408105548302,-25650.964077460994,-125.69000359448499,0.0,Defend
ACIDUM ACETYLSALICYLICUM*+ACIDUM CITRICUM+NATRII HYDROCARBONAS*,ATC4,N02B A Salicylic acid and derivatives,51860644.70999999,48466721.95,-0.06544312703743849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,Market-led Growth
ACIDUM ACETYLSALICYLICUM*+ATORVASTATINUM+RAMIPRILUM,ATC4,C10B X Lipid modifying agents in combination with other drugs,189243.58999999997,257965.52999999997,0.3631401200960096,0.30986053477425585,0.245381349981139,-0.06447918479311684,-0.02490780422032951,-0.04137139016951849,58639.12,63299.93000000001,4660.810000000005,21294.217079124326,-12202.272410522837,-4431.134668601489,4.547473508864641e-12,Defend
ACIDUM ACETYLSALICYLICUM*+BISOPROLOLUM,ATC4,"C07F X Beta blocking agents, other combinations",1005653.4400000002,980105.8400000001,-0.025403980122615688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,Market-led Growth
ACIDUM ACETYLSALICYLICUM*+CLOPIDOGRELUM,ATC4,B01A C Platelet aggregation inhibitors excl. heparin,14691535.769999998,13873754.309999999,-0.05566344273346169,0.0003247073740065502,0.0003301370269112111,5.429652904660883e-06,4.481090108025842e-05,0.00011113416216537139,4770.45,4580.240000000001,-190.20999999999913,-265.53967038784236,79.76993986750975,-4.440269479666813,3.126388037344441e-13,Share-led Growth
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,101585270.42,97298427.33,-0.042199455415890874,0.3846566794422478,0.37142752705990734,-0.013229152382340459,-0.03302609032978754,-0.041898671094102835,39075452.8,36139314.25,-2936138.549999997,-1648962.8282893463,-1343887.0221874428,56711.30047679328,-9.313225746154785e-10,Structural Decline
ACIDUM ACETYLSALICYLICUM*+GLYCINUM,ATC4,N02B A Salicylic acid and derivatives,51860644.70999999,48466721.95,-0.06544312703743849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,Market-led Growth
ACIDUM ACETYLSALICYLICUM*+ROSUVASTATINUM,ATC4,C10B X Lipid modifying agents in combination with other drugs,189243.58999999997,257965.52999999997,0.3631401200960096,0.1550347359189286,0.21643891724603675,0.06140418132710815,0.04914231781876369,0.06304255332647377,29339.329999999994,55833.780000000006,26494.45000000001,10654.287819736457,11620.347715352907,4219.814464910647,0.0,Share-led Growth
ACIDUM ACETYLSALICYLICUM*+VITAMIN C,ATC4,N02B A Salicylic acid and derivatives,51860644.70999999,48466721.95,-0.06544312703743849,0.0061450745894516285,0.006164262569855933,1.9187980404304118e-05,0.003015731901484466,-0.0006140491072719736,318687.52999999997,298761.6,-19925.929999999993,-20855.90851103748,995.1010344500579,-65.12252341260157,3.2741809263825417e-11,Share-led Growth
ACIDUM ADENOSINTRIPHOSPHORICUM*,ATC4,C01E B Other cardiac preparations,15166467.809999999,11316263.01,-0.25386298564926035,0.018544418748217422,0.023930658889837874,0.005386240141620452,0.0005108562150022665,1.5778825103330424e-05,281253.33,270805.63,-10447.700000000012,-71399.81007759669,81690.23772481641,-20738.12764721974,3.637978807091713e-12,Share-led Growth
ACIDUM ADENOSINTRIPHOSPHORICUM*+ACIDUM FOLICUM+MOLSIDOMINUM,ATC4,C01E X Other cardiac combination products,15404551.419999996,12940044.719999999,-0.15998561936703237,0.03166133934719925,0.04342405626554898,0.011762716918349729,0.005675416726153369,0.002412553028425468,487728.73,561909.23,74180.5,-78029.5829521461,181199.3776076223,-28989.29465547623,2.9103830456733704e-11,Share-led Growth
ACIDUM ADENOSINTRIPHOSPHORICUM*+COCARBOXYLASUM+CYANOCOBALAMINUM+NICOTINAMIDUM,ATC3,"A11J OTHER VITAMIN PRODUCTS, COMBINATIONS",1338871.6,1452235.7500000002,0.08467141285243485,0.22205761179787514,0.2615736529003641,0.039516041102488964,-0.012093980729959819,0.025713776003595257,297306.63,379866.61000000004,82559.98000000004,25173.37241249612,52906.90517655516,4479.70241094873,2.9103830456733704e-11,Share-led Growth
ACIDUM ALENDRONICUM,ATC4,M05B A Bisphosphonates,109382.1,112965.54,0.03276075335909612,0.3775409322000583,0.468205879421282,0.0906649472212237,-0.000371849937287394,0.03207659625698861,41296.22,52891.130000000005,11594.910000000003,1352.8952780829723,9917.122323446614,324.89239847042074,-5.4569682106375694e-12,Share-led Growth
ACIDUM ALENDRONICUM+COLECALCIFEROLUM,ATC3,M05B DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,180130.18999999997,188127.86,0.044399386910101146,0.021034452914306043,0.018389833382466587,-0.0026446195318394553,-0.003038667781167265,-0.04000715162456408,3788.9400000000005,3459.6400000000003,-329.3000000000002,168.22661303915828,-476.37581874795205,-21.15079429120649,5.684341886080802e-14,Defend
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,ATC4,A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,1233921.49,1375765.2799999998,0.11495365884258968,0.45215200847178694,0.43344676498886503,-0.018705243482921907,-0.0030545998643677352,0.026821283006847885,557920.08,596321.01,38400.93000000005,64134.95453775028,-23080.80190925979,-2653.22262849044,0.0,Defend
ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,ATC4,A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,1233921.49,1375765.2799999998,0.11495365884258968,0.05550058942566921,0.034460660324266944,-0.021039929101402267,-0.013889647303937352,-0.041500093834898714,68483.37,47409.77999999999,-21073.590000000004,7872.413951370833,-25961.620666296647,-2984.383285074188,0.0,Defend
