INN,market_level,market,peer_count_roster,n_atc4,n_atc3
APROTININUM,ATC3,B02A ANTIFIBRINOLYTICS,4,1,1
AQUA PRO INJECTIONIBUS*,Excluded,V07A ALL OTHER NON-THERAPEUTIC PRODUCTS,2,1,1
ARALIA MANDSHURICA RUPP. ET MAXIM*&,ATC4,A13A TONICS,5,1,1
ARCTOSTAPHYLOS UVA-URSI*&,Excluded,multiple_ATC3,0,2,2
ARGININUM,Excluded,multiple_ATC3,0,2,2
ARGININUM ASPARTATUM*,ATC4,C01E B Other cardiac preparations,16,1,1
ARGININUM+INOSINUM,ATC4,C01E X Other cardiac combination products,13,1,1
ARGININUM+LEVOCARNITINUM,ATC3,B05X I.V. SOLUTION ADDITIVES,9,1,1
ARGYREIA*&+MUCUNA PRURIENS*&+PRUNUS AVIUM*&+TRIBULUS TERRESTRIS*&,ATC4,A16A X Various alimentary tract and metabolism products,19,1,1
ARIPIPRAZOLUM,ATC4,N05A X Other antipsychotics,5,1,1
ARMODAFINILUM,ATC4,N06B A Centrally acting sympathomimetics,3,1,1
ARONIA MELANOCARPA*&,ATC4,A16A X Various alimentary tract and metabolism products,19,1,1
ARTEMISIA ABSINTHIUM*&,ATC4,A15 APPETITE STIMULANTS,5,1,1
ARTEMISIA ABSINTHIUM+ATROPA BELLADONNA+MENTHA PIPERITA+VALERIANA,ATC4,A03E D Antispasmodics in combination with other drugs,5,1,1
ARTICAINUM+EPINEPHRINUM,ATC4,N01B B Amides,8,1,1
ASCORBIC ACID,Excluded,multiple_ATC3,0,2,2
ASCORBIC ACID+BENDAZOLUM+GLUTAMILUM-TRIPTOPHANUM*,ATC4,L03A X Other immunostimulants,11,1,1
ASCORBIC ACID+BETACAROTENUM+SELENIUM*+TOCOPHEROLI ACETAS*,ATC3,"A11J OTHER VITAMIN PRODUCTS, COMBINATIONS",5,1,1
ASCORBIC ACID+HESPERIDINUM+RUSCUS ACULEATUS&,ATC4,C05C X Other capillary stabilizing agents,7,1,1
ASCORBIC ACID+KALII CHLORIDUM*+MACROGOLUM+NATRII CHLORIDUM*+NATRII SULFAS*+SODIUM ASCORBATUM,ATC4,A06A D Osmotically acting laxatives,7,1,1
ASCORBIC ACID+MALVA SYLVESTRIS+PLANTAGO (SEMENI PSYLLIUM),Excluded,multiple_ATC3,0,2,2
ASCORBIC ACID+SODIUM ASCORBATUM,ATC3,"A11G ASCORBIC ACID (VIT. C), INCL. COMBINATIONS",4,1,1
ASCORBIC ACID+SODIUM ASCORBATUM+ZINCI OXYDUM*,ATC3,"A11G ASCORBIC ACID (VIT. C), INCL. COMBINATIONS",4,1,1
ASPARAGINAT K-MG*,ATC3,A12C OTHER MINERAL SUPPLEMENTS,8,2,1
ATENOLOLUM,ATC4,"C07A B Beta blocking agents, selective",6,1,1
ATENOLOLUM+CHLORTALIDONUM,Excluded,C07C BETA BLOCKING AGENTS AND OTHER DIURETICS,1,1,1
ATENOLOLUM+CHLORTALIDONUM+NIFEDIPINUM,ATC4,"C07F X Beta blocking agents, other combinations",3,1,1
ATEZOLIZUMABUM,ATC3,L01F MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,14,1,1
ATOMOXETINUM,ATC4,N06B A Centrally acting sympathomimetics,3,1,1
ATORVASTATINUM,ATC4,C10A A HMG CoA reductase inhibitors,4,1,1
ATORVASTATINUM+LEVAMLODIPINUM,ATC4,C10B X Lipid modifying agents in combination with other drugs,6,1,1
ATOSIBANUM,ATC4,G02C X Other gynecologicals,8,1,1
ATRACURII BESILAS,ATC4,M03A C Other quaternary ammonium compounds,3,1,1
ATROPA BELLADONNA*&,ATC4,C05A X Other agents for treatment of hemorrhoids and anal fissures for topical use,13,1,1
ATROPA BELLADONNA*&+NATRII HYDROCARBONAS*,ATC4,A03E D Antispasmodics in combination with other drugs,5,1,1
ATROPA BELLADONNA*&+PHENOLUM PURUM*,ATC4,C05A X Other agents for treatment of hemorrhoids and anal fissures for topical use,13,1,1
ATROPA BELLADONNA*&+PHENYLII SALICYLAS,ATC4,A03E D Antispasmodics in combination with other drugs,5,1,1
ATROPA BELLADONNA*&+XEROFORMIUM*+ZINCI SULFAS*,ATC4,C05A X Other agents for treatment of hemorrhoids and anal fissures for topical use,13,1,1
ATROPINI OXYDUM,Excluded,multiple_ATC3,0,2,2
AVANAFILUM,ATC4,G04B E Drugs used in erectile dysfunction,6,1,1
AVIBACTAMUM+CEFTAZIDIMUM,ATC4,J01D D Third-generation cephalosporins,12,1,1
AVISAN*+EQUISETUM ARVENSE*&+HYPERICUM PERFORATUM*&+POLYGONUM AVICULARE*&,ATC4,G04B C Urinary concrement solvents,3,1,1
AXITINIB,ATC3,L01E PROTEIN KINASE INHIBITORS,26,1,1
AZACITIDINUM,ATC4,L01B C Pyrimidine analogues,7,1,1
AZAPENTHACENUM*,ATC4,S01X A Other ophthalmologicals,16,1,1
AZATHIOPRINUM,ATC4,L04A X Other immunosuppressants,5,1,1
AZELASTINUM,Excluded,multiple_ATC3,0,2,2
AZELASTINUM+FLUTICASONUM,ATC4,R01A D Corticosteroids,9,1,1
AZELASTINUM+MOMETASONUM,ATC4,R01A D Corticosteroids,9,1,1
AZILSARTANUM MEDOXOMILUM,ATC4,"C09C A Angiotensin II receptor blockers (ARBs), plain",7,1,1
AZILSARTANUM MEDOXOMILUM+CHLORTALIDONUM,ATC4,C09D A Angiotensin II receptor blockers (ARBs) and diuretics,7,1,1
AZITHROMYCINUM,Excluded,multiple_ATC3,0,2,2
AZITHROMYCINUM+FLUCONAZOLUM+SECNIDAZOLUM,ATC4,G01A X Other antiinfectives and antiseptics,12,1,1
AZOXIMERI BROMIDUM,ATC4,L03A X Other immunostimulants,11,1,1
AZTREONAMUM,ATC3,J01D OTHER BETA-LACTAM ANTIBACTERIALS,21,1,1
BACITRACINUM+NEOMYCINUM,ATC4,D06A X Other antibiotics for topical use,6,1,1
BACLOFENUM,ATC4,M03B X Other centrally acting agents,7,1,1
BALOXAVIRUM MARBOXILUM,ATC4,J05A X Other antivirals,11,1,1
BARII SULFAS*,Excluded,"V08B X-RAY CONTRAST MEDIA, NON-IODATED",1,1,1
BASILIXIMABUM,ATC4,L04A C Interleukin inhibitors,4,1,1
BECLOMETASONUM,Excluded,multiple_ATC3,0,2,2
BECLOMETASONUM+CHLORAMPHENICOLUM+CLOTRIMAZOLUM+LIDOCAINUM,ATC4,S02C A Corticosteroids and antiinfectives in combination,3,1,1
BECLOMETASONUM+CLOTRIMAZOLUM,ATC4,D01A C Imidazole and triazole derivatives,14,1,1
BECLOMETASONUM+CLOTRIMAZOLUM+GENTAMICINUM,ATC4,"D07C C Corticosteroids, potent, combinations with antibiotics",6,1,1
BECLOMETASONUM+FORMOTEROLUM,ATC4,"R03A K Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",3,1,1
BEMIPARINUM NATRICUM,ATC4,B01A B Heparin group,7,1,1
BENDAMUSTINE,ATC4,L01A A Nitrogen mustard analogues,5,1,1
BENDAZOLUM,ATC4,C04A X Other peripheral vasodilators,5,1,1
BENDAZOLUM+METAMIZOLUM NATRICUM+PAPAVERINUM*,ATC4,N02B B Pyrazolones,9,1,1
BENDAZOLUM+METAMIZOLUM NATRICUM+PAPAVERINUM*+PHENOBARBITALUM,ATC4,N02B B Pyrazolones,9,1,1
BENDAZOLUM+PAPAVERINUM*,ATC4,C04A X Other peripheral vasodilators,5,1,1
BENFOTIAMINUM,ATC4,"A11D A Vitamin B1, plain",4,1,1
BENFOTIAMINUM+PYRIDOXINUM,ATC4,A11D B Vitamin B1 in combinations with vitamin B6 and/or vitamin B12,3,1,1
BENZALKONII CHLORIDUM,Excluded,multiple_ATC3,0,2,2
BENZALKONII CHLORIDUM+CHLORHEXIDINUM+DEXPANTHENOLUM,ATC4,D03A X Other cicatrizants,20,1,1
BENZATHINI BENZYLPENICILLINUM,ATC4,J01C E Beta-lactamase sensitive penicillins,3,1,1
BENZATHINI BENZYLPENICILLINUM+BENZYLPENICILLINUM+BENZYLPENICILLINUM,ATC4,J01C E Beta-lactamase sensitive penicillins,3,1,1
BENZOBARBITALUM,ATC3,N03A ANTIEPILEPTICS,12,1,1
BENZOCAINUM,Excluded,multiple_ATC3,0,2,2
BENZOCAINUM+ATROPA BELLADONNA*&,ATC3,A03D ANTISPASMODICS IN COMBINATION WITH ANALGESICS,6,1,1
BENZOCAINUM+ATROPA BELLADONNA*&+METAMIZOLUM NATRICUM+NATRII HYDROCARBONAS*,ATC3,A03D ANTISPASMODICS IN COMBINATION WITH ANALGESICS,6,1,1
BENZOCAINUM+BISMUTHI SUBGALLAS*+MENTHOLUM*+ZINCI OXYDUM*,ATC4,C05A D Local anesthetics,3,1,1
BENZOCAINUM+CETYLPYRIDINII CHLORIDUM,ATC4,R02A A Antiseptics,46,1,1
BENZOCAINUM+CHLORAMPHENICOLUM+NITROFURALUM,ATC4,"D06C ANTIBIOTICS AND CHEMOTERAPEUTICS, COMBINATIONS",6,1,1
BENZOCAINUM+CHLORHEXIDINUM,ATC4,R02A A Antiseptics,46,1,1
BENZOCAINUM+CHLORHEXIDINUM+ENOXOLONUM,ATC4,R02A A Antiseptics,46,1,1
BENZOCAINUM+DEXTROMETHORPHANUM+NATRII BENZOAS+SULFOGAIACOLUM,ATC4,R05F B Other cough suppressants and expectorants,5,1,1
BENZOCAINUM+HEPARINUM NATRICUM,ATC4,C05B A Heparins or heparinoids for topical use,5,1,1
BENZOCAINUM+LEVOMENTHOLUM+PROCAINUM,Excluded,multiple_ATC3,0,2,2
BENZOCAINUM+MENTHOLUM*+PROCAINUM,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
BENZOCAINUM+PHENAZONUM+PHENYLEPHRINUM,ATC4,S02D A Analgesics and anesthetics,4,1,1
BENZOYLI PEROXIDUM*,ATC3,D10A ANTI-ACNE PREPARATIONS FOR TOPICAL USE,11,1,1
BENZOYLI PEROXIDUM*+CLINDAMYCINUM,ATC4,D10A F Antiinfectives for treatment of acne,3,1,1
BENZYDAMINUM,Excluded,multiple_ATC3,0,3,3
BENZYDAMINUM+CETYLPYRIDINIUM CHLORIDE,ATC4,R02A A Antiseptics,46,1,1
BENZYDAMINUM+CHLORHEXIDINUM,ATC4,A01A D Other agents for local oral treatment,16,1,1
BENZYL ALCOHOL+BENZYL CINNAMATUM*+BENZYLII BENZOAS*+ZINCI OXYDUM*,ATC3,D02A EMOLLIENTS AND PROTECTIVES,11,1,1
BENZYLII BENZOAS*,ATC4,"P03A X Other ectoparasiticides, incl. scabicides",3,1,1
BENZYLNICOTINATUM*+CAMPHORA*+DIMETHYLIS SULFOXIDUM+NONIVAMIDUM+PINUS SILVESTRIS,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
BENZYLPENICILLINUM,ATC4,J01C E Beta-lactamase sensitive penicillins,3,1,1
BETACAROTENUM+MENADIONUM+RETINOLUM+TOCOPHEROLI ACETAS*,ATC4,D03A X Other cicatrizants,20,1,1
BETAHISTINE,ATC4,N07C A Antivertigo preparations,4,1,1
BETAMETHASONUM,Excluded,multiple_ATC3,0,2,2
BETAMETHASONUM+CALCIPOTRIOLUM,ATC4,D05A X Other antipsoriatics for topical use,4,1,1
BETAMETHASONUM+CETYLPYRIDINII CHLORIDUM,ATC3,"D07B CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS",4,1,1
BETAMETHASONUM+CLOTRIMAZOLUM+GENTAMICINUM,ATC4,"D07C C Corticosteroids, potent, combinations with antibiotics",6,1,1
BETAMETHASONUM+GENTAMICINUM,ATC4,"D07C C Corticosteroids, potent, combinations with antibiotics",6,1,1
BETAXOLOLUM,Excluded,multiple_ATC3,0,2,2
BETULA PUBESCENS EHRH.*&,ATC4,C03B X Other low-ceiling diuretics,5,1,1
BEVACIZUMABUM,ATC3,L01F MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,14,1,1
BIBROCATHOL,ATC4,S01A X Other antiinfectives,4,1,1
BICALUTAMIDUM,ATC4,L02B B Anti-androgens,3,1,1
BICLOTYMOLUM,ATC4,R02A A Antiseptics,46,1,1
BICLOTYMOLUM+ENOXOLONUM+MURAMIDASE,ATC4,R02A X Other throat preparations,3,1,1
BICYCLOLUM*,ATC4,A05B A Liver therapy,15,1,1
BIDENS TRIPARTITES*&,ATC4,D11A X Other dermatologicals,9,1,1
BIDENS TRIPARTITES*&+HYPERICUM PERFORATUM*&+ROSA L.*&+VACCINIUM VITIS-IDAEA*&,ATC4,G04B X Other urologicals,12,1,1
BIDENS TRIPARTITES+CALENDULA+EUCALYPTUS VIMINALIS+GLYCYRRHIZA GLABRA/URALENSIS+MATRICARIA CHAMOMILLA+SALVIA,Excluded,multiple_ATC3,0,2,2
BIFONAZOLUM,ATC4,D01A C Imidazole and triazole derivatives,14,1,1
BIFONAZOLUM+UREA PURA*,ATC4,D01A C Imidazole and triazole derivatives,14,1,1
BILASTINUM,ATC4,R06A X Other antihistamines for systemic use,12,1,1
BIMATOPROST,ATC4,S01E E Prostaglandin analogues,5,1,1
BIMATOPROST+TIMOLOLUM,ATC4,S01E D Beta blocking agents,9,1,1
BIOTINUM,ATC4,A11H A Other plain vitamin preparations,5,1,1
BIPERIDENUM,Excluded,N04A ANTICHOLINERGIC AGENTS,2,1,1
BISACODYLUM,ATC4,A06A B Contact laxatives,8,1,1
BISMUTHI SUBCITRAS*,ATC4,A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,8,1,1
BISMUTHI SUBGALLAS*+BUFEXAMACUM+LIDOCAINUM,ATC4,C05A X Other agents for treatment of hemorrhoids and anal fissures for topical use,13,1,1
BISOPROLOLUM,ATC4,"C07A B Beta blocking agents, selective",6,1,1
BISOPROLOLUM+HYDROCHLOROTHIAZIDUM,Excluded,C07B BETA BLOCKING AGENTS AND THIAZIDES,2,1,1
BISOPROLOLUM+PERINDOPRILUM,ATC3,"C09B ACE INHIBITORS, COMBINATIONS",17,1,1
BLEOMYCINUM,ATC3,L01D CYTOTOXIC ANTIBIOTICS AND RELATRD SUBSTANCES,5,1,1
BORTEZOMIBUM,ATC3,L01X OTHER ANTINEOPLASTIC AGENTS,13,1,1
BOTULINUM TOXIN,ATC3,"M03A MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",5,1,1
BOVHYALURONIDASUM AZOXIMERUM,ATC4,B06A A Enzymes,3,1,1
BRENTUXIMAB VEDOTIN,ATC4,L01F X Other monoclonal antibodies and antibody drug conjugates,3,1,1
BREXPIPRAZOLUM,ATC4,N05A X Other antipsychotics,5,1,1
BRIMONIDINUM,ATC3,S01E ANTIGLAUCOMA PREPARATIONS AND MIOTICS,21,1,1
BRIMONIDINUM+BRINZOLAMIDUM,ATC4,S01E C Carbonic anhydrase inhibitors,4,1,1
BRIMONIDINUM+TIMOLOLUM,ATC4,S01E D Beta blocking agents,9,1,1
BRINZOLAMIDUM,ATC4,S01E C Carbonic anhydrase inhibitors,4,1,1
BRINZOLAMIDUM+TIMOLOLUM,ATC4,S01E D Beta blocking agents,9,1,1
BROLUCIZUMABUM,Excluded,S01L Ocular vascular disorder agents,2,1,1
BROMELAINA+RUTOSIDUM+TRYPSINUM*,ATC3,M09A OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,7,1,1
BROMFENACUM,ATC4,"S01B C Antiinflammatory agents, non-steroids",5,1,1
BROMHEXINE,ATC4,R05C B Mucolytics,11,1,1
BROMHEXINE+GUAIFENESINUM+MENTHOLUM*+SALBUTAMOLUM,ATC4,R05C A Expectorants,40,1,1
BROMHEXINUM+GUAIFENESINUM+SALBUTAMOLUM,ATC4,R05C A Expectorants,40,1,1
BROMHEXINUM+PHENYLEPHRINUM+SALBUTAMOLUM,Excluded,R03C ADRENERGICS FOR SYSTEMIC USE,2,1,1
BROMHEXINUM+SALBUTAMOLUM,Excluded,R03C ADRENERGICS FOR SYSTEMIC USE,2,1,1
BROMOCRIPTINUM,ATC4,G02C B Prolactine inhibitors,3,1,1
BUDESONIDUM,Excluded,multiple_ATC3,0,3,3
BUDESONIDUM+FORMOTEROLUM,ATC4,"R03A K Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",3,1,1
BUPIVACAINUM,ATC4,N01B B Amides,8,1,1
BUPIVACAINUM+EPINEPHRINUM,ATC4,N01B B Amides,8,1,1
BUPRENORPHINUM,Excluded,multiple_ATC3,0,2,2
BUPROPIONUM,ATC4,N06A X Other antidepressants,10,1,1
BUSPIRONUM,ATC3,N05B ANXIOLYTICS,8,1,1
BUTAMIRATUM,ATC4,R05D B Other cough suppressants,8,1,1
BUTAMIRATUM+GUAIFENESINUM,ATC4,R05F B Other cough suppressants and expectorants,5,1,1
BUTOCONAZOLUM,ATC4,G01A F Imidazole derivatives,13,1,1
BUTORPHANOLUM,ATC3,N02A OPIOIDS,11,1,1
CABAZITAXEL,ATC4,L01C D Taxanes,3,1,1
CABERGOLINUM,ATC4,G02C B Prolactine inhibitors,3,1,1
CABOZANTINIBUM,ATC4,L01E X Other protein kinase inhibitors,6,1,1
CALAMAGROSTIS EPIGEIOS*+DESCHAMPSIA CAESPITOSA*,Excluded,multiple_ATC3,0,2,2
CALCII CARBONAS*+COLECALCIFEROLUM,Excluded,multiple_ATC3,0,2,2
CALCII CARBONAS*+MAGNESII CARBONAS,ATC3,A02A ANTACIDS,9,2,1
CALCII CHLORIDUM*,ATC4,B05X A Electrolyte solutions,7,1,1
CALCII CHLORIDUM*+CITICOLINUM+KALII CHLORIDUM*+NATRII CHLORIDUM*+NATRII LACTAS*,ATC4,B05B B Solutions affecting the electrolyte balance,14,1,1
CALCII CHLORIDUM*+DEXTROSUM*+KALII CHLORIDUM*+NATRII ACETAS*+NATRII CHLORIDUM*+XYLITOLUM*,ATC4,B05B B Solutions affecting the electrolyte balance,14,1,1
CALCII CHLORIDUM*+DEXTROSUM*+MAGNESII CHLORIDUM*+NATRII CHLORIDUM*+NATRII LACTAS*,Excluded,B05D PERITONEAL DIALYTICS,1,1,1
CALCII CHLORIDUM*+FRUCTOSUM*+KALII CHLORIDUM*+MAGNESII CHLORIDUM*+NATRII CHLORIDUM*,ATC4,B05B B Solutions affecting the electrolyte balance,14,1,1
CALCII CHLORIDUM*+GELATINUM*+KALII CHLORIDUM*+MAGNESII CHLORIDUM*+NATRII ACETAS*+NATRII CHLORIDUM*,ATC4,B05A A Plasma substitutes and plasma protein fractions,10,1,1
CALCII CHLORIDUM*+HYDROXYETHYLAMYLUM*+KALII CHLORIDUM*+MAGNESII CHLORIDUM*+NATRII CHLORIDUM*+NATRII LACTAS*+XYLITOLUM*,ATC4,B05A A Plasma substitutes and plasma protein fractions,10,1,1
CALCII CHLORIDUM*+KALII CHLORIDUM*+MAGNESII CHLORIDUM*+NATRII ACETAS*+NATRII CHLORIDUM*,ATC4,B05B B Solutions affecting the electrolyte balance,14,1,1
CALCII CHLORIDUM*+KALII CHLORIDUM*+MAGNESII CHLORIDUM*+NATRII ACETAS*+NATRII CHLORIDUM*+XYLITOLUM*,ATC4,B05X A Electrolyte solutions,7,1,1
CALCII CHLORIDUM*+KALII CHLORIDUM*+MAGNESII CHLORIDUM*+NATRII CHLORIDUM*+NATRII HYDROCARBONAS*+POVIDONUM,ATC4,B05A A Plasma substitutes and plasma protein fractions,10,1,1
CALCII CHLORIDUM*+KALII CHLORIDUM*+MAGNESII CHLORIDUM*+NATRII CHLORIDUM*+NATRII LACTAS*,ATC4,B05B B Solutions affecting the electrolyte balance,14,1,1
CALCII CHLORIDUM*+KALII CHLORIDUM*+MAGNESII CHLORIDUM*+NATRII CHLORIDUM*+NATRII LACTAS*+SORBITOL*,Excluded,multiple_ATC3,0,2,2
CALCII CITRAS*+MAGNESII HYDROXIDE*+ZINCI SULFAS*,ATC3,A12A CALCIUM,3,1,1
CALCII FOLINAS,ATC4,V03A F Detoxifying agents for antineoplastic treatment,3,1,1
CALCII GLUCONAS*,ATC3,A12A CALCIUM,3,1,1
CALCII PANTOTHENAS+CYANOCOBALAMINUM+NICOTINAMIDUM+PYRIDOXINUM+RIBOFLAVINUM+SILIMARINUM*+THIAMINUM,ATC4,A05B A Liver therapy,15,1,1
CALCITONINUM,ATC3,H05B ANTI-PARATHYROID AGENTS,3,1,1
CALCITRIOLUM,ATC4,D05A X Other antipsoriatics for topical use,4,1,1
CALENDULA OFFICINALIS*&,Excluded,multiple_ATC3,0,3,3
CALENDULA OFFICINALIS*&+CORIANDRUM SATIVUM*&+GLYCYRRHIZA GLABRA/URALENSIS*&+MELILOTUS OFFICINALIS*+SILYBUM MARIANUM*&,ATC4,N05C M Other hypnotics and sedatives,26,1,1
CALENDULA OFFICINALIS*&+MATRICARIA CHAMOMILLA*&+ACHILLEA MILLEFOLIUM*&,ATC4,A01A D Other agents for local oral treatment,16,1,1
CAMILOPHINUM+COFFEINUM*+ERGOTAMINUM+MECLOXAMINUM+PROPYPHENAZONUM,ATC3,N02C ANTIMIGRAINE PREPARATIONS,7,1,1
CAMPHORA*,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
CAMPHORA*+CARYOPHYLLUS AROMATICUS*&+EUCALYPTUS VIMINALIS*&+MENTHOLUM*,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
CAMPHORA*+CARYOPHYLLUS AROMATICUS*&+EUCALYPTUS VIMINALIS*&+MENTHOLUM*+OLEUM TEREBINTHINE*,ATC4,R05X OTHER COLD PREPARATIONS,23,1,1
CAMPHORA*+CHLOROBUTANOLUM+EUCALYPTUS VIMINALIS*&+HEXETIDINUM+MENTHOLUM*,ATC4,R02A A Antiseptics,46,1,1
CAMPHORA*+CHLOROBUTANOLUM+EUCALYPTUS VIMINALIS*&+LEVOMENTHOLUM,ATC4,R02A A Antiseptics,46,1,1
CAMPHORA*+CHLOROBUTANOLUM+EUCALYPTUS VIMINALIS*&+MENTHOLUM*,ATC4,R02A A Antiseptics,46,1,1
CAMPHORA*+CINEOLUM+LEVOMENTHOLUM+OXYMETAZOLINUM,ATC4,"R01A B Sympathomimetics, combinations excl. corticosteroids",10,1,1
CAMPHORA*+EUCALYPTUS VIMINALIS*&+LEVOMENTHOLUM+PINUS SILVESTRIS*&,ATC4,R05X OTHER COLD PREPARATIONS,23,1,1
CAMPHORA*+EUCALYPTUS VIMINALIS*&+MENTHOLUM*+METHYL SALICYLAT*+PINUS SILVESTRIS*&+THYMOL,Excluded,multiple_ATC3,0,3,3
CAMPHORA*+EUCALYPTUS VIMINALIS*&+MENTHOLUM*+MYRISTICA FRAGRANS*+OLEUM TEREBINTHINE*+THYMOL,ATC4,R05X OTHER COLD PREPARATIONS,23,1,1
CAMPHORA*+LEVOMENTHOLUM+PINUS SILVESTRIS*&,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
CAMPHORA*+MENTHA PIPERITA+VALERIANA,ATC4,A01A D Other agents for local oral treatment,16,1,1
CAMPHORA*+PINUS SILVESTRIS*&+EUCALYPTUS VIMINALIS*&,ATC4,R05X OTHER COLD PREPARATIONS,23,1,1
CAMPHORA*+SPIRITUS AETHYLICUS*,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
CAMPHORA*+SULFANILAMIDUM,ATC4,C05A X Other agents for treatment of hemorrhoids and anal fissures for topical use,13,1,1
CANDESARTANUM,ATC4,"C09C A Angiotensin II receptor blockers (ARBs), plain",7,1,1
CANDESARTANUM+HYDROCHLOROTHIAZIDUM,ATC4,C09D A Angiotensin II receptor blockers (ARBs) and diuretics,7,1,1
CAPECITABINUM,ATC4,L01B C Pyrimidine analogues,7,1,1
CAPSAICINUM+ETHYLIS NICOTINAS*+GLYCOL SALICYLATUM*,ATC4,M02A C Preparations with salicylic acid derivatives,5,1,1
CAPSELLA BURSA-PASTORIS MEDIC.*&,ATC3,G02A UTEROTONICS,3,1,1
CAPSICUM ANNUUM*&,Excluded,multiple_ATC3,0,3,2
CAPSICUM ANNUUM*&+DIMETHYLIS SULFOXIDUM,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
CAPTOPRILUM,ATC4,"C09A A ACE inhibitors, plain",9,1,1
CAPTOPRILUM+HYDROCHLOROTHIAZIDUM,ATC4,"C09B A ACE inhibitors, and diuretics",9,1,1
CARBAMAZEPIN,ATC3,N03A ANTIEPILEPTICS,12,1,1
CARBAZOCHROMUM+TROXERUTINUM,ATC4,C05C A Bioflavonoids,10,1,1
CARBETOCINUM,ATC4,H01B B Oxytocin and derivatives,3,1,1
CARBIDOPA+LEVODOPA*,ATC4,N04B A DOPA and derivatives,3,1,1
CARBIMAZOLE,Excluded,H03B ANTITHYROID PREPARATIONS,2,1,1
CARBO ACTIVATUS MEDICINALIS*,ATC3,A07B INTESTINAL ADSORBENTS,5,1,1
CARBOCISTEINUM,ATC4,R05C B Mucolytics,11,1,1
CARBOMERUM,ATC4,S01X A Other ophthalmologicals,16,1,1
CARBOPLATINUM,ATC4,L01X A Platinum compounds,3,1,1
CARDIOSPERMUM HALICACABUM*&,ATC3,"D04A ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",5,1,1
CARICA PAPAYA*&+CHYMOTRYPSINUM+TRYPSINUM*,ATC3,L01X OTHER ANTINEOPLASTIC AGENTS,13,1,1
CARIPRAZINUM,ATC4,N05A X Other antipsychotics,5,1,1
CARNITINUM+COBAMAMIDUM*+COCARBOXYLASUM+LYSINUM+PYRIDOXALPHOSPHATUM*,ATC3,"A11J OTHER VITAMIN PRODUCTS, COMBINATIONS",5,1,1
CARNITINUM+LYSINUM,ATC4,A15 APPETITE STIMULANTS,5,1,1
CARUM CARVI*&,ATC4,A03A X Other drugs for functional gastrointestinal disorders,10,1,1
CARVEDILOLUM,ATC3,C07A BETA-BLOCKING AGENTS,9,1,1
CASPOFUNGINUM,ATC3,J02A ANTIMYCOTICS FOR SYSTEMIC USE,6,1,1
CASSIA ACUTIFOLIA/ANGUSTIFOLIA*&,ATC4,A06A B Contact laxatives,8,1,1
CASSIA ACUTIFOLIA/ANGUSTIFOLIA*&+NATRII PICOSULFAS,ATC4,A06A B Contact laxatives,8,1,1
CASSIA ACUTIFOLIA/ANGUSTIFOLIA*&+RHEUM*+SULFUR*+CARBO ACTIVATUS MEDICINALIS*,ATC4,A16A X Various alimentary tract and metabolism products,19,1,1
CEFALEXINUM,ATC3,J01D OTHER BETA-LACTAM ANTIBACTERIALS,21,1,1
CEFAZOLINUM,ATC3,J01D OTHER BETA-LACTAM ANTIBACTERIALS,21,1,1
CEFDINIRUM,ATC4,J01D D Third-generation cephalosporins,12,1,1
CEFDITORENUM,ATC4,J01D D Third-generation cephalosporins,12,1,1
CEFEPIMUM,ATC3,J01D OTHER BETA-LACTAM ANTIBACTERIALS,21,1,1
CEFEPIMUM+SULBACTAMUM,ATC3,J01D OTHER BETA-LACTAM ANTIBACTERIALS,21,1,1
CEFIXIMUM,ATC4,J01D D Third-generation cephalosporins,12,1,1
CEFOPERAZONUM,ATC4,J01D D Third-generation cephalosporins,12,1,1
CEFOPERAZONUM+SULBACTAMUM,ATC4,J01D D Third-generation cephalosporins,12,1,1
CEFOTAXIMUM,ATC4,J01D D Third-generation cephalosporins,12,1,1
CEFPODOXIMUM,ATC4,J01D D Third-generation cephalosporins,12,1,1
CEFTAZIDIMUM,ATC4,J01D D Third-generation cephalosporins,12,1,1
CEFTRIAXONUM,ATC4,J01D D Third-generation cephalosporins,12,1,1
CEFTRIAXONUM+SULBACTAMUM,ATC4,J01D D Third-generation cephalosporins,12,1,1
CEFTRIAXONUM+TAZOBACTAMUM,ATC4,J01D D Third-generation cephalosporins,12,1,1
CEFUROXIMUM,ATC3,J01D OTHER BETA-LACTAM ANTIBACTERIALS,21,1,1
