INN,market_level,market,peer_count_roster,n_atc4,n_atc3
ACIDUM FUSIDICUM+BETAMETHASONUM,ATC4,"D07C C Corticosteroids, potent, combinations with antibiotics",6,1,1
ACIDUM GADOPENTETICUM,ATC4,V08C A Paramagnetic contrast media,5,1,1
ACIDUM GADOTERICUM,ATC4,V08C A Paramagnetic contrast media,5,1,1
ACIDUM GADOXETICUM,ATC4,V08C A Paramagnetic contrast media,5,1,1
ACIDUM GAMMA-AMINOBUTYRICUM*,ATC4,N06B X Other psychostimulants and nootropics,17,1,1
ACIDUM GAMMA-AMINOBUTYRICUM*+PIRACETAMUM,ATC4,N06B X Other psychostimulants and nootropics,17,1,1
ACIDUM GLUTAMICUM,ATC4,A16A A Amino acids and derivates,4,1,1
ACIDUM GLUTAMICUM+GLYCINUM+PYRIDOXINUM,ATC4,S01X A Other ophthalmologicals,16,1,1
ACIDUM GLYCYRRHIZICUM,ATC4,G01A X Other antiinfectives and antiseptics,12,1,1
ACIDUM GLYCYRRHIZICUM+CYSTEINUM+GLYCINUM,ATC4,A05B A Liver therapy,15,1,1
ACIDUM GLYCYRRHIZICUM+PHOSPHOLIPIDES*,ATC4,A05B A Liver therapy,15,1,1
ACIDUM HOPANTENICUM,ATC4,N06B X Other psychostimulants and nootropics,17,1,1
ACIDUM IBANDRONICUM,ATC4,M05B A Bisphosphonates,6,1,1
ACIDUM LACTICUM+ACIDUM SALICYLICUM*,ATC4,D02A F Salicylic acid preparations,5,1,1
ACIDUM LACTICUM+ACIDUM SALICYLICUM*+POLIDOCANOLUM,ATC4,D02A F Salicylic acid preparations,5,1,1
ACIDUM MEFENAMICUM,ATC3,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",36,1,1
ACIDUM METHYLSILICICUM*,ATC4,A07B C Others intestinal adsorbents,4,1,1
ACIDUM MYCOPHENOLICUM,ATC4,L04A A Selective immunosuppressants,10,1,1
ACIDUM NICOTINOYL-GAMMA-AMINOBUTYRICUM*,ATC4,N06B X Other psychostimulants and nootropics,17,1,1
ACIDUM OROTICUM,Excluded,A14B OTHER ANABOLIC AGENTS,2,1,1
ACIDUM PAMIDRONICUM,ATC4,M05B A Bisphosphonates,6,1,1
ACIDUM PIPEMIDICUM,ATC3,J01M QUINOLONE ANTIBACTERIALS,9,1,1
ACIDUM RISEDRONICUM,ATC4,M05B A Bisphosphonates,6,1,1
ACIDUM RYBONUCLEINICUM*,ATC4,J05A X Other antivirals,11,1,1
ACIDUM SALICYLICUM*,Excluded,multiple_ATC3,0,3,3
ACIDUM SALICYLICUM*+BETAMETHASONUM,ATC3,"D07X CORTICOSTEROIDS, OTHER COMBINATIONS",4,1,1
ACIDUM SALICYLICUM*+CAPSICUM ANNUUM+RICINUS COMMUNIS,ATC4,D11A X Other dermatologicals,9,1,1
ACIDUM SALICYLICUM*+CLOTRIMAZOLUM,ATC4,D01A C Imidazole and triazole derivatives,14,1,1
ACIDUM SALICYLICUM*+FLUMETASONUM,ATC4,"D07B B Corticosteroids, moderately potent, combinations with antiseptics",3,1,1
ACIDUM SALICYLICUM*+FLUOROURACILUM,ATC3,D11A OTHER DERMATOLOGICAL PREPARATIONS,16,1,1
ACIDUM SALICYLICUM*+MOMETASONUM,ATC3,"D07X CORTICOSTEROIDS, OTHER COMBINATIONS",4,1,1
ACIDUM SALICYLICUM*+UREA PURA*,ATC4,D02A F Salicylic acid preparations,5,1,1
ACIDUM SALICYLICUM*+ZINCI OXYDUM*,ATC4,D02A F Salicylic acid preparations,5,1,1
ACIDUM SUCCINICUM+INOSINUM+MEGLUMINUM+METHIONINUM,ATC4,A05B A Liver therapy,15,1,1
ACIDUM SUCCINICUM+INOSINUM+NICOTINAMIDUM+RIBOFLAVINUM,ATC4,N07X X Other nervous system drugs,7,1,1
ACIDUM THIOCTICUM*,ATC4,A16A X Various alimentary tract and metabolism products,19,1,1
ACIDUM TIAZOTICUM,Excluded,multiple_ATC3,0,4,4
ACIDUM TIAZOTICUM+AMIODARONUM,ATC4,C01E X Other cardiac combination products,13,1,1
ACIDUM TIAZOTICUM+CRATAEGUS L.*&+DIPYRIDAMOLUM+HERBA MELISSAE,ATC4,C01E X Other cardiac combination products,13,1,1
ACIDUM TIAZOTICUM+PIRACETAMUM,ATC4,N06B X Other psychostimulants and nootropics,17,1,1
ACIDUM UNDECYLENICUM+ZINC UNDECYLENATE,ATC4,D01A E Other antifungals for topical use,9,1,1
ACIDUM VALPROICUM,ATC3,N03A ANTIEPILEPTICS,12,1,1
ACORUS CALAMUS*&,ATC4,A15 APPETITE STIMULANTS,5,1,1
ACORUS CALAMUS*&+BISMUTHI SUBNITRAS*+FRANGULA ALNUS*&+MAGNESII CARBONAS+NATRII HYDROCARBONAS*,ATC4,A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,8,1,1
ACORUS CALAMUS+ANETHUM GRAVEOLENS+GLYCYRRHIZA GLABRA/URALENSIS+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,ATC4,A16A X Various alimentary tract and metabolism products,19,1,1
ACORUS CALAMUS+FRANGULA ALNUS+MENTHA PIPERITA+URTICA DIOICA+VALERIANA,ATC4,A16A X Various alimentary tract and metabolism products,19,1,1
ACORUS*&+ARNICA*&+BENZOCAINUM+QUERCUS*&+MENTHA*&+MATRICARIA*&+THYMUS*&+SALVIA*&,ATC4,A01A D Other agents for local oral treatment,16,1,1
ACORUS+ALTHAEA+SAMBUCUS+INULA+URTICA+TILIA+MENTHA+CALENDULA+MATRICARIA+GLYCYRRHIZA+THYMUS+SALVIA*&,ATC4,R05C A Expectorants,40,1,1
ACORUS+ALTHAEA+SAMBUCUS+URTICA+MENTHA+CALENDULA+ARTEMISIA+MATRICARIA+GLYCYRRHIZA+SOPHORA+ACHILLEA+HELICHRY+SALVIA+ROSA*&,ATC4,A02X OTHER DRUGS FOR ACID RELATED DISORDERS,7,1,1
ACORUS+ARNICA+QUERCUS+MENTHA+MATRICARIA+THYMUS+SALVIA*&,ATC4,A01A D Other agents for local oral treatment,16,1,1
ACORUS+URTICA+CALENDULA+MATRICARIA+SOPHORA+CHELIDONIUM+ROSA L.*&,ATC4,A01A D Other agents for local oral treatment,16,1,1
ACRIVASTINUM,ATC4,R06A X Other antihistamines for systemic use,12,1,1
ADALIMUMAB,ATC4,L04A B Tumor necrosis factor alpha inhibitors,4,1,1
ADAPALENUM,ATC4,D10A D Retinoids for topical use in acne,4,1,1
ADAPALENUM+BENZOYLI PEROXIDUM*,ATC4,D10A D Retinoids for topical use in acne,4,1,1
ADAPALENUM+CLINDAMYCINUM,ATC4,D10A D Retinoids for topical use in acne,4,1,1
ADEMETIONINUM,ATC4,A16A A Amino acids and derivates,4,1,1
