INN,month,point_forecast,P10_empirical,P90_empirical
ACALABRUTINIBUM,2024-04-01,0.1544678919663091,0.0,0.968384427923159
ACALABRUTINIBUM,2024-05-01,0.15701345286220864,0.0,0.8871641582344982
ACALABRUTINIBUM,2024-06-01,0.14761889296542455,0.0,1.003573853635106
ACALABRUTINIBUM,2024-07-01,0.47827223643449346,0.0,1.3371592600554392
ACALABRUTINIBUM,2024-08-01,0.2309639025962449,0.0,1.104001863997326
ACALABRUTINIBUM,2024-09-01,0.1656862269121423,0.0,1.0185723381358305
ACALABRUTINIBUM,2024-10-01,0.1344330777513565,0.0,1.0314344979926875
ACALABRUTINIBUM,2024-11-01,0.13119954980922405,0.0,1.0181576560913932
ACALABRUTINIBUM,2024-12-01,0.12798171884201434,0.0,1.1192675533724348
ACECLOFENACUM,2024-01-01,11950.90049977882,7894.7323705049,15060.89894887245
ACECLOFENACUM,2024-02-01,12080.968368636097,8019.153688967468,17575.40958606943
ACECLOFENACUM,2024-03-01,14346.627624322082,4735.69640325179,20563.895099309237
ACECLOFENACUM,2024-04-01,9655.065189471035,1902.7241898219145,17932.23093700444
ACECLOFENACUM,2024-05-01,11565.902202190375,3946.109271556492,18544.284316851168
ACECLOFENACUM,2024-06-01,10885.106772966003,2854.339885194284,17684.087547271236
ACECLOFENACUM,2024-07-01,11869.14299018668,4618.215026637205,18594.91322675371
ACECLOFENACUM,2024-08-01,13005.55052456338,5575.398362018351,20215.468921368258
ACECLOFENACUM,2024-09-01,12763.352712664915,0.0,19651.046149251302
ACECLOFENACUM,2024-10-01,12504.99982374631,0.0,18625.459434121145
ACECLOFENACUM,2024-11-01,11938.676473211583,455.1432548341927,16286.739800293904
ACECLOFENACUM,2024-12-01,12305.979953383976,1910.326171412964,16045.967016259738
ACENOCOUMAROLUM,2024-01-01,585.9741344657291,584.8536957814798,586.3779178205499
ACENOCOUMAROLUM,2024-02-01,663.6976515897579,662.7366319054823,664.2177913779394
ACENOCOUMAROLUM,2024-03-01,829.3784476174058,828.0866398791485,830.0193503191003
ACENOCOUMAROLUM,2024-04-01,643.7242667679483,642.6013759377455,644.5381833039052
ACENOCOUMAROLUM,2024-05-01,678.1569044168073,676.9820076927714,678.8870551221795
ACENOCOUMAROLUM,2024-06-01,672.4069968643187,671.1950971787189,673.2629518249884
ACENOCOUMAROLUM,2024-07-01,0.0,0.0,0.8588870236209458
